"","title","doi"
"68","The value of serial [⁶⁸Ga]Ga-FAPI-04 PET/CT in predicting pathological response and evaluating therapeutic efficacy to neoadjuvant chemotherapy in breast cancer.","10.1007/s00259-025-07444-3"
"69","Stratification of glioblastoma patient survival based on tumor core and edge metabolomic data.","10.3171/2025.3.JNS242330"
"70","Validation of Phase Angle Cutoff Values Derived From Bioelectrical Impedance Analysis for Sarcopenia Screening in Community-Dwelling Older Korean Adults.","10.1016/j.jamda.2025.105798"
"71","Habitat Radiomics Based on MRI for Predicting Metachronous Liver Metastasis in Locally Advanced Rectal Cancer: a Two‑center Study.","10.1016/j.acra.2025.02.046"
"72","Psychometric properties of the Federal Unit Scale for general psychopathology screening without iatrogenic effects.","10.1016/j.jpsychires.2025.02.057"
"73","Prediction of Sepsis after Endourologic Kidney Stone Surgery: A Machine Learning Approach.","10.1089/end.2024.0922"
"74","Artificial Intelligence Models for Diagnosing Pulpitis in Adults Using a Modified Wolters Classification: A Diagnostic Accuracy Study.","10.1111/iej.70055"
"75","Prognostic valule of vasoactive drug score, NT-proBNP, and blood lactate level at 6 h post-admission in adult sepsis patients:A single-center, retrospective study.","10.1016/j.cyto.2025.156891"
"76","CELL FREE DNA-BASED PREDICTION OF PROGNOSIS FOR PATIENTS ON VENO-ARTERIAL EXTRACORPOREAL MEMBRANE OXYGENATION.","10.1097/SHK.0000000000002569"
"77","Association between dietary inflammatory index and endometriosis in the US population: A cross-sectional study.","10.1016/j.exger.2025.112846"
"78","Anti-HBc IgM associates with acute flare and HBeAg/HBsAg loss in chronic hepatitis B patients with acute exacerbation.","10.1080/21505594.2025.2534078"
"79","Diagnostic Performance of Ultrasound-Derived Fat Fraction and Automated Point Shear Wave Elastography for Hepatic Steatosis and Fibrosis in Suspected Steatotic Liver Disease: A Prospective Multicenter Study.","10.1016/j.ultrasmedbio.2025.09.021"
"80","PLM-VF: A novel predictor for virulent proteins in bacterial pathogens based on multi-scale CNN and protein language models.","10.1016/j.ijbiomac.2025.146075"
"81","Roving histological imaging for navigation-confirmed glioma negative margin by handheld endomicroscopy: a parallel controlled study.","10.1097/JS9.0000000000002292"
"82","Distinguishing very high-risk patients among high-risk gastrointestinal stromal tumor cases: development and validation of a nomogram based on a multicenter population-based retrospective cohort study.","10.1080/07853890.2025.2520896"
"83","Explainable classification of Parkinson's disease with different motor subtypes by analyzing the synthetic MRI quantitative parameters of subcortical nuclei.","10.1016/j.ejrad.2025.112272"
"84","Identification of a Novel Pyroptosis-Related lncRNAs Prognosis Model and Subtypes in Ovarian Cancer.","10.1007/s43657-024-00173-x"
"85","MOCapsNet: Multiomics Data Integration for Cancer Subtype Analysis Based on Dynamic Self-Attention Learning and Capsule Networks.","10.1021/acs.jcim.4c02130"
"86","Enhancing diagnostic accuracy in liver transplant rejection: The role of imaging and clinical data.","10.1016/j.dld.2025.06.025"
"87","Predictors of improvement in heart failure with preserved ejection fraction after catheter ablation in patients with atrial fibrillation.","10.1016/j.hrthm.2025.02.021"
"88","Construction of diagnostic model and identification of key genes of bipolar disorder based on GA-KPLS.","10.1016/j.jad.2025.120197"
"89","Platinum free interval and clinical benefit of the second-line chemotherapy in recurrent uterine and ovarian carcinosarcoma: a retrospective cohort analysis.","10.3802/jgo.2025.36.e64"
"90","Diagnostic performance of Alzheimer's disease blood and CSF biomarkers in a Brazilian cohort with low educational attainment.","10.1038/s41380-025-03192-w"
"91","Comparative Study of Molecular Descriptors and AI-Based Embeddings for Toxicity Prediction.","10.1021/acs.chemrestox.5c00289"
"92","Muscle Quality Assessed by the Phase Angle Can Predict Renal Prognosis in Patients with Chronic Kidney Disease.","10.3390/jcm14165664"
"93","Analysis of Delirium Risk Assessment Tools for Prediction of Postoperative Delirium Following Lumbar Spinal Fusion.","10.1097/BRS.0000000000005271"
"94","Dual-task deep learning model for prediction of medulloblastoma molecular subgroups with preoperative brain MRI.","10.1007/s11547-025-02105-9"
"95","Prediction of mortality in heart failure by machine learning. Comparison with statistical modeling.","10.1016/j.ejim.2025.01.020"
"96","MemScreen: A smartphone application for detection of mild cognitive impairment: A validation study: Smartphone App for MCI Detection.","10.1016/j.tjpad.2025.100077"
"97","Sagittal FOCUS-MUSE Diffusion-weighted Imaging MRI Improves the Accuracy of Rectal Cancer Location: A Prospective Observational Study.","10.1016/j.acra.2025.05.050"
"98","Development and validation of deep learning model for detection of obstructive coronary artery disease in patients with acute chest pain: a multi-center study.","10.1007/s11547-025-02064-1"
"99","A generative adversarial optimization strategy for predicting counterfactual trajectories of grey matter atrophy.","10.1016/j.cmpb.2025.109095"
"100","Ultrasound hepatorenal index for the diagnosis of steatosis in patients with type 2 diabetes: a prospective validation study.","10.1007/s00330-025-11774-z"
"101","The added value of artificial intelligence using Quantib Prostate for the detection of prostate cancer at multiparametric magnetic resonance imaging.","10.1007/s11547-025-02017-8"
"102","Vision transformer-based multimodal fusion network for classification of tumor malignancy on breast ultrasound: A retrospective multicenter study.","10.1016/j.ijmedinf.2025.105793"
"103","A virtual knee replacement (vKR) multi-component endpoint for knee osteoarthritis based on patient-reported PROs: Data from the Osteoarthritis Initiative.","10.1016/j.joca.2025.08.001"
"104","NT-proBNP to guide risk stratification after cardiac rehabilitation in patients with ST-segment elevation myocardial infarction.","10.1016/j.ejim.2025.04.027"
"105","Predicting early hematoma enlargement in spontaneous intracerebral hemorrhage: Hypocalcemia, Hyperglycemia, and CT signs.","10.1016/j.jstrokecerebrovasdis.2025.108433"
"106","Deep learning for the prediction of acute kidney injury after coronary angiography and intervention in patients with chronic kidney disease: a model development and validation study.","10.1080/0886022X.2025.2474206"
"107","The two cut-offs approach for plasma p-tau217 in detecting Alzheimer's disease in subjective cognitive decline and mild cognitive impairment.","10.1002/dad2.70116"
"108","Development and validation of a predictive model for transfusion in major abdominal surgery: a multicentre retrospective study.","10.1016/j.bja.2025.05.048"
"109","The role of mitochondrial DNA copy number in spent culture medium in predicting outcomes of single blastocyst transfer.","10.1007/s10815-025-03507-4"
"110","Risk factors contributing to 30-day and 1-year mortality event scores following major lower extremity amputation for limb ischemia.","10.1016/j.jvs.2025.02.030"
"111","Adiponectin and HMW Oligomers in Relation to Inflammatory Markers in Crohn's Disease Patients.","10.3390/biomedicines13020273"
"112","Development and validation of a severity-focused score for the assessment of lateral epicondylitis using enhanced magnetic resonance imaging.","10.1016/j.jse.2025.01.052"
"113","[68Ga]Ga-FAPI-04 PET/CT in the evaluation of radiation-induced salivary gland injury in head and neck cancer.","10.1007/s00259-025-07486-7"
"114","Leveraging machine-learning techniques to detect recurrences in cancer registry data: A multi-registry validation study using German lung cancer data.","10.1016/j.ejca.2025.115604"
"115","Ultrasensitive eccDNA Detection for Tumor Diagnostics by Using CRISPR/Cas12a-Coupled Nested PCR.","10.1021/acs.analchem.5c02316"
"116","The Utility of a Prediction Model Using Neurological Examination Findings for Diagnosing Degenerative Cervical Myelopathy.","10.2106/JBJS.24.00098"
"117","Assessing sarcopenia: The JOHAS (Judgment of Objective Hyper-steatosis and Atrophy in Sarcopenia) index as a pragmatic surrogate for skeletal muscle index by bioimpedance analysis.","10.1016/j.clnu.2025.02.023"
"118","Interpretable machine learning of clinical MALDI-TOF spectra discriminates carbapenem-resistant Klebsiella pneumoniae while revealing phylogenetic heterogeneity that limits model generalizability.","10.1016/j.jmsacl.2025.11.003"
"119","Evaluating prediction of short-term tolerability of five type 2 diabetes drug classes using routine clinical features: UK population-based study.","10.1111/dom.16470"
"120","A nomogram model for predicting maternal cardiovascular complications and neonatal adverse outcomes in pregnant patients with pulmonary arterial hypertension.","10.1080/07853890.2025.2541093"
"121","Validity and reliability of the Italian version of the Mild Behavioral Impairment Checklist in cognitively unimpaired and mild cognitive impairment individuals.","10.1177/13872877251380299"
"122","A Practical CEUS TI-RADS Refer to Score and Grading of ACR TI-RADS (2017) for Thyroid Nodules.","10.1016/j.ultrasmedbio.2025.05.005"
"123","Risk Stratification for Cardiovascular Disease: A Comparative Analysis of Cluster Analysis and Traditional Prediction Models.","10.1093/eurjpc/zwaf013"
"124","Evaluation of Diagnostic Accuracy of Preoperative CT-Based Radiomics in Primary Retroperitoneal Sarcoma.","10.1245/s10434-025-18040-y"
"125","Clinical Utility of Frailty Scoring in Elderly Acute Myeloid Leukemia Patients Treated With Venetoclax and Hypomethylating Agents.","10.1111/ejh.70058"
"126","Developing a Simple Scoring System on CT Findings for Predicting Treatment Failure in Mycobacterium avium Complex Pulmonary Disease: The BCD (Bronchiectasis and Cavity Distribution) Score.","10.1093/ofid/ofaf565"
"127","Predicting Job Burnout Among Female Nurses in China With Machine Learning and Shapley Additive Explanations.","10.1155/jonm/2572646"
"128","Unsupervised Feature Selection-Driven Active Learning for Semi-Supervised Automatic ECG Analysis.","10.1109/JBHI.2025.3629804"
"129","Development and validation of a novel risk assessment model for accurate prediction of intraoperative hypothermia in adult patients undergoing different types of surgery: insights from a multicentre, retrospective cohort study.","10.1080/07853890.2025.2489749"
"130","Coronary Angiography-Derived Murray Law-Based Quantitative Flow Ratio (μQFR) After De Novo Drug-Coated Balloon Angioplasty.","10.1002/ccd.70150"
"131","Using Machine Learning Methods to Examine Turnover Rates in State Health Agencies.","10.1097/PHH.0000000000002251"
"132","A point-based cognitive impairment scoring system for southeast Asian adults.","10.1016/j.tjpad.2025.100069"
"133","Development and Validation of Nomogram to Predict Frailty for Older Patients Undergoing Abdominal Surgery.","10.2147/CIA.S545803"
"134","Machine Learning-Based Prediction of Determinants of Appropriate Complementary Feeding Practices Among Women With Children Aged 6-23 Months in Sub-Saharan Africa.","10.1002/fsn3.70837"
"135","Developing efficient predictive models for the diagnosis of VEXAS syndrome.","10.1016/j.semarthrit.2025.152796"
"136","Development and validation of nomograms of outcomes for first-line platinum-based chemotherapy for metastatic triple-negative breast cancer: patient-level analysis of five prospective clinical trials in China.","10.1177/17588359251395906"
"137","Automated Artificial Intelligence Mapping of Coronary Plaque Calcification: A Comparison with Manual Intravascular Image Analysis.","10.3390/jcm14228166"
"138","Lymph Nodal Yield and Prediction of Mortality in Oral Squamous Cell Carcinoma Patients.","10.1002/ohn.70040"
"139","Enhanced osteoporosis screening via multi-output deep learning: Segmentation and classification of metacarpal radiographs.","10.1016/j.ejrad.2025.112507"
"140","Predicting Semen Analysis Parameters from Testicular Ultrasonography Images Using Deep Learning Algorithms: An Innovative Approach to Male Infertility Diagnosis.","10.3390/jcm14020516"
"141","Enhancing breast cancer screening: Unveiling explainable cross-view contributions in dual-view mammography with Sparse Bipartite Graphs Attention Networks.","10.1016/j.compmedimag.2025.102620"
"142","Machine learning-based migraine analysis using retinal vessel diameters from optical coherence tomography: an alternative approach.","10.1007/s10072-025-08462-7"
"143","SCUBE-1 Levels and Their Relationship with Endothelial Dysfunction in Obstructive Sleep Apnea Syndrome Patients.","10.2147/NSS.S509757"
"144","Universal screening for congenital Cytomegalovirus infection using saliva from the neonate.","10.1016/j.jcv.2025.105800"
"145","Development and Validation of an Interpretable Machine Learning Model for Predicting Early Fusion After Anterior Cervical Discectomy and Fusion.","10.1097/BRS.0000000000005595"
"146","Construction and validation of nomogram prediction model for ketoacidosis in elderly diabetic patients based on baseline data and glycolipid metabolism.","10.1111/jdi.70058"
"147","Development of the Perihilar Cholangiocarcinoma Risk Estimation of Tumor Recurrence After Transplant (PRETREAT) Score.","10.1097/SLA.0000000000006815"
"148","Supersulfide metabolome of exhaled breath condensate applied as diagnostic biomarkers for esophageal cancer.","10.1111/cas.16430"
"149","A colorectal liver metastasis prediction model based on the combination of lipoprotein-associated phospholipase A2 and serum biomarker levels.","10.1016/j.cca.2025.120143"
"150","LINC00265 Serves as a Diagnostic and Prognostic Marker for Acute Ischemic Stroke and INHIBITS Disease Progression Through the miR- 155 - 5p/TRIM32 Axis.","10.1007/s12035-025-04973-8"
"151","Development and Multi-center validation of a machine learning Model for advanced colorectal neoplasms screening.","10.1016/j.compbiomed.2025.110066"
"152","The role of resistin and adiponectin ratios with uric acid in assessing metabolic syndrome in type 2 diabetes.","10.1007/s11010-024-05200-z"
"153","Objectively measured physical function predicts mortality in older adults with acute myeloid leukemia treated by lower-intensity therapy: A prospective cohort study.","10.1016/j.jgo.2025.102335"
"154","Developing a Risk Score for Predicting Multiple Revision Surgeries in Patients With Fracture-Related Infections.","10.5435/JAAOS-D-24-00494"
"155","Use of amide proton transfer (APT) imaging in the differentiation of pediatric low-grade brain tumors from tumor-like brain lesions.","10.1007/s00234-025-03582-5"
"156","Decoding Epigenetic Enhancer-Promoter Interactions in Periodontitis via Transformer-GAN: A Deep Learning Framework for Inflammatory Gene Regulation and Biomarker Discovery.","10.1016/j.identj.2025.103879"
"157","Assessing the effect of perfluoroalkyl and polyfluoroalkyl substances on cardiovascular-kidney-metabolic syndrome: Insights from an interpretable machine learning model.","10.1016/j.scitotenv.2025.180003"
"158","Predictive Value of Age, Creatinine, and Ejection Fraction I and II Scores for Postoperative Atrial Fibrillation in Isolated On-Pump Coronary Artery Bypass Grafting Surgery: A Multicenter Retrospective Study.","10.1159/000543188"
"159","Are the dominant-nondominant functional differences at 4.5 months after open Latarjet procedure better predictors for successful return to sport at 1 year postoperatively than the operated-nonoperated differences?","10.1016/j.jse.2024.12.046"
"160","Enhancing Survival Prediction After Venoarterial Extracorporeal Membrane Oxygenation Using Machine Learning.","10.1097/MAT.0000000000002475"
"161","Simultaneous free-breathing T1, T2, and T1ρ mapping for myocardial fibrosis detection in non-ischemic cardiomyopathy: A comparative study with conventional techniques.","10.1016/j.jocmr.2025.101982"
"162","The detection of apical radiolucencies in periapical radiographs: A comparison between an artificial intelligence platform and expert endodontists with CBCT serving as the diagnostic benchmark.","10.1111/iej.14250"
"163","Would Roussouly classification affect the diagnostic efficiency of vertebral bone quality score for assessing osteopenia or osteoporosis in lumbar degenerative disease?","10.1007/s00586-025-08760-w"
"164","Denosumab Dosage and Tooth Extraction Predict Medication-Related Osteonecrosis of the Jaw in Patients with Breast Cancer and Bone Metastases.","10.3390/cancers17132242"
"165","Emergency Department Serum Electrolyte Patterns in Paroxysmal Atrial Fibrillation.","10.1002/jcla.70030"
"166","Whole slide image-level classification of malignant effusion cytology using clustering-constrained attention multiple instance learning.","10.1016/j.lungcan.2025.108552"
"167","Model-based analysis of pulse transit time-derived features for the classification of obstructive and central apneas.","10.1109/TBME.2025.3622354"
"168","Prognostic impact of different lymph node staging systems in patients with esophageal squamous cell carcinoma.","10.1007/s00464-025-12408-7"
"169","Prognostic relevance of bone marrow immune cell fractions in newly diagnosed B-cell non-Hodgkin lymphoma patients.","10.1080/07853890.2025.2490825"
"170","Evaluating the performance of a multiparametric IgA assay for celiac disease diagnosis.","10.1515/cclm-2025-0705"
"171","The prognostic value of anti-gp210 and anti-centromere antibodies in patients with primary biliary cholangitis: Enhancing the prognostic utility on the GLOBE scoring system.","10.1016/j.dld.2024.12.024"
"172","A predictive model for early detection of concomitant pulmonary embolism in patients with deep vein thrombosis immediately upon hospital admission.","10.1016/j.jvsv.2025.102299"
"173","Deep Learning Models Based on Pretreatment MRI and Clinicopathological Data to Predict Responses to Neoadjuvant Systemic Therapy in Triple-Negative Breast Cancer.","10.3390/cancers17060966"
"174","A Novel Model Using ML Techniques for Clinical Trial Design and Expedited Patient Onboarding Process.","10.2147/CEOR.S479603"
"175","Prognostic circulatory signature metabolites of stable versus unstable angina: an application of NMR spectroscopy.","10.1152/ajpheart.00707.2024"
"176","Opportunistic prognostication by computerized tomography (CT) in the emergency department: analysis on 1920 patients and creation of a simple and fast scoring system.","10.1007/s11547-025-01986-0"
"177","Fibrosis-4plus score: a novel machine learning-based tool for screening high-risk varices in compensated cirrhosis (CHESS2004): an international multicenter study.","10.3350/cmh.2024.0898"
"178","Predicting early severe midline shift in acute ischemic stroke Within 24 h of endovascular thrombectomy.","10.1007/s00234-025-03818-4"
"179","Discriminative Ability of the Charlson Comorbidity Index for Long-Term Mortality in a General Population: Nationwide, Population-Based Study of 10 Million Adults in Sweden.","10.2147/CLEP.S568699"
"180","Prediction of Lymph Node Metastasis in Colorectal Cancer Using Intraoperative Fluorescence Multi-Modal Imaging.","10.1109/TMI.2024.3510836"
"181","Development and Validation of a Clinically Applicable Nomogram for Predicting Inferior Alveolar Nerve Injury After Mandibular Cystectomy.","10.1016/j.joms.2025.09.019"
"182","Automated Age and Sex Estimation From Dental Panoramic Radiographs.","10.1016/j.identj.2025.103967"
"183","Comparative Assessment of Risk Score Performance in Ruptured Abdominal Aortic Aneurysm Repair Risk Stratification.","10.1016/j.ejvs.2025.04.002"
"184","Association of CALLY index and CLR with COPD risk in middle-aged and older Americans: evidence from NHANES 2017-2020.","10.3389/fmed.2025.1535415"
"185","Composite endpoint for liver and colon simultaneous surgery: a proposed approach to reduce sample size of future clinical trials.","10.1016/j.gassur.2025.102262"
"186","Risk Stratification for the Prognosis of Patients With pT3aN0M0 Clear Cell Renal Cell Carcinoma.","10.1016/j.clgc.2025.102400"
"187","Ultrasensitive Electrochemical Screening of Circulating Tumor Cells Over Single-Atom Nanozyme Integrated 3D Nanoarray.","10.1002/smll.202409212"
"188","Multiparametric MRI-based machine learning system of molecular subgroups and prognosis in medulloblastoma.","10.1007/s00330-025-11385-8"
"189","Construction and validation of a risk prediction model for cognitive frailty in older patients with chronic heart failure.","10.1016/j.gerinurse.2025.103676"
"190","Development of a prognosis model for PARP inhibitor therapies based on multiple genomic alterations associated with homologous recombination deficiency in ovarian cancer.","10.1016/j.ijgc.2025.101987"
"191","Reducing Bias in the Evaluation of Robotic Surgery for Lung Cancer Through Machine Learning.","10.3390/cancers17203347"
"192","Development of a risk score predicting survival after adult heart transplantation in the United States.","10.1016/j.healun.2025.07.004"
"193","Predictive value of tumoral and peritumoral radiomic features in neoadjuvant chemotherapy response for breast cancer: a retrospective study.","10.1007/s11547-025-01969-1"
"194","A 3D deep learning model based on MRI for predicting lymphovascular invasion in rectal cancer.","10.1002/mp.17882"
"195","Prediction of clinical outcomes of immune checkpoint inhibitors in advanced head and neck cancer directly from histopathology slides using inferred transcriptomics.","10.1016/j.oraloncology.2025.107536"
"196","Hybrid transformer-based model for mammogram classification by integrating prior and current images.","10.1002/mp.17650"
