"","title","doi"
"69","Research on the predictive efficacy of MRI-based endplate bone quality and vertebral body bone quality scores for adjacent segment degeneration after lumbar spinal fusion.","10.1007/s00586-025-09239-4"
"70","Utility of Sepsis-induced Coagulopathy Among Disseminated Intravascular Coagulation Diagnostic Criteria: A Multicenter Retrospective Validation Study.","10.1055/a-2530-7553"
"71","Role of 18F-AlF-NOTATATE PET/CT in selecting pediatric neuroblastoma candidates for 177Lu-DOTATATE peptide receptor radionuclide therapy.","10.3389/fmed.2025.1615136"
"72","A Nomogram for Predicting Pulmonary Complications Following Laparoscopic Surgery in Elderly Patients After the COVID-19 Pandemic.","10.2147/CIA.S515849"
"73","Prediction of antimicrobial resistance from MALDI-TOF mass spectra using machine learning: a validation study.","10.1128/jcm.01186-25"
"74","Contrast-enhanced MRI-based multi-parameter habitats radiomics models to predict early recurrence in early-stage hepatocellular carcinoma following curative resection.","10.1016/j.ejrad.2025.112560"
"75","Serum N-Glycans as Independent Predictors of Death: A Prospective Investigation in the AEGIS Cohort.","10.1016/j.mcpro.2025.101217"
"76","Multimodal deep-learning model using pre-treatment endoscopic images and clinical information to predict efficacy of neoadjuvant chemotherapy in esophageal squamous cell carcinoma.","10.1007/s10388-025-01106-x"
"77","A deep learning framework to stratify Nottingham histologic grade 2 breast tumors based on dynamic contrast-enhanced MRI.","10.1007/s00330-025-12208-6"
"78","Identification of lactylation-related biomarkers in osteoporosis from transcriptome and single-cell data.","10.3389/fendo.2025.1621878"
"79","An Easy and Quick Risk-Stratified Early Forewarning Model for Septic Shock in the Intensive Care Unit: Development, Validation, and Interpretation Study.","10.2196/58779"
"80","Application of Orofacial Muscle Strength Measurement to Screen for Penetration/Aspiration Risk in Older Adults With Sarcopenia: A Diagnostic Accuracy Study.","10.1111/joor.13933"
"81","Predicting knee osteoarthritis progression using neural network with longitudinal MRI radiomics, and biochemical biomarkers: A modeling study.","10.1371/journal.pmed.1004665"
"82","Accurate screening of patients with diabetes based on physical examination: pancreas imaging features from chest CT and laboratory data.","10.3389/fendo.2025.1698247"
"83","Determinants of early lactation failure in mothers of moderately preterm neonates: a multilevel analysis of survey data.","10.3389/fnut.2025.1668778"
"84","Automated Creak Identifies Laryngeal Dystonia During Conversational Speech.","10.1002/lary.70332"
"85","Early prediction of periventricular leukomalacia from MRI changes: a machine learning approach for risk stratification.","10.1007/s00330-025-11981-8"
"86","A vision transformer-convolutional neural network framework for decision-transparent dual-energy X-ray absorptiometry recommendations using chest low-dose CT.","10.1016/j.ijmedinf.2025.105901"
"87","MRI-based SIR quantitative biomarkers: a novel imaging diagnostic strategy for thyroid eye disease activity staging.","10.3389/fendo.2025.1650116"
"88","Quantitative Analysis With Time-Dependent Diffusion MRI for Assessing WHO/ISUP Tumor Grade in Clear Cell Renal Cell Carcinoma.","10.3348/kjr.2024.1202"
"89","Development and validation of a nomogram for the prediction of metabolic syndrome in polycystic ovary syndrome in a Chinese population.","10.1080/14737159.2025.2579046"
"90","Assessment of a Zero-Shot Large Language Model in Measuring Documented Goals-of-Care Discussions.","10.1016/j.jpainsymman.2025.09.025"
"91","Performance of fasting plasma glucose for community-based screening of undiagnosed diabetes and pre-diabetes in sub-Saharan Africa.","10.3389/fendo.2025.1501383"
"92","The role of netrin-1 in the diagnosis and prognosis of bladder pain syndrome /interstitial cystitis: a comparative study.","10.1007/s00345-025-05659-5"
"93","High dietary live microbe intake associated with reduced depressive symptoms in gastrointestinal disease patients: findings from a cross-sectional study.","10.1186/s12986-025-00976-3"
"94","Necroptotic and Apoptotic Pathways in Sepsis: A Comparative Analysis of Pediatric and Adult ICU Patients.","10.3390/biomedicines13071747"
"95","Renal and Peripheral Blood Transcriptome Signatures That Predict Treatment Response in Proliferative Lupus Nephritis-A Prospective Study.","10.1111/imm.13891"
"96","The value of serial [⁶⁸Ga]Ga-FAPI-04 PET/CT in predicting pathological response and evaluating therapeutic efficacy to neoadjuvant chemotherapy in breast cancer.","10.1007/s00259-025-07444-3"
"97","Stratification of glioblastoma patient survival based on tumor core and edge metabolomic data.","10.3171/2025.3.JNS242330"
"98","Validation of Phase Angle Cutoff Values Derived From Bioelectrical Impedance Analysis for Sarcopenia Screening in Community-Dwelling Older Korean Adults.","10.1016/j.jamda.2025.105798"
"99","Clinical study of intelligent tongue diagnosis and oral microbiome for classifying TCM syndromes in MASLD.","10.1186/s13020-025-01118-w"
"100","Habitat Radiomics Based on MRI for Predicting Metachronous Liver Metastasis in Locally Advanced Rectal Cancer: a Two‑center Study.","10.1016/j.acra.2025.02.046"
"101","Psychometric properties of the Federal Unit Scale for general psychopathology screening without iatrogenic effects.","10.1016/j.jpsychires.2025.02.057"
"102","Prediction of Sepsis after Endourologic Kidney Stone Surgery: A Machine Learning Approach.","10.1089/end.2024.0922"
"103","Artificial Intelligence Models for Diagnosing Pulpitis in Adults Using a Modified Wolters Classification: A Diagnostic Accuracy Study.","10.1111/iej.70055"
"104","Predictive value of Geriatric Nutritional Risk Index for overall survival in maintenance hemodialysis patients.","10.3389/fnut.2025.1640061"
"105","One-Month Changes in Choroidal Vascularity Index of Medium Vessel Layer in Children with Myopia Wearing Orthokeratology Lenses: a Predictor for One-Year Changes in Axial Length.","10.1007/s40123-025-01210-2"
"106","Insulin-like growth factor 1 as a diagnostic marker of progressive central precocious puberty: a prospective study.","10.1007/s00431-025-06276-5"
"107","Enhanced mortality prediction in pediatric sepsis using NGAL: A comparison with PRISM III scores in critical care settings.","10.1007/s00431-025-06017-8"
"108","Prognostic impact of nutritional indicators based on Lasso-Cox regression for non-muscle-invasive bladder cancer.","10.3389/fnut.2025.1560655"
"109","Prognostic valule of vasoactive drug score, NT-proBNP, and blood lactate level at 6 h post-admission in adult sepsis patients:A single-center, retrospective study.","10.1016/j.cyto.2025.156891"
"110","CELL FREE DNA-BASED PREDICTION OF PROGNOSIS FOR PATIENTS ON VENO-ARTERIAL EXTRACORPOREAL MEMBRANE OXYGENATION.","10.1097/SHK.0000000000002569"
"111","Single-cell transcriptomics and machine learning unveil ferroptosis features in tumor-associated macrophages: Prognostic model and therapeutic strategies for lung adenocarcinoma.","10.3389/fphar.2025.1598756"
"112","Association between dietary inflammatory index and endometriosis in the US population: A cross-sectional study.","10.1016/j.exger.2025.112846"
"113","Anti-HBc IgM associates with acute flare and HBeAg/HBsAg loss in chronic hepatitis B patients with acute exacerbation.","10.1080/21505594.2025.2534078"
"114","Prediction model for intrapartum cesarean delivery among women with gestational diabetes mellitus.","10.1007/s00404-025-08147-8"
"115","Diagnostic Performance of Ultrasound-Derived Fat Fraction and Automated Point Shear Wave Elastography for Hepatic Steatosis and Fibrosis in Suspected Steatotic Liver Disease: A Prospective Multicenter Study.","10.1016/j.ultrasmedbio.2025.09.021"
"116","PLM-VF: A novel predictor for virulent proteins in bacterial pathogens based on multi-scale CNN and protein language models.","10.1016/j.ijbiomac.2025.146075"
"117","Roving histological imaging for navigation-confirmed glioma negative margin by handheld endomicroscopy: a parallel controlled study.","10.1097/JS9.0000000000002292"
"118","Distinguishing very high-risk patients among high-risk gastrointestinal stromal tumor cases: development and validation of a nomogram based on a multicenter population-based retrospective cohort study.","10.1080/07853890.2025.2520896"
"119","Paroxysmal sympathetic hyperactivity risk modeling based on transients in time series describing the autonomic nervous system and cerebral hemodynamics.","10.1007/s00701-025-06566-9"
"120","Individualized diagnosis of Parkinson's disease based on multivariate magnetic resonance imaging radiomics and clinical indexes.","10.3389/fnagi.2025.1504733"
"121","Peripheral circular RNAs hsa_circ_0075436 and hsa_circ_0005729 as diagnostic and prognostic biomarkers in acute ischemic stroke: expression profiles and mechanistic insights.","10.3389/fmolb.2025.1657284"
"122","Association between fasting glucose/high-density lipoprotein cholesterol ratio and cardiovascular disease risk in Chinese middle-aged and older adults: a longitudinal study.","10.3389/fcvm.2025.1609891"
"123","Psychometric Properties of the Social Responsiveness Scale 2nd Edition (SRS-2) and Development of a Short Version in a Spanish Sample.","10.1007/s10803-025-07000-w"
"124","Explainable classification of Parkinson's disease with different motor subtypes by analyzing the synthetic MRI quantitative parameters of subcortical nuclei.","10.1016/j.ejrad.2025.112272"
"125","Identification of a Novel Pyroptosis-Related lncRNAs Prognosis Model and Subtypes in Ovarian Cancer.","10.1007/s43657-024-00173-x"
"126","MOCapsNet: Multiomics Data Integration for Cancer Subtype Analysis Based on Dynamic Self-Attention Learning and Capsule Networks.","10.1021/acs.jcim.4c02130"
"127","Dual tissue mRNA and serum protein signatures improve risk stratification in hepatocellular carcinoma.","10.1038/s41698-025-01142-x"
"128","Innovative rapid pathological assessment technology for hepatocellular carcinoma following comprehensive treatment guided by indocyanine green fluorescence imaging.","10.1007/s13304-025-02301-2"
"129","Enhancing diagnostic accuracy in liver transplant rejection: The role of imaging and clinical data.","10.1016/j.dld.2025.06.025"
"130","Construction and validation of a perioperative blood transfusion model for patients undergoing total hip arthroplasty with osteonecrosis of the femoral head based on machine learning.","10.3389/fmed.2025.1471746"
"131","Predictors of improvement in heart failure with preserved ejection fraction after catheter ablation in patients with atrial fibrillation.","10.1016/j.hrthm.2025.02.021"
"132","The predictive value comparison of the different nutritional assessment tools for postoperative delirium in elderly patients after non-cardiac surgery.","10.3389/fnut.2025.1673973"
"133","Construction of diagnostic model and identification of key genes of bipolar disorder based on GA-KPLS.","10.1016/j.jad.2025.120197"
"134","Platinum free interval and clinical benefit of the second-line chemotherapy in recurrent uterine and ovarian carcinosarcoma: a retrospective cohort analysis.","10.3802/jgo.2025.36.e64"
"135","Diagnostic performance of Alzheimer's disease blood and CSF biomarkers in a Brazilian cohort with low educational attainment.","10.1038/s41380-025-03192-w"
"136","Comparative Study of Molecular Descriptors and AI-Based Embeddings for Toxicity Prediction.","10.1021/acs.chemrestox.5c00289"
"137","Muscle Quality Assessed by the Phase Angle Can Predict Renal Prognosis in Patients with Chronic Kidney Disease.","10.3390/jcm14165664"
"138","Analysis of Delirium Risk Assessment Tools for Prediction of Postoperative Delirium Following Lumbar Spinal Fusion.","10.1097/BRS.0000000000005271"
"139","Dual-task deep learning model for prediction of medulloblastoma molecular subgroups with preoperative brain MRI.","10.1007/s11547-025-02105-9"
"140","Noninvasive Prediction of Programmed Cell Death Protein-Ligand 1 Expression in Locally Advanced Non-small Cell Lung Cancer by 18F-Fluorodeoxyglucose Positron Emission Tomography/Computed Tomography-Based Metabolic Habitats: A Multicenter Radiomic and Biological Study.","10.1245/s10434-025-18139-2"
"141","Prediction of mortality in heart failure by machine learning. Comparison with statistical modeling.","10.1016/j.ejim.2025.01.020"
"142","Does a modified metabolic syndrome definition improve prediction of cardiovascular events and mortality? findings from a 17-year cohort study.","10.1186/s41043-025-01083-y"
"143","MemScreen: A smartphone application for detection of mild cognitive impairment: A validation study: Smartphone App for MCI Detection.","10.1016/j.tjpad.2025.100077"
"144","Sagittal FOCUS-MUSE Diffusion-weighted Imaging MRI Improves the Accuracy of Rectal Cancer Location: A Prospective Observational Study.","10.1016/j.acra.2025.05.050"
"145","Development and validation of deep learning model for detection of obstructive coronary artery disease in patients with acute chest pain: a multi-center study.","10.1007/s11547-025-02064-1"
"146","A generative adversarial optimization strategy for predicting counterfactual trajectories of grey matter atrophy.","10.1016/j.cmpb.2025.109095"
"147","Ultrasound hepatorenal index for the diagnosis of steatosis in patients with type 2 diabetes: a prospective validation study.","10.1007/s00330-025-11774-z"
"148","Ultrasonographic assessment of thenar muscles for diagnosing sarcopenic obesity in patients with schizophrenia.","10.3389/fpsyt.2025.1698379"
"149","The added value of artificial intelligence using Quantib Prostate for the detection of prostate cancer at multiparametric magnetic resonance imaging.","10.1007/s11547-025-02017-8"
"150","Forecasting framework for dominant SARS-CoV-2 strains before clade replacement using phylogeny-informed genetic distances.","10.3389/fmicb.2025.1619546"
"151","Polygenic score from MODY genes is associated with type 1 diabetes and disease characteristics.","10.1007/s00592-025-02544-w"
"152","Vision transformer-based multimodal fusion network for classification of tumor malignancy on breast ultrasound: A retrospective multicenter study.","10.1016/j.ijmedinf.2025.105793"
"153","A virtual knee replacement (vKR) multi-component endpoint for knee osteoarthritis based on patient-reported PROs: Data from the Osteoarthritis Initiative.","10.1016/j.joca.2025.08.001"
"154","NT-proBNP to guide risk stratification after cardiac rehabilitation in patients with ST-segment elevation myocardial infarction.","10.1016/j.ejim.2025.04.027"
"155","Analysis of risk factors and construction of a predictive model for contralateral occult carcinoma in patients with unilateral papillary thyroid carcinoma.","10.3389/fendo.2025.1532840"
"156","Predicting early hematoma enlargement in spontaneous intracerebral hemorrhage: Hypocalcemia, Hyperglycemia, and CT signs.","10.1016/j.jstrokecerebrovasdis.2025.108433"
"157","Predicting sentinel lymph node metastasis in breast cancer: a study based on the SEER database.","10.1007/s10238-025-01591-5"
"158","Deep learning for the prediction of acute kidney injury after coronary angiography and intervention in patients with chronic kidney disease: a model development and validation study.","10.1080/0886022X.2025.2474206"
"159","The two cut-offs approach for plasma p-tau217 in detecting Alzheimer's disease in subjective cognitive decline and mild cognitive impairment.","10.1002/dad2.70116"
"160","Development and validation of a predictive model for transfusion in major abdominal surgery: a multicentre retrospective study.","10.1016/j.bja.2025.05.048"
"161","A machine learning-based nomogram for predicting graft survival in allograft kidney transplant recipients: a 20-year follow-up study.","10.3389/fmed.2025.1556374"
"162","The role of mitochondrial DNA copy number in spent culture medium in predicting outcomes of single blastocyst transfer.","10.1007/s10815-025-03507-4"
"163","A novel prognostic signature integrating disulfidptosis- and ferroptosis-related genes in acute myeloid leukemia.","10.1007/s10238-025-01670-7"
"164","Risk factors contributing to 30-day and 1-year mortality event scores following major lower extremity amputation for limb ischemia.","10.1016/j.jvs.2025.02.030"
"165","Adiponectin and HMW Oligomers in Relation to Inflammatory Markers in Crohn's Disease Patients.","10.3390/biomedicines13020273"
"166","Development and validation of a severity-focused score for the assessment of lateral epicondylitis using enhanced magnetic resonance imaging.","10.1016/j.jse.2025.01.052"
"167","[68Ga]Ga-FAPI-04 PET/CT in the evaluation of radiation-induced salivary gland injury in head and neck cancer.","10.1007/s00259-025-07486-7"
"168","Leveraging machine-learning techniques to detect recurrences in cancer registry data: A multi-registry validation study using German lung cancer data.","10.1016/j.ejca.2025.115604"
"169","Ultrasensitive eccDNA Detection for Tumor Diagnostics by Using CRISPR/Cas12a-Coupled Nested PCR.","10.1021/acs.analchem.5c02316"
"170","Preoperatively predicting failure to achieve the minimum clinically important difference and substantial clinical benefit for total knee arthroplasty patients using machine learning.","10.1186/s43019-025-00289-y"
"171","Development of a nomogram model for predicting coronary heart disease in patients with metabolic-associated fatty liver disease.","10.3389/fcvm.2025.1652321"
"172","The Utility of a Prediction Model Using Neurological Examination Findings for Diagnosing Degenerative Cervical Myelopathy.","10.2106/JBJS.24.00098"
"173","Assessing sarcopenia: The JOHAS (Judgment of Objective Hyper-steatosis and Atrophy in Sarcopenia) index as a pragmatic surrogate for skeletal muscle index by bioimpedance analysis.","10.1016/j.clnu.2025.02.023"
"174","Interpretable machine learning of clinical MALDI-TOF spectra discriminates carbapenem-resistant Klebsiella pneumoniae while revealing phylogenetic heterogeneity that limits model generalizability.","10.1016/j.jmsacl.2025.11.003"
"175","Evaluating prediction of short-term tolerability of five type 2 diabetes drug classes using routine clinical features: UK population-based study.","10.1111/dom.16470"
"176","Quantitative assessment of hepatic steatosis by ultrasound-guided attenuation parameter in patients with impaired glucose tolerance.","10.1186/s13244-025-02123-1"
"177","Association between the platelet-to-albumin ratio and 28-day all-cause mortality in critically ill patients with Pulmonary embolism: a retrospective cohort study and predictive model establishment based on machine learning.","10.3389/fmed.2025.1680205"
"178","A nomogram model for predicting maternal cardiovascular complications and neonatal adverse outcomes in pregnant patients with pulmonary arterial hypertension.","10.1080/07853890.2025.2541093"
"179","Validity and reliability of the Italian version of the Mild Behavioral Impairment Checklist in cognitively unimpaired and mild cognitive impairment individuals.","10.1177/13872877251380299"
"180","Res-ECA-UNet++: an automatic segmentation model for ovarian tumor ultrasound images based on residual networks and channel attention mechanism.","10.3389/fmed.2025.1589356"
"181","A Practical CEUS TI-RADS Refer to Score and Grading of ACR TI-RADS (2017) for Thyroid Nodules.","10.1016/j.ultrasmedbio.2025.05.005"
"182","Risk Stratification for Cardiovascular Disease: A Comparative Analysis of Cluster Analysis and Traditional Prediction Models.","10.1093/eurjpc/zwaf013"
"183","Evaluation of Diagnostic Accuracy of Preoperative CT-Based Radiomics in Primary Retroperitoneal Sarcoma.","10.1245/s10434-025-18040-y"
"184","Machine learning-based model for predicting metabolic dysfunction-associated steatotic liver disease using non-invasive parameters in young adults.","10.3389/fendo.2025.1701729"
"185","Clinical Utility of Frailty Scoring in Elderly Acute Myeloid Leukemia Patients Treated With Venetoclax and Hypomethylating Agents.","10.1111/ejh.70058"
"186","Developing a Simple Scoring System on CT Findings for Predicting Treatment Failure in Mycobacterium avium Complex Pulmonary Disease: The BCD (Bronchiectasis and Cavity Distribution) Score.","10.1093/ofid/ofaf565"
"187","Multi-shot gradient-echo planar imaging sequence in non-contrast coronary magnetic resonance angiography.","10.3389/fcvm.2025.1496853"
"188","Predicting Job Burnout Among Female Nurses in China With Machine Learning and Shapley Additive Explanations.","10.1155/jonm/2572646"
"189","Unsupervised Feature Selection-Driven Active Learning for Semi-Supervised Automatic ECG Analysis.","10.1109/JBHI.2025.3629804"
"190","Development and validation of a novel risk assessment model for accurate prediction of intraoperative hypothermia in adult patients undergoing different types of surgery: insights from a multicentre, retrospective cohort study.","10.1080/07853890.2025.2489749"
"191","Coronary Angiography-Derived Murray Law-Based Quantitative Flow Ratio (μQFR) After De Novo Drug-Coated Balloon Angioplasty.","10.1002/ccd.70150"
"192","Assessment of intrahepatic cholangiocarcinoma with LI-RADS in the high-risk population: MRI diagnosis and postoperative survival.","10.1186/s40644-025-00860-6"
"193","Using Machine Learning Methods to Examine Turnover Rates in State Health Agencies.","10.1097/PHH.0000000000002251"
"194","Multimodal radiomics of cerebellar subregions for machine learning-driven Alzheimer's disease diagnosis.","10.3389/fnagi.2025.1679788"
"195","A point-based cognitive impairment scoring system for southeast Asian adults.","10.1016/j.tjpad.2025.100069"
"196","Development and Validation of Nomogram to Predict Frailty for Older Patients Undergoing Abdominal Surgery.","10.2147/CIA.S545803"
"197","Machine Learning-Based Prediction of Determinants of Appropriate Complementary Feeding Practices Among Women With Children Aged 6-23 Months in Sub-Saharan Africa.","10.1002/fsn3.70837"
