"","X","doi","article","model","sample_size","study_type","model_type","auc","auc_ci_low","auc_ci_upper","sens","sens_ci_lower","sens_ci_upper","spec","spec_ci_lower","spec_ci_upper","roc","roc_colour","roc_panel","exclude"
"6747",8501,"10_1016_j_cca_2025_120143",1,5,248,"internal validation","diagnostic",0.918,NA,NA,82.3,NA,NA,88.9,NA,NA,"yes",NA,"Figure 4B","no"
"3784",4867,"10_3389_fendo_2025_1687145",2,8,81,"development","diagnostic",0.978,0.947,1.009,100,NA,NA,96.4,NA,NA,"yes","could not determine","Figure 2D","no"
"6338",7939,"10_1007_s43657-024-00179-5",5,1,368,"development","prognostic",0.811,NA,NA,68.1,NA,NA,81.7,NA,NA,"yes","blue","Figure 3A","no"
"6857",8617,"10_1016_j_cjca_2025_02_032",4,13,91,"development","diagnostic",0.777,NA,NA,71.4,NA,NA,77,NA,NA,"yes","could not determine","Figure 3A","no"
"3797",4883,"10_3389_fendo_2025_1670909",4,6,51,"external validation","prognostic",0.652,NA,NA,73.3,NA,NA,47.6,NA,NA,"yes","could not determine","could not determine","no"
"5115",6391,"10_3390_cancers17152515",3,53,751,"development","prognostic",0.805,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 6e","no"
"6619",8255,"10_1016_j_ajp_2025_104738",4,3,113,"development","diagnostic",0.62,NA,NA,75,NA,NA,61,NA,NA,"yes","blue","Figure 2","no"
"1118",1489,"10_1038_s41380-025-03192-w",5,4,39,"development","diagnostic",0.78,0.61,0.94,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 4A","no"
"2235",2997,"10_1177_08465371251335170",2,2,54,"external validation","prognostic",0.62,NA,NA,NA,NA,NA,NA,NA,NA,"yes",NA,"Figure 6","no"
"1928",2594,"10_1111_eci_70052",2,1,385,"development","prognostic",0.82,0.71,0.92,69,NA,NA,87,NA,NA,"yes","could not determine","Figure 1","no"
"7180",9167,"10_1016_j_ejrad_2025_111958",3,11,53,"external validation","diagnostic",0.795,0.661,0.928,81.2,NA,NA,76.2,NA,NA,"yes","red","Figure 4C","no"
"6987",8866,"10_1016_j_compbiomed_2025_110666",2,3,82,"internal validation","diagnostic",0.8,NA,NA,80.48,NA,NA,80.27,NA,NA,"yes","could not determine","Figure 5","no"
"6446",8047,"10_1016_j_acra_2025_04_072",4,13,129,"internal validation","diagnostic",0.99,0.992,1,100,NA,NA,98,NA,NA,"yes","could not determine","Figure 5b","no"
"1493",1980,"10_1093_eurheartj_ehaf949",2,4,475,"development","diagnostic",0.85,0.81,0.87,79.7,76.1,86.1,77,70.2,80.5,"yes","blue","Figure 4C","no"
"2472",3297,"10_1186_s13075-025-03478-y",3,4,1155,"development","diagnostic",0.75,0.68,0.82,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 3A","no"
"3283",4235,"10_3168_jds_2025-27130",4,13,28,"development","diagnostic",0.66,NA,NA,50,NA,NA,17.9,NA,NA,"yes",NA,"Figure 3C","no"
"5840",7374,"10_1007_s10143-025-03528-8",1,1,124,"development","diagnostic",0.795,NA,NA,88.7,NA,NA,62.1,NA,NA,"yes","blue","Figure 8C","no"
"3085",4009,"10_2147_clep_s568699",4,1,599679739,"development","prognostic",0.694,0.694,0.694,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 2","no"
"208",254,"10_1016_j_jbiomech_2025_113073",2,9,211,"development","diagnostic",0.822,0.747,0.882,84.1,NA,NA,68.5,NA,NA,"yes",NA,"Figure 4B","no"
"6267",7854,"10_1007_s13167-025-00412-9",4,36,438,"external validation","diagnostic",0.74,0.674,0.803,92.7,NA,NA,49.6,NA,NA,"yes","could not determine","Figure 4b","no"
"5586",7030,"10_1007_s00415-025-13361-0",5,6,564,"development","prognostic",0.804,0.735,0.872,NA,NA,NA,NA,NA,NA,"yes","blue","Figure 6a","no"
"2614",3441,"10_1007_s00261-025-04873-4",3,7,545,"development","prognostic",0.944,NA,NA,50.9,NA,NA,99.1,NA,NA,"yes","could not determine","Figure 4","no"
"2148",2849,"10_1128_jcm_01186-25",2,7,2444,"development","diagnostic",0.75,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 2","no"
"1765",2279,"10_1097_js9_0000000000003070",2,1,354,"development","diagnostic",0.817,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 4A","no"
"646",877,"10_1016_j_parkreldis_2025_107328",2,1,123,"development","prognostic",0.68,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 1A","no"
"5263",6588,"10_1007_s00404-025-07973-0",4,3,11942,"development","prognostic",0.58,NA,NA,NA,NA,NA,NA,NA,NA,"yes","red","Figure 4C","no"
"4717",5889,"10_3389_fnut_2025_1695088",3,1,850,"development","prognostic",0.78,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 4A","no"
"4280",5388,"10_3389_fmed_2025_1637694",2,5,208,"development","diagnostic",0.941,0.912,0.97,89.2,NA,NA,81.4,NA,NA,"yes",NA,"Figure 2","no"
"1944",2610,"10_1111_dom_16470",4,1,162779,"development","prognostic",0.61,0.61,0.62,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 3A2","no"
"3360",4319,"10_3350_cmh_2024_0898",5,12,82,"external validation","diagnostic",0.902,0.82,0.984,63.2,NA,NA,98.4,NA,NA,"yes",NA,"Figure 2F","no"
"58",103,"10_1016_j_injury_2025_112934",5,2,71,"development","diagnostic",0.917,0.854,0.98,NA,NA,NA,NA,NA,NA,"yes",NA,"Figure 3B","no"
"6277",7864,"10_1007_s13167-025-00417-4",5,1,45,"development","diagnostic",0.81,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 3A","no"
"5603",7047,"10_1002_ccd_31534",5,1,586,"development","diagnostic",0.86,0.83,0.89,78.8,73.3,83.4,82.5,73.2,83.7,"yes",NA,"Figure 2C","no"
"2905",3769,"10_1245_s10434-025-17809-5",5,3,286,"development","diagnostic",0.677,NA,NA,NA,NA,NA,NA,NA,NA,"yes",NA,"could not determine","no"
"831",1125,"10_1016_j_spinee_2025_05_025",1,13,103,"external validation","prognostic",0.738,0.553,0.922,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 2A","no"
"1538",2043,"10_1097_brs_0000000000005595",3,2,787,"development","prognostic",0.774,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 2A","no"
"5982",7536,"10_1007_s11547-025-01949-5",2,3,222,"external validation","diagnostic",0.924,0.902,0.945,95.4,NA,NA,72.6,NA,NA,"yes","could not determine","Figure 5c","no"
"7445",9509,"10_1016_j_ejvs_2025_04_002",4,2,2134,"external validation","prognostic",0.687,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 1A","no"
"853",1167,"10_1016_j_tjpad_2025_100077",2,3,2118,"development","diagnostic",0.86,0.84,0.88,NA,NA,NA,NA,NA,NA,"yes","red","Figure 2","no"
"6942",8744,"10_1016_j_cmpb_2025_108797",5,9,NA,"internal validation","diagnostic",0.531,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 2A","no"
"1027",1386,"10_1016_j_urolonc_2024_12_274",4,13,269,"internal validation","prognostic",0.782,NA,NA,NA,NA,NA,NA,NA,NA,"yes","red","Figure 5E","no"
"2071",2767,"10_1111_nicc_13233",2,13,120,"internal validation","prognostic",0.467,NA,NA,56.4,NA,NA,40.6,NA,NA,"yes","could not determine","Figure 2","no"
"1862",2482,"10_1109_tmi_2024_3510836",1,14,270,"external validation","diagnostic",0.6685,0.6352,0.6974,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 3b","no"
"5700",7182,"10_1007_s00586-025-08760-w",4,1,501,"development","diagnostic",0.774,0.734,0.809,NA,NA,NA,NA,NA,NA,"yes","blue","Figure 3","no"
"7457",9521,"10_1016_j_ejvs_2025_04_002",4,14,6458,"external validation","prognostic",0.621,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 1B","no"
"2541",3368,"10_1186_s13098-025-01934-y",5,9,44,"development","diagnostic",0.962,0.905,1,95.5,100,100,95.5,29.2,100,"yes",NA,"Figure 2","no"
"4159",5266,"10_3389_fmed_2025_1606336",1,22,1582,"development","diagnostic",0.989,0.986,0.991,NA,NA,NA,97.5,NA,NA,"yes",NA,"Figure 6","no"
"5280",6607,"10_3390_jcm14207150",3,2,81,"development","diagnostic",0.783,0.668,0.898,84,NA,NA,66,NA,NA,"yes","could not determine","Figure 2","no"
"1408",1826,"10_1080_07853890_2025_2566869",4,15,41,"internal validation","prognostic",0.89,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 2E","no"
"4600",5767,"10_3389_fnut_2025_1574063",4,12,7092,"development","diagnostic",0.797,NA,NA,80,NA,NA,NA,NA,NA,"yes","could not determine","Figure 1b","no"
"1165",1539,"10_1038_s41393-025-01157-y",2,4,584,"internal validation","prognostic",0.859,0.829,0.886,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 2","no"
"6317",7917,"10_1007_s40618-025-02616-2",5,1,78,"development","diagnostic",0.783,0.683,0.883,NA,NA,NA,NA,NA,NA,"yes",NA,"Figure 4A","no"
"512",738,"10_1016_j_numecd_2025_103963",2,1,6785,"development","prognostic",0.85,0.83,0.87,80,NA,NA,76,NA,NA,"yes","pink/red","Figure 2","no"
"4023",5130,"10_3389_fmed_2025_1561769",2,2,80,"internal validation","prognostic",0.842,0.737,0.947,NA,NA,NA,NA,NA,NA,"yes","black","Figure 5","no"
"7295",9296,"10_1016_j_ejrad_2025_112199",4,5,111,"internal validation","diagnostic",0.85,0.83,0.88,83,NA,NA,82,NA,NA,"yes","red","Figure 4a","no"
"4315",5439,"10_1007_s00330-025-12117-8",3,16,106,"internal validation","diagnostic",0.7,0.5,0.91,42.86,NA,NA,70.71,NA,NA,"yes","green","Figure 5c","no"
"2499",3326,"10_1186_s13244-024-01874-7",1,9,133,"external validation","diagnostic",0.961,0.926,0.996,85.2,NA,NA,91.1,NA,NA,"yes","dotted","Figure 4B","no"
"4342",5468,"10_3389_fmed_2025_1660387",3,4,198,"development","diagnostic",0.662,0.494,0.65,NA,NA,NA,NA,NA,NA,"yes","dashed","Figure 3","no"
"3317",4276,"10_1007_s00330-025-11434-2",4,1,207,"external validation","diagnostic",0.883,0.812,0.942,84.2,71.1,94.7,92.3,88.2,95.9,"yes","could not determine","Figure 2B","no"
"2727",3563,"10_1186_s40644-025-00875-z",2,15,67,"external validation","diagnostic",0.66,0.482,0.838,62.5,NA,NA,59.3,NA,NA,"yes","could not determine","Figure 5f","no"
"2692",3528,"10_1186_s13550-025-01293-9",4,7,63,"internal validation","diagnostic",0.8,0.7,0.91,74,NA,NA,NA,NA,NA,"yes","could not determine","Figure 4d","no"
"1775",2289,"10_1097_lvt_0000000000000685",3,7,2174,"development","prognostic",0.73,0.66,0.8,NA,NA,NA,NA,NA,NA,"yes","blue","Figure 2B","no"
"4157",5264,"10_3389_fmed_2025_1606336",1,20,1582,"development","diagnostic",0.991,0.989,0.993,NA,NA,NA,97.6,NA,NA,"yes",NA,"Figure 6","no"
"811",1105,"10_1016_j_sleep_2025_106559",5,17,51,"development","diagnostic",0.939,0.828,1,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 4","no"
"1385",1803,"10_1080_07853890_2025_2575530",1,4,249,"development","prognostic",0.782,0.641,0.922,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 4F","no"
"7244",9231,"10_1016_j_ejrad_2025_112118",1,2,95,"internal validation","diagnostic",0.81,0.725,0.895,67.5,NA,NA,81.8,NA,NA,"yes","could not determine","Figure 4B","no"
"6110",7692,"10_1007_s11701-025-02966-2",2,1,230,"development","prognostic",0.913,0.892,0.915,NA,NA,NA,NA,NA,NA,"yes",NA,"Figure 3C","no"
"4378",5530,"10_3389_fmed_2025_1670759",5,1,296,"internal validation","prognostic",0.89,0.82,0.96,NA,NA,NA,NA,NA,NA,"yes","red","Figure 4A","no"
"7631",9729,"10_1016_j_ijmedinf_2025_106018",3,18,814,"internal validation","prognostic",0.87,0.7,1.04,71,33,100,84,82,86,"yes","could not determine","Figure 4C","no"
"3259",4211,"10_3174_ajnr_a8833",2,2,9,"development","diagnostic",0.72,0.62,0.8,61,NA,NA,83,NA,NA,"yes",NA,"Figure 2A","no"
"4459",5611,"10_3389_fnagi_2025_1582687",3,8,500,"development","prognostic",0.759,NA,NA,67.2,NA,NA,87.7,NA,NA,"yes","could not determine","Figure 4A","no"
"5566",7010,"10_3389_fmolb_2025_1600626",1,6,49,"external validation","prognostic",0.816,NA,NA,NA,NA,NA,NA,NA,NA,"yes","blue","Figure 5D","no"
"4308",5432,"10_1007_s00330-025-12117-8",3,9,158,"development","diagnostic",0.89,0.82,0.96,100,NA,NA,70.75,NA,NA,"yes","red","Figure 4c","no"
"4017",5124,"10_3389_fmed_2025_1543665",5,9,200,"development","prognostic",0.86,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 8C","no"
"3613",4692,"10_3389_fendo_2025_1568665",2,2,132,"development","prognostic",0.779,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 4A (nomogram OS 4-year)","no"
"1252",1661,"10_1080_0886022x_2025_2525462",2,4,273,"development","prognostic",0.72,0.58,0.86,NA,NA,NA,NA,NA,NA,"yes",NA,"Figure 2","no"
"2211",2933,"10_1159_000543188",3,3,511,"development","diagnostic",0.742,0.695,0.788,NA,NA,NA,NA,NA,NA,"yes","blue","Figure 1","no"
"1490",1960,"10_1007_s00234-025-03590-5",5,12,49,"external validation","diagnostic",0.9,NA,NA,78,NA,NA,84,NA,NA,"yes","blue","Figure 6B","no"
"5777",7311,"10_1007_s10120-025-01614-w",1,12,94,"external validation","prognostic",0.765,0.752,0.777,NA,NA,NA,NA,NA,NA,"yes","green","Figure 2f","no"
"3356",4315,"10_3350_cmh_2024_0898",5,8,268,"development","diagnostic",0.927,0.897,0.957,72.6,NA,NA,92.4,NA,NA,"yes",NA,"Figure 2D","no"
"3182",4115,"10_2147_tcrm_s519646",1,2,109,"development","prognostic",0.757,0.659,0.855,NA,NA,NA,NA,NA,NA,"yes","red","Figure 1","no"
"5950",7487,"10_1007_s10549-024-07589-z",1,2,764,"development","diagnostic",0.873,0.84,0.9,94.3,88.2,97.4,54.3,50.4,58,"yes","red","Figure 1","no"
"963",1304,"10_1016_j_tjpad_2025_100216",4,7,35,"development","diagnostic",0.95,0.876,1,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 2","no"
"4578",5745,"10_3389_fnut_2025_1586606",1,2,2813,"development","diagnostic",0.884,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 2B","no"
"1609",2114,"10_1097_js9_0000000000001883",2,7,3852,"external validation","prognostic",0.593,NA,NA,85.2,NA,NA,32.7,NA,NA,"yes",NA,"Figure 5F","no"
"5031",6307,"10_3390_cancers17081376",3,4,102,"development","diagnostic",0.92,0.85,0.974,82.7,69.7,95.2,92.1,76.5,100,"yes","blue","Figure 3 AmplAsymWeighted panel","no"
"3186",4119,"10_2147_tcrm_s521755",2,1,247,"development","diagnostic",0.794,0.737,0.849,84.65,NA,NA,82.39,NA,NA,"yes","could not determine","Figure 4","no"
"4230",5338,"10_3389_fmed_2025_1624899",1,5,413,"development","prognostic",0.98,NA,NA,92,NA,NA,95,NA,NA,"yes","could not determine","Figure 3C","no"
"1954",2620,"10_1111_eci_14379",5,5,614,"external validation","prognostic",0.75,0.71,0.79,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 4B","no"
"2349",3146,"10_1177_21925682251366947",3,15,76,"development","prognostic",0.92,0.857,0.982,91.7,NA,NA,75,NA,NA,"yes","red","Figure 7A","no"
"5192",6517,"10_3390_jcm14103281",4,17,15196,"internal validation","prognostic",0.639,0.62,0.658,NA,NA,NA,NA,NA,NA,"yes",NA,"Figure 2","no"
"6590",8209,"10_1016_j_ajo_2025_07_026",5,54,347,"development","prognostic",0.81,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 3C","no"
"3562",4634,"10_1007_s00330-025-11735-6",2,5,2675,"external validation","prognostic",0.65,0.64,0.67,NA,NA,NA,NA,NA,NA,"yes","orange","Figure 3A","no"
"7038",8923,"10_1016_j_compbiomed_2025_110859",4,5,154,"internal validation","diagnostic",0.64,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 4B","no"
"2817",3653,"10_1186_s40644-025-00920-x",1,1,97,"development","diagnostic",0.972,NA,NA,100,NA,NA,87.5,NA,NA,"yes",NA,"Figure 4A","no"
"2386",3202,"10_1183_13993003_00691-2024",4,4,NA,"internal validation","diagnostic",0.95,0.95,0.96,NA,NA,NA,NA,NA,NA,"yes","could not determine","could not determine","no"
"816",1110,"10_1016_j_sleep_2025_106559",5,22,51,"development","diagnostic",0.83,0.676,0.97,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 6","no"
"3309",4268,"10_1007_s00330-025-11448-w",1,3,2387,"development","prognostic",0.886,0.857,0.915,83.6,74.3,92.9,82.2,80.7,83.6,"yes","could not determine","Figure 5","no"
"3994",5101,"10_3389_fmed_2025_1533132",5,1,5225,"development","diagnostic",0.937,0.931,0.943,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 5A","no"
"2585",3412,"10_1186_s13244-025-02063-w",5,9,85,"external validation","diagnostic",0.59,0.53,0.65,49,NA,NA,67,NA,NA,"yes","could not determine","Figure 3A","no"
"4818",5991,"10_3389_fphar_2025_1677891",1,1,510,"development","diagnostic",0.9,0.82,0.97,83,80,87,79,57,100,"yes","orange","Figure 1","no"
"1629",2134,"10_1097_hjh_0000000000004034",5,4,877,"external validation","diagnostic",0.65,NA,NA,51,NA,NA,85,NA,NA,"yes",NA,"Figure 3a","no"
"3854",4956,"10_3389_fmed_2025_1471746",3,2,503,"internal validation","diagnostic",1,NA,NA,100,NA,NA,100,NA,NA,"yes",NA,"Supplementary Figure S1","no"
"5647",7091,"10_1007_s00467-025-07055-y",2,5,102,"development","prognostic",0.545,0.426,0.665,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 2","no"
"5655",7136,"10_1007_s00467-025-06701-9",5,8,9,"external validation","prognostic",0.786,0.473,1,NA,NA,NA,NA,NA,NA,"yes","could not determine","Supplementary Figure 1","no"
"4746",5918,"10_3389_fphar_2025_1540767",2,13,607,"development","prognostic",0.67,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 7C","no"
"3640",4719,"10_3389_fendo_2025_1551108",5,3,84,"development","diagnostic",0.798,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 3C","no"
"485",695,"10_1016_j_jtos_2025_08_002",4,2,211,"development","diagnostic",0.863,0.816,0.911,69.8,NA,NA,85.9,NA,NA,"yes","could not determine","Figure 4F","no"
"7176",9163,"10_1016_j_ejrad_2025_111958",3,7,41,"internal validation","diagnostic",0.843,0.715,0.971,81.2,NA,NA,76.2,NA,NA,"yes","red","Figure 4B","no"
"6775",8529,"10_1016_j_cca_2025_120246",3,17,105,"development","diagnostic",0.912,NA,NA,NA,NA,NA,NA,NA,NA,"yes",NA,"Figure 4I","no"
"6674",8351,"10_1016_j_autrev_2025_103857",2,2,623,"development","prognostic",0.95,NA,NA,90,NA,NA,NA,NA,NA,"yes",NA,"Figure 21","no"
"6419",8020,"10_1016_j_acra_2025_07_060",3,1,245,"internal validation","diagnostic",1,0.998,1,100,NA,NA,99.56,NA,NA,"yes","could not determine","could not determine","no"
"1783",2297,"10_1097_js9_0000000000002922",5,3,30,"external validation","diagnostic",1,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 3C","no"
"3856",4958,"10_3389_fmed_2025_1471746",3,4,503,"internal validation","diagnostic",0.93,NA,NA,81,NA,NA,85,NA,NA,"yes",NA,"Supplementary Figure S1","no"
"4125",5232,"10_3389_fmed_2025_1596403",2,2,214,"development","prognostic",0.743,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 4B","no"
"4819",5992,"10_3389_fphar_2025_1677891",1,2,221,"internal validation","diagnostic",0.96,0.93,0.99,85,80,90,100,100,100,"yes","blue","Figure 1","no"
"5958",7495,"10_1007_s10461-025-04814-8",4,2,658,"external validation","prognostic",0.843,0.805,0.866,NA,NA,NA,NA,NA,NA,"yes",NA,"Figure 1","no"
"90",136,"10_1016_j_intimp_2025_114935",5,12,44,"development","diagnostic",0.9182,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 4B","no"
"1098",1469,"10_1038_s41386-025-02176-2",2,10,161,"development","diagnostic",0.647,0.606,0.686,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 2A","no"
"5764",7295,"10_1007_s00701-025-06566-9",5,2,41,"development","prognostic",0.52,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 3","no"
"5235",6560,"10_3390_jcm14134542",1,21,84,"development","prognostic",0.784,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 3 Section A (RSE)","no"
"1324",1742,"10_1080_07853890_2025_2528978",1,12,246,"development","diagnostic",0.844,NA,NA,90.2,NA,NA,59.1,NA,NA,"yes","could not determine","Figure 5D","no"
"5972",7517,"10_1007_s10578-025-01932-1",4,2,NA,"internal validation","prognostic",0.69,NA,NA,46.67,NA,NA,82.61,NA,NA,"yes","green","Figure 1c","no"
"3016",3935,"10_1002_ccd_31498",2,4,53,"development","diagnostic",0.854,0.745,0.963,NA,NA,NA,NA,NA,NA,"yes",NA,"Figure 3","no"
