"","doi","article","model","sample_size","study_type","model_type","auc","auc_ci_low","auc_ci_upper","sens","sens_ci_lower","sens_ci_upper","spec","spec_ci_lower","spec_ci_upper","roc","roc_colour","roc_panel","exclude"
"44","10_1016_j_ijrobp_2025_10_008",2,"2",160,"development","prognostic",0.67,0.66,0.69,60,57,63,65,62,67,"no","could not determine","could not determine","no"
"45","10_1016_j_ijrobp_2025_10_008",2,"3",160,"development","prognostic",0.71,0.7,0.73,64,61,67,66,64,69,"no","could not determine","could not determine","no"
"46","10_1016_j_ijrobp_2025_10_008",2,"4",160,"development","prognostic",0.67,0.65,0.68,60,57,63,63,61,66,"no","could not determine","could not determine","no"
"47","10_1016_j_ijrobp_2025_10_008",2,"5",160,"development","prognostic",0.57,0.56,0.59,50,47,53,59,57,62,"no","could not determine","could not determine","no"
"48","10_1016_j_ijrobp_2025_10_008",2,"6",160,"development","prognostic",0.66,0.65,0.68,59,56,62,65,62,67,"no","could not determine","could not determine","no"
"49","10_1016_j_ijrobp_2025_10_008",2,"7",160,"development","prognostic",0.7,0.69,0.71,64,61,67,64,62,67,"no","could not determine","could not determine","no"
"50","10_1016_j_ijrobp_2025_10_008",2,"8",160,"development","prognostic",0.7,0.68,0.71,62,59,65,64,62,66,"no","could not determine","could not determine","no"
"51","10_1016_j_ijrobp_2025_10_008",2,"9",160,"development","prognostic",0.68,0.66,0.7,61,58,64,64,62,67,"no","could not determine","could not determine","no"
"52","10_1016_j_ijrobp_2025_10_008",2,"10",57,"external validation","prognostic",0.45,NA,NA,53,NA,NA,48,NA,NA,"no","could not determine","could not determine","no"
"53","10_1016_j_ijrobp_2025_10_008",2,"11",57,"external validation","prognostic",0.5,NA,NA,47,NA,NA,50,NA,NA,"no","could not determine","could not determine","no"
"54","10_1016_j_ijrobp_2025_10_008",2,"12",57,"external validation","prognostic",0.6,NA,NA,47,NA,NA,75,NA,NA,"no","could not determine","could not determine","no"
"55","10_1016_j_ijrobp_2025_10_008",2,"13",57,"external validation","prognostic",0.48,NA,NA,53,NA,NA,50,NA,NA,"no","could not determine","could not determine","no"
"56","10_1016_j_ijrobp_2025_10_008",2,"14",57,"external validation","prognostic",0.61,NA,NA,94,NA,NA,33,NA,NA,"no","could not determine","could not determine","no"
"57","10_1016_j_ijrobp_2025_10_008",2,"15",57,"external validation","prognostic",0.48,NA,NA,35,NA,NA,55,NA,NA,"no","could not determine","could not determine","no"
"58","10_1016_j_ijrobp_2025_10_008",2,"16",57,"external validation","prognostic",0.56,NA,NA,35,NA,NA,70,NA,NA,"no","could not determine","could not determine","no"
"59","10_1016_j_ijrobp_2025_10_008",2,"17",57,"external validation","prognostic",0.51,NA,NA,47,NA,NA,50,NA,NA,"no","could not determine","could not determine","no"
"60","10_1016_j_ijrobp_2025_10_008",2,"18",57,"external validation","prognostic",0.61,NA,NA,41,NA,NA,55,NA,NA,"no","could not determine","could not determine","no"
"61","10_1016_j_injury_2025_112560",3,"1",144,"development","prognostic",0.877,0.82,0.934,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 2","no"
"62","10_1016_j_injury_2025_112560",3,"2",63,"internal validation","prognostic",0.869,0.775,0.962,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 3","no"
"63","10_1016_j_ijrobp_2024_12_014",4,"1",1339,"development","prognostic",0.683,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","could not determine","no"
"64","10_1016_j_ijrobp_2024_12_014",4,"2",1339,"development","prognostic",0.662,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","could not determine","no"
"65","10_1016_j_ijrobp_2024_12_014",4,"3",1339,"development","prognostic",0.682,NA,NA,NA,NA,NA,NA,NA,NA,"no","could not determine","could not determine","no"
"66","10_1016_j_ijrobp_2024_12_014",4,"4",1339,"development","prognostic",0.663,NA,NA,NA,NA,NA,NA,NA,NA,"no","could not determine","could not determine","no"
"67","10_1016_j_ijrobp_2024_12_014",4,"5",1339,"development","prognostic",0.679,NA,NA,NA,NA,NA,NA,NA,NA,"no","could not determine","could not determine","no"
"68","10_1016_j_ijrobp_2024_12_014",4,"6",1339,"development","prognostic",0.66,NA,NA,NA,NA,NA,NA,NA,NA,"no","could not determine","could not determine","no"
"69","10_1016_j_ijrobp_2024_12_014",4,"7",1339,"development","prognostic",0.68,NA,NA,NA,NA,NA,NA,NA,NA,"no","could not determine","could not determine","no"
"70","10_1016_j_ijrobp_2024_12_014",4,"8",1339,"development","prognostic",0.661,NA,NA,NA,NA,NA,NA,NA,NA,"no","could not determine","could not determine","no"
"71","10_1016_j_ijrobp_2024_12_014",4,"9",1339,"development","prognostic",0.682,NA,NA,NA,NA,NA,NA,NA,NA,"no","could not determine","could not determine","no"
"72","10_1016_j_ijrobp_2024_12_014",4,"10",1339,"development","prognostic",0.662,NA,NA,NA,NA,NA,NA,NA,NA,"no","could not determine","could not determine","no"
"73","10_1016_j_ijrobp_2024_12_014",4,"11",1339,"development","prognostic",0.677,NA,NA,NA,NA,NA,NA,NA,NA,"no","could not determine","could not determine","no"
"74","10_1016_j_ijrobp_2024_12_014",4,"12",1339,"development","prognostic",0.656,NA,NA,NA,NA,NA,NA,NA,NA,"no","could not determine","could not determine","no"
"75","10_1016_j_ijrobp_2024_12_014",4,"13",1339,"development","prognostic",0.678,NA,NA,NA,NA,NA,NA,NA,NA,"no","could not determine","could not determine","no"
"76","10_1016_j_ijrobp_2024_12_014",4,"14",1339,"development","prognostic",0.658,NA,NA,NA,NA,NA,NA,NA,NA,"no","could not determine","could not determine","no"
"77","10_1016_j_ijrobp_2024_12_014",4,"15",1339,"development","prognostic",0.677,NA,NA,NA,NA,NA,NA,NA,NA,"no","could not determine","could not determine","no"
"78","10_1016_j_ijrobp_2024_12_014",4,"16",1339,"development","prognostic",0.657,NA,NA,NA,NA,NA,NA,NA,NA,"no","could not determine","could not determine","no"
"79","10_1016_j_ijrobp_2024_12_014",4,"17",1339,"development","prognostic",0.68,NA,NA,NA,NA,NA,NA,NA,NA,"no","could not determine","could not determine","no"
"80","10_1016_j_ijrobp_2024_12_014",4,"18",1339,"development","prognostic",0.66,NA,NA,NA,NA,NA,NA,NA,NA,"no","could not determine","could not determine","no"
"81","10_1016_j_ijrobp_2025_02_011",5,"1",71,"development","prognostic",0.625,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 3D","no"
"82","10_1016_j_ijrobp_2025_02_011",5,"2",71,"development","prognostic",0.657,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 3D","no"
"83","10_1016_j_ijrobp_2025_02_011",5,"3",71,"development","prognostic",0.68,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 3D","no"
"84","10_1016_j_ijrobp_2025_02_011",5,"4",71,"development","prognostic",0.679,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 3D","no"
"85","10_1016_j_ijrobp_2025_02_011",5,"5",71,"development","prognostic",0.6,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 3D","no"
"86","10_1016_j_ijrobp_2025_02_011",5,"6",71,"development","prognostic",0.603,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 3D","no"
"87","10_1016_j_ijrobp_2025_02_011",5,"7",71,"development","prognostic",0.757,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 3E","no"
"88","10_1016_j_intimp_2025_114317",1,"1",505,"development","prognostic",0.943,0.915,0.97,88.2,NA,NA,85.8,NA,NA,"yes",NA,"Figure 3B","no"
"89","10_1016_j_intimp_2025_114317",1,"2",126,"internal validation","prognostic",0.871,0.769,0.972,NA,NA,NA,NA,NA,NA,"yes",NA,"Figure 3F","no"
"90","10_1016_j_intimp_2025_114317",1,"3",129,"external validation","prognostic",0.872,0.759,0.986,NA,NA,NA,NA,NA,NA,"yes",NA,"Figure 4B","no"
"91","10_1016_j_intimp_2025_114433",2,"1",32,"development","diagnostic",0.9,NA,NA,NA,NA,NA,NA,NA,NA,"yes",NA,"Figure 1H","no"
"92","10_1016_j_intimp_2025_114433",2,"2",151,"development","prognostic",0.62,0.53,0.72,NA,NA,NA,NA,NA,NA,"yes","red","Figure 5B","no"
"93","10_1016_j_intimp_2025_114433",2,"3",151,"development","prognostic",0.61,0.49,0.74,NA,NA,NA,NA,NA,NA,"yes","green","Figure 5B","no"
"94","10_1016_j_intimp_2025_114433",2,"4",151,"development","prognostic",0.69,0.43,0.96,NA,NA,NA,NA,NA,NA,"yes","blue","Figure 5B","no"
"95","10_1016_j_intimp_2025_114433",2,"5",148,"external validation","prognostic",0.51,0.38,0.65,NA,NA,NA,NA,NA,NA,"yes","red","Figure 5E","no"
"96","10_1016_j_intimp_2025_114433",2,"6",148,"external validation","prognostic",0.56,0.46,0.65,NA,NA,NA,NA,NA,NA,"yes","green","Figure 5E","no"
"97","10_1016_j_intimp_2025_114433",2,"7",148,"external validation","prognostic",0.64,0.54,0.73,NA,NA,NA,NA,NA,NA,"yes","blue","Figure 5E","no"
"98","10_1016_j_intimp_2025_114515",3,"1",34,"development","diagnostic",0.854,NA,NA,NA,NA,NA,NA,NA,NA,"yes",NA,"Figure 2B","no"
"99","10_1016_j_injury_2025_112657",4,"1",374,"development","prognostic",0.7,0.64,0.77,NA,NA,NA,NA,NA,NA,"yes",NA,"Figure 3","no"
"100","10_1016_j_injury_2025_112657",4,"2",262,"internal validation","prognostic",0.72,0.64,0.8,NA,NA,NA,NA,NA,NA,"no",NA,NA,"no"
"101","10_1016_j_injury_2025_112657",4,"3",112,"internal validation","prognostic",0.7,0.58,0.82,52.4,NA,NA,71.9,NA,NA,"no",NA,NA,"no"
"102","10_1016_j_injury_2025_112934",5,"1",71,"development","diagnostic",0.952,0.906,0.997,NA,NA,NA,NA,NA,NA,"yes",NA,"Figure 3A","no"
"103","10_1016_j_injury_2025_112934",5,"2",71,"development","diagnostic",0.917,0.854,0.98,NA,NA,NA,NA,NA,NA,"yes",NA,"Figure 3B","no"
"104","10_1016_j_injury_2025_112934",5,"3",71,"development","diagnostic",0.955,0.905,1.004,NA,NA,NA,NA,NA,NA,"yes",NA,"Figure 6A","no"
"105","10_1016_j_injury_2025_112934",5,"4",71,"development","diagnostic",0.902,0.823,0.98,NA,NA,NA,NA,NA,NA,"yes",NA,"Figure 6B","no"
"106","10_1016_j_injury_2025_112934",5,"5",71,"development","diagnostic",0.937,0.883,0.991,NA,NA,NA,NA,NA,NA,"yes",NA,"Figure 7","no"
"107","10_1016_j_intimp_2025_115064",1,"1",703,"development","prognostic",0.924,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 3B","no"
"108","10_1016_j_intimp_2025_115064",1,"2",703,"development","prognostic",0.905,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 3C","no"
"109","10_1016_j_intimp_2025_115064",1,"3",693,"external validation","prognostic",0.819,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure S1A","no"
"110","10_1016_j_intimp_2025_115064",1,"4",693,"external validation","prognostic",0.814,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure S1B","no"
"111","10_1016_j_intimp_2025_115487",2,"1",47925,"development","diagnostic",0.65,NA,NA,54.88,NA,NA,99.99,NA,NA,"no",NA,NA,"no"
"112","10_1016_j_intimp_2025_115557",3,"1",67,"development","diagnostic",0.908,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 7D","no"
"113","10_1016_j_intimp_2025_115557",3,"2",67,"development","diagnostic",0.946,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 7D","no"
"114","10_1016_j_intimp_2025_115557",3,"3",67,"development","diagnostic",0.923,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 7D","no"
"115","10_1016_j_intimp_2025_115557",3,"4",67,"development","diagnostic",0.958,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 7E","no"
"116","10_1016_j_intimp_2025_115557",3,"5",67,"development","diagnostic",0.957,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 7E","no"
"117","10_1016_j_intimp_2025_115557",3,"6",67,"development","diagnostic",0.941,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 7E","no"
"118","10_1016_j_intimp_2025_115557",3,"7",67,"development","diagnostic",0.958,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 7F","no"
"119","10_1016_j_intimp_2025_114681",4,"1",166,"development","diagnostic",0.833,0.771,0.895,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 2A","no"
"120","10_1016_j_intimp_2025_114681",4,"2",72,"internal validation","diagnostic",0.821,0.725,0.916,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 2B","no"
"121","10_1016_j_intimp_2025_114681",4,"3",166,"development","diagnostic",0.692,0.617,0.767,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 3A","no"
"122","10_1016_j_intimp_2025_114681",4,"4",72,"internal validation","diagnostic",0.739,0.63,0.847,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 3B","no"
"123","10_1016_j_intimp_2025_114681",4,"5",166,"development","diagnostic",0.872,0.819,0.924,70.24,NA,NA,90.24,NA,NA,"yes","could not determine","Figure 3A","no"
"124","10_1016_j_intimp_2025_114681",4,"6",72,"internal validation","diagnostic",0.86,0.775,0.945,81.25,NA,NA,75,NA,NA,"yes","could not determine","Figure 3B","no"
"125","10_1016_j_intimp_2025_114935",5,"1",94,"development","diagnostic",0.8999,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 3B","no"
"126","10_1016_j_intimp_2025_114935",5,"2",52,"development","diagnostic",0.8571,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 3B","no"
"127","10_1016_j_intimp_2025_114935",5,"3",95,"development","diagnostic",0.9329,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 3B","no"
"128","10_1016_j_intimp_2025_114935",5,"4",103,"development","diagnostic",0.9298,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 3B","no"
"129","10_1016_j_intimp_2025_114935",5,"5",103,"development","diagnostic",0.8537,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 3D","no"
"130","10_1016_j_intimp_2025_114935",5,"6",61,"development","diagnostic",0.8032,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 3D","no"
"131","10_1016_j_intimp_2025_114935",5,"7",84,"development","diagnostic",0.8591,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 3D","no"
"132","10_1016_j_intimp_2025_114935",5,"8",103,"development","diagnostic",0.9258,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 3D","no"
"133","10_1016_j_intimp_2025_114935",5,"9",44,"development","diagnostic",0.9471,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 4B","no"
"134","10_1016_j_intimp_2025_114935",5,"10",26,"development","diagnostic",0.9531,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 4B","no"
"135","10_1016_j_intimp_2025_114935",5,"11",41,"development","diagnostic",0.9786,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 4B","no"
"136","10_1016_j_intimp_2025_114935",5,"12",44,"development","diagnostic",0.9182,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 4B","no"
"137","10_1016_j_intimp_2025_114935",5,"13",20,"development","diagnostic",0.8029,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 4D","no"
"138","10_1016_j_intimp_2025_114935",5,"14",26,"development","diagnostic",0.7719,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 4D","no"
"139","10_1016_j_intimp_2025_114935",5,"15",17,"development","diagnostic",0.8429,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 4D","no"
"140","10_1016_j_intimp_2025_114935",5,"16",20,"development","diagnostic",0.8227,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 4D","no"
"141","10_1016_j_jad_2025_03_135",1,"1",42881,"development","prognostic",0.805,0.8,0.81,92.2,NA,NA,97.2,NA,NA,"yes","blue","Figure 2A","no"
"142","10_1016_j_jad_2025_03_135",1,"2",42881,"development","prognostic",0.759,0.756,0.762,NA,NA,NA,NA,NA,NA,"yes","orange","Figure 2A","no"
"143","10_1016_j_jad_2025_03_135",1,"3",42881,"development","prognostic",0.751,0.749,0.752,NA,NA,NA,NA,NA,NA,"yes","green","Figure 2A","no"
"144","10_1016_j_jad_2025_03_135",1,"4",42881,"development","prognostic",0.751,0.742,0.759,NA,NA,NA,NA,NA,NA,"yes","red","Figure 2A","no"
"145","10_1016_j_jad_2025_03_135",1,"5",42881,"development","prognostic",0.801,0.796,0.806,100,NA,NA,97.1,NA,NA,"yes","blue","Figure 2C","no"
"146","10_1016_j_jad_2025_03_135",1,"6",42881,"development","prognostic",0.765,0.76,0.77,NA,NA,NA,NA,NA,NA,"yes","orange","Figure 2C","no"
"147","10_1016_j_jad_2025_03_135",1,"7",42881,"development","prognostic",0.733,0.73,0.736,NA,NA,NA,NA,NA,NA,"yes","green","Figure 2C","no"
"148","10_1016_j_jad_2025_03_135",1,"8",42881,"development","prognostic",0.733,0.721,0.745,NA,NA,NA,NA,NA,NA,"yes","red","Figure 2C","no"
"149","10_1016_j_jad_2025_04_033",2,"1",606,"development","prognostic",0.752,0.713,0.792,NA,NA,NA,NA,NA,NA,"yes","green","Figure 3A","no"
"150","10_1016_j_jad_2025_04_033",2,"2",151,"internal validation","prognostic",0.753,0.682,0.833,NA,NA,NA,NA,NA,NA,"yes","green","Figure 3B","no"
"151","10_1016_j_jad_2025_04_083",3,"1",NA,"development","diagnostic",0.85,NA,NA,96,NA,NA,73,NA,NA,"yes","could not determine","could not determine","no"
"152","10_1016_j_jad_2025_04_083",3,"2",NA,"internal validation","diagnostic",0.73,NA,NA,74,NA,NA,72,NA,NA,"yes","could not determine","could not determine","no"
"153","10_1016_j_jad_2025_04_083",3,"3",138,"development","prognostic",0.76,0.66,0.87,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 7A","no"
"154","10_1016_j_jad_2025_04_083",3,"4",138,"development","prognostic",0.94,0.9,0.98,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 7A","no"
"155","10_1016_j_jaci_2025_09_020",4,"1",139826,"development","prognostic",0.644,0.643,0.647,61.5,61.2,61.8,58.1,57.9,58.4,"yes","could not determine","Figure 4A","no"
"156","10_1016_j_jaci_2025_09_020",4,"2",34961,"internal validation","prognostic",0.638,0.634,0.642,62.9,62.4,63.5,58.1,57.3,58.3,"yes","could not determine","Figure 4A","no"
"157","10_1016_j_jaci_2025_09_020",4,"3",139826,"development","prognostic",0.743,0.741,0.745,69,68.8,69.3,66.1,65.9,66.4,"yes","could not determine","Figure 4A","no"
"158","10_1016_j_jaci_2025_09_020",4,"4",34961,"internal validation","prognostic",0.726,0.723,0.73,67.9,67.4,68.4,65.5,65,66,"yes","could not determine","Figure 4A","no"
"159","10_1016_j_jaci_2025_09_020",4,"5",139826,"development","prognostic",0.742,0.74,0.744,70.4,70.2,70.6,64.7,64.4,65,"yes","could not determine","Figure 4A","no"
"160","10_1016_j_jaci_2025_09_020",4,"6",34961,"internal validation","prognostic",0.758,0.755,0.762,73.1,72.6,73.5,65.2,64.7,65.7,"yes","could not determine","Figure 4A","no"
"161","10_1016_j_jaci_2025_09_020",4,"7",139826,"development","prognostic",0.837,0.836,0.839,78.1,77.9,78.6,73.3,73,73.5,"yes","could not determine","Figure 4A","no"
"162","10_1016_j_jaci_2025_09_020",4,"8",34961,"internal validation","prognostic",0.812,0.809,0.816,74.4,74,74.9,72.7,72.2,73.1,"yes","could not determine","Figure 4A","no"
"163","10_1016_j_jaci_2025_09_020",4,"9",46603,"internal validation","prognostic",0.705,0.698,0.713,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure E3","no"
"164","10_1016_j_jaci_2025_09_020",4,"10",5148,"external validation","prognostic",0.795,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","could not determine","no"
"165","10_1016_j_jad_2025_02_015",5,"1",26904,"development","diagnostic",0.77,0.76,0.78,70,68.8,71.3,70,68.8,71.3,"yes","could not determine","could not determine","no"
"166","10_1016_j_jad_2025_119505",1,"1",8778,"development","diagnostic",0.94,0.936,0.945,83,NA,NA,90,NA,NA,"yes",NA,"Figure 1","no"
