"key","pmid","title","abstract","publicationDate","journal"
251,"39636493","Exploring the complexity of obstructive sleep apnea: findings from machine learning on diagnosis and predictive capacity of individual factors.","Obstructive sleep apnoea (OSA) is a prevalent sleep disorder characterized by pharyngeal airway collapse during sleep, leading to intermittent hypoxia, intrathoracic pressure swings, and sleep fragmentation. OSA is associated with various comorbidities and risk factors, contributing to its substantial economic and social burden. Machine learning (ML) techniques offer promise in predicting OSA severity and understanding its complex pathogenesis. This study aims to compare the accuracy of different ML techniques in predicting OSA severity and identify key associated factors contributing to OSA. Adult patients suspected of OSA underwent clinical assessments and polysomnography. Demographic, anthropometric and clinical data were collected. Five supervised ML models (logistic regression, decision tree, random forest, extreme gradient boosting, support vector machine) were employed, optimized through grid search and cross-validation. ML models exhibited varied performance across OSA severity levels. SVM demonstrated the highest accuracy for mild OSA, XGBoost for moderate OSA, and random forest for severe OSA. Logistic regression showed the highest AUC for moderate and severe OSA. Anthropometric measures, gender, and hypertension were significant predictors of OSA severity. ML models offer valuable insights into predicting OSA severity and identifying associated factors. Our findings support the relevant potential clinical utility of ML in OSA management, although further validation and refinement are warranted.","2024","Sleep & breathing = Schlaf & Atmung"
252,"39207815","Cancer in Patients With Incidental Asymmetric Oropharynx Positron Emission Tomography Uptake.","Asymmetric oropharynx uptake on positron emission tomography (PET)/computed tomography (CT) is a common incidental finding and often prompts otolaryngology referral to rule out malignancy; however, the true risk of malignancy based on this finding is unknown. To identify the incidence of oropharynx cancer in patients with incidental asymmetric oropharynx PET uptake. In this retrospective cohort study, patients 18 years and older undergoing PET/CT scans at Mayo Clinic between January 2001 and December 2018 were included. Patients with a history or pretest suspicion of oropharynx cancer were excluded. Data were analyzed from March 2021 to December 2023. Blinded radiologic review of imaging studies, including measurement of maximum standardized uptake values (SUVmax) of the ipsilateral side of concern and contralateral side. Retrospective medical record review for associated clinical data. The primary study outcome was the incidence of oropharynx cancer diagnosis in patients with asymmetric oropharynx PET uptake. The primary outcome was formulated before data collection. Of the 1854 patients identified with asymmetric oropharynx PET uptake, 327 (17.6%) met inclusion criteria. Of these, 173 (52.9%) were male, and the median (range) age was 65.0 (24.8-90.7) years. The mean (SD) follow-up interval was 52.1 (43.4) months. A total of 18 of 327 patients (5.5%) were newly diagnosed with oropharynx cancer. The most common diagnosis was squamous cell carcinoma (n = 9), followed by lymphoma (n = 8), and sarcoma (n = 1). Patients with an incidental diagnosis of oropharynx cancer had higher mean (SD) ipsilateral SUVmax (8.7 [3.7] vs 5.3 [1.9]) and SUVmax ratio (3.0 [1.6] vs 1.6 [0.6]) compared with patients with normal examination findings. SUVmax ratio and difference were found to be good discriminators of oropharynx cancer, with areas under the receiver operating characteristic curve of 86.3% (95% CI, 76.4-94.6) and 85.8% (95% CI, 74.8-94.6), respectively. Patients with a new diagnosis of oropharynx cancer were more likely to have a corresponding CT abnormality than those with normal examination findings (6 of 18 [33%] vs 24 of 295 [8.1%]). Patients with concerning lesions on oropharynx palpation by an otolaryngology health care professional were significantly more likely to be diagnosed with oropharynx cancer compared with patients with normal examination findings (odds ratio, 28.4; 95% CI, 6.6-145.8). In this cohort study, while incidental asymmetric oropharynx PET uptake was common, a new diagnosis of oropharynx cancer was not and potentially results in a large volume of unnecessary referrals and work-up. Using SUVmax ratio, SUVmax difference, and CT correlation may increase the benefit of referral. Patients with a palpable oropharynx lesion and asymmetric oropharynx PET uptake should undergo confirmatory biopsy.","2024","JAMA otolaryngology-- head & neck surgery"
253,"39390232","Proposal of a revised 3-tier ""2 mm"" risk classification model for postoperative pancreatic fistula in robotic pancreatoduodenectomy.","The recent International Study Group for Pancreatic Surgery (ISGPS) risk classification for postoperative pancreatic fistula (grade B/C) was developed based on data from open and mixed minimally invasive pancreatoduodenectomy. The ISGPS risk classification model has not been validated specifically for POPF after robotic pancreatoduodenectomy (RPD). We calculated the rate of POPF (ISGPS 2016 definition, grade B/C) by analyzing consecutive patients after RPD by surgeons after their learning curves (80 RPDs per surgeon). The validation of the ISGPS 4-tier and the simplified 3-tier risk classification was conducted using the area under the receiver operating curve (AUC). From 2019 to 2023, 187 patients after RPD were included. Neither the ISGPS 4-tier nor the simplified 3-tier classification model showed robust discrimination (AUC: 0.696 and 0.685, respectively). Moreover, both risk classifications failed to differentiate the rates of POPF and major complications among subgroups. Multivariate analysis suggested that soft pancreatic texture and pancreatic duct ≤ 2 mm were independent risk factors for POPF after RPD. After adjusting the duct size's cutoff from 3 to 2 mm, the revised 4-tier ""2 mm"" classification model showed no significant difference between risk categories B and C (6.7% vs. 9.4%, P = 0.063). The revised 3-tier ""2 mm"" classification model stratified patients into A (n = 54), B (n = 68), and C (n = 65) groups, with corresponding POPF rates of 0.0%, 8.8%, and 23.1% (P < 0.001), and major complication rates of 5.6, 14.7, and 24.6% (P = 0.014), respectively. Compared to the simplified 3-tier classification model, the revised 3-tier ""2 mm"" classification model showed improved discrimination (AUC: 0.753 vs. 0.685, P = 0.034) and clinical utility. The current ISGPS 4-tier and the simplified 3-tier classification models lacked sufficient discrimination in patients after RPD. We propose a revised 3-tier ""2 mm"" risk classification model for RPD with a robust discrimination, which requires further international validation with prospectively obtained data.","2024","Surgical endoscopy"
254,"39427501","The use of the Roth score in emergency department for patients with acute exacerbation of chronic obstructive pulmonary disease.","This study investigated the feasibility of using the Roth score in the emergency setting to make hospitalization or discharge decisions for patients with acute exacerbations of chronic obstructive pulmonary disease (AECOPD). This study was conducted prospectively between March 1, 2023 and January 1, 2024 and included 101 patients with Group E chronic obstructive pulmonary disease who were treated in the emergency department of a tertiary hospital. The patients were categorized into two groups: those who were hospitalized and those who were discharged. The Roth score, determined by measuring patients' breath-holding times after forced inspiration and counting rhythmically, was measured in seconds and counted. Changes in Roth scores, arterial blood gas parameters, and transcutaneous oxygen saturation levels measured during AECOPD presentation and after appropriate treatment were examined. The study included 101 patients (57 males, 44 females) with a mean age of 61.4 years. After AECOPD treatment, the area under the curve for the Roth score was 0.937 s for the duration and 0.969 for the count. At a cut-off value of 9.5 s, the Roth score in seconds had a sensitivity of 92 % and a specificity of 75 %. At a cut-off value of 10.5, the Roth score had a sensitivity of 97 % and a specificity of 70 %. The Roth score (only counts) increased in discharged patients after AECOPD treatment. It appears to be a viable method for predicting hospitalization or discharge decisions in patients with AECOPD who present to the emergency department.","2024","The American journal of emergency medicine"
255,"39481317","NODESAFE Nomogram: A Novel Score System to Predict Lymph Node Involvement at the Time of Nephrectomy or Nodal Recurrence in Nonmetastatic Renal Cell Carcinoma.","We sought to develop a preoperative nomogram called NODESAFE (NODE SAFEty) to predict nodal involvement (NI) at time of surgery or subsequent follow up in localized renal cell carcinoma (RCC), as the role of lymphadenectomy in localized RCC remains controversial. We conducted a multicenter retrospective analysis of RCC patients who underwent primary surgical resection. Patients with clinical metastasis at presentation were excluded. NI was defined as presence of histological RCC with lymphadenectomy at time of surgery, or subsequent development histologically proven NI. The dataset was divided into training (70%) and testing subsets to facilitate model evaluation which was constructed through a stepwise multivariable logistic regression (MLR) model. Accuracy was tested with receiver operator characteristic estimated area under the curve (AUC). Total 3308 patients (2221 [67.1%] male) met inclusion criteria. During follow-up 25 patients (0.76 %) experienced nodal recurrence, and 22/25 were preoperatively classified as cN0. In our cohort, 112 (3.4%) patients had clinical lymphadenopathy preoperatively (cN1), and 34/112 were pN1. The following covariates were found to be statically significant on a MLR model: hypertension (Odds ratio [OR] 3.35, < .001), Charlson Comorbidity Index ≥ 5 (OR 1.93 P = .025), tumor size ≥ 6 cm (OR 2.63, P = .001), tumor necrosis at CT scan (OR 1.83, P = .036), cN1 (OR 5.59, P < .001) and CRP ≥ 8.5 mg/L (1.96, P = .018). Testing the prediction performance of the model in the validation set AUC of the model was 0.89. NODESAFE demonstrated a sensitivity of 83.9%, specificity of 86.1% and 99.1% negative predictive values using a 4% threshold probability. Combining clinical features, serum biomarkers and radiographic findings, we developed a model capable of predicting NI with high degree of accuracy. NODESAFE may refine clinical decision making with respect to the performance of lymphadenectomy at the time of surgery, postsurgical surveillance, and spur consideration for adjuvant therapy.","2024","Clinical genitourinary cancer"
256,"39643705","A novel T2-weighted series-based modified vertebral bone quality score for evaluating bone mineral density.","To evaluate the modified vertebral bone quality (VBQ) method on the magnetic resonance imaging (MRI) T1-weighted (T1w), T2-weighted (T2w), and fat suppression (FS) series in evaluating bone mineral density (BMD) for patients with degenerative lumbar disease. We reviewed preoperative data of postmenopausal female patients aged ≥ 50 years hospitalized to undergo lumbar surgery for degenerative lumbar disease with available MRI and dual-energy X-ray absorptiometry (DEXA). Patients were categorized into three groups according to T-score. The VBQCSF score was calculated as the L1-L4 median signal intensity (SI) divided by the L3 CSF SI. One-way analysis of variance was applied to assess the discrepancy between groups. The diagnostic performance of VBQ scores for distinguishing low BMD was analyzed using receiver operating characteristic (ROC) analysis. The study included 253 patients. T2 VBQCSF was significantly different between groups (p < 0.001). The interclass correlation coefficient for inter and intra-rater reliability was 0.767 (95%CI 0.650-0.849) and 0.893 (95%CI 0.834-0.932), respectively. The T2 VBQCSF showed moderate correlations with DEXA BMD (r =  - 0.442, p < 0.001). The area under the ROC curve indicated a predictive accuracy of 76%. A sensitivity of 59.0% with a specificity of 87.5% was achieved for distinguishing low BMD by setting the T2 VBQCSF cutoff at 0.607. Compared to the traditional VBQ score, T2 VBQCSF is a more promising tool for distinguishing poor bone quality in patients with degenerative lumbar disease. A T2 VBQCSF score > 0.607 can identify patients who require additional diagnostic evaluation.","2025","European spine journal : official publication of the European Spine Society, the European Spinal Deformity Society, and the European Section of the Cervical Spine Research Society"
257,"39713054","IL-33 and soluble ST2 in follicular fluid are associated with premature ovarian insufficiency.","Premature ovarian insufficiency (POI) is a common reproductive disease that is associated with chronic inflammation in ovaries. Interleukin 33 (IL-33) is a pro-inflammatory IL-1 family cytokine, and functions as an alarmin reflecting inflammatory reaction. Our study aimed to investigate levels of IL-33 and its soluble receptor (sST2) in both follicular fluid (FF) and paired serum during different stages of POI, and evaluate their predictive potentials for POI. Furthermore, we attempted to determine whether IL-33 and sST2 were associated with embryo quality. A total of 148 women, including 50 patients with biochemical POI (bPOI) (10 IU/L < follicle-stimulating hormone (FSH) ≤ 25 IU/L), 46 patients with POI (25 IU/L<FSH ≤ 40 IU/L) and 52 age-matched control women with normal ovarian reserve were involved in this study. FF and paired serum were collected from these women. IL-33 and sST2 were measured using quantitative sandwich enzyme-linked immunosorbent assay. FF IL-33 levels were significantly increased in bPOI and POI patients compared to controls. They exhibited positive associations with FSH and luteinizing hormone (LH), whereas negative correlations with anti-Müllerian hormone (AMH), estradiol (E2), testosterone (T) and antral follicle count (AFC). Receiver operating characteristic (ROC) curve analysis showed that for POI prediction, FF IL-33 had a better predictive accuracy (AUC 0.901) with high sensitivity (82.61%) and good specificity (84.62%) than those for bPOI prediction. IL-33 levels in paired serum did not differ among three groups. Regarding sST2, its levels in FF declined with POI progression. Contrarily, they showed negative associations with FSH and LH, but positive correlations with AMH, E2, T and AFC. ROC analysis revealed that FF sST2 had comparatively weak potentials for both bPOI and POI prediction compared to those of FF IL-33. Similarly, there was no significant alteration of sST2 in paired serum among three groups. Additionally, Spearman's correlation analysis revealed that FF IL-33 levels were negatively associated with the rates of Day-3 good-quality embryos (r=-0.206, P=0.012), whereas FF sST2 did not. Our study revealed an increased abundance of FF IL-33, whereas an sST2 deficiency with POI development. This implies that IL-33 and sST2 levels might be associated with the development of POI.","2024","Frontiers in endocrinology"
258,"39240469","Quality of life and abdominal wall functionality after abdominal wall reconstruction: A prospective single center follow-up study.","Fascial breakdown with the occurrence of an incisional hernia (IH) is an important and challenging complication of any laparotomy. For a long time, the success of the abdominal wall reconstruction (AWR) was measured only from the surgeon's perspective by defining outcome measures such as wound morbidity and recurrence. The understanding that complete recovery is difficult to assess without considering patients has shifted the paradigm of optimal outcomes to Patient Reported Outcome Measures (PROMS) and Quality of Life (QoL), which are pivotal to evaluate the success and efficacy of AWR. We conducted a prospective follow-up study of 91 patients undergoing mesh-augmented abdominal wall reconstruction for primary or recurrent incisional hernia between January 2021 and December 2023. Demographic data, comorbidities, and hernia characteristics were recorded. All patients were evaluated preoperatively by a native abdomino-pelvic CT scan to assess the characteristics of hernia (length, width, surface, and volume of the incisional hernia sac and of peritoneal cavity), the presence of mesh (if previously inserted), and abdominal wall muscles status. All intervention were performed by the same surgical team according to the techniques described by Rives - Stoppa (RS), Ramirez (ACS), and Novitsky (PCS). Abdominal wall function was assessed using trunk raising (TR) and double leg lowering (DLL) measurements performed preoperatively, 1 month, 6 months, and 1 year postoperatively. At the same time, pre- and post-operative quality of life was analysed using the EQ-5D score. Mean age of 59.42 ± 12.28 years and a male/female ratio of 35/56 were recorded, most of them being obese. There were 36 (42%) patients with defects larger than 10 cm. The distribution of the type of surgical intervention was: RS 35 patients, ACS 13 patients, and PCS 43 patients. The mean value of combined score for the preoperative abdominal wall functionality was 4.41 ± 1.67 (2-8) while the mean value of preoperative EQ-5D index was 0.652 ± 0.026 (-0.32-1.00). QoL was poor and very poor for 48% (44) of the patients who recorded index values less than 0.56 (50% percentile). Preoperative EQ-5D index was highly correlated with Combined AWF score (r = 0.620; p < 0.0001) and the correlation was specific (AUC = 0.799; p < 0.0001; asymptotic 95%CI = 0.711-0.923). At 12 months, the AWF score increased to 8.13 ± 2.58 (1-10) and the QoL total score to 0.979 ± 0.007 (0.71-1). Good and very good total scores for QoL were recorded for 47 patients (84%) compared to 33 (36%) in the preoperative evaluation (χ2 with Yates continuity correction for two degrees of liberty = 46.04; p < 0.00001). Our results suggest that patients can expect to see a significant overall improvement in all five components of QoL measured with the help of Eq. 5D questionnaire. This improvement is dependent by hernia size, and some individual patient's factors (diabetes, cardiovascular diseases, and age over 60 years).","2024","Hernia : the journal of hernias and abdominal wall surgery"
259,"39625533","Development and validation of a nomogram for predicting cerebrospinal fluid leak after endoscopic craniopharyngioma resection.","To identify risk factors for cerebrospinal fluid (CSF) leak after extended endoscopic endonasal surgery for craniopharyngiomas and develop a predictive model for predicting postoperative CSF leak. Six hundred and sixty cases of craniopharyngioma (training cohort: n = 462; validation cohort: n = 198) were retrospectively reviewed between October 2018 and May 2024, and relevant risk factors were identified. A nomogram was built using a stepwise logistic regression method based on the Akaike information criterion. The performance of the nomogram was evaluated using area under the curve (AUC), calibration curve, and decision curve analysis. The overall rate of postoperative CSF leak was 4.5%. Higher prognostic nutritional index (PNI) level (OR 0.819, 95% confidence interval [CI] 0.735-0.912; p < 0.001) and larger dural defect (OR 6.789, 95% CI 3.112-14.807; p < 0.001) were identified as independent predictors for postoperative CSF leak in multivariable logistic regression analysis. The AUCs of the nomogram were 0.870 (95% CI, 0.782-0.957; p < 0.001) and 0.842 (95% CI, 0.722-0.963; p < 0.001) in the training and validation sets, respectively. Calibration curves in the training and validation cohorts showed satisfactory agreement between predictive and actual outcomes (p = 0.608 and p = 0.564, respectively). Decision curve analysis further confirmed the clinical usefulness of the nomogram. Higher PNI levels may help reduce the risk of postoperative CSF leak, while a larger dural defect size was demonstrated as an independent risk factor. We developed and validated a nomogram for predicting CSF leak after endoscopic craniopharyngioma resection, which showed strong predictive performance and could assist clinicians in formulating personalized treatment strategies.","2024","Neurosurgical review"
260,"39632213","Development and validation of a deep learning algorithm for the classification of the level of surgical difficulty in impacted mandibular third molar surgery.","The aim of this study was to develop and validate a convolutional neural network (CNN) algorithm for the detection of impacted mandibular third molars in panoramic radiographs and the classification of the surgical extraction difficulty level. A dataset of 1730 panoramic radiographs was collected; 1300 images were allocated to training and 430 to testing. The performance of the model was evaluated using the confusion matrix for multiclass classification, and the actual scores were compared to those of two human experts. The area under the precision-recall curve of the YOLOv5 model ranged from 72% to 89% across the variables in the surgical difficulty index. The area under the receiver operating characteristic curve showed promising results of the YOLOv5 model for classifying third molars into three surgical difficulty levels (micro-average AUC 87%). Furthermore, the algorithm scores demonstrated good agreement with the human experts. In conclusion, the YOLOv5 model has the potential to accurately detect and classify the position of mandibular third molars, with high performance for every criterion in radiographic images. The proposed model could serve as an aid in improving clinician performance and could be integrated into a screening system.","2024","International journal of oral and maxillofacial surgery"
261,"38380470","Early prediction of mastery of a computerized functional skills training program in participants with mild cognitive impairment.","Cognition in MCI has responded poorly to pharmacological interventions, leading to use of computerized training. Combining computerized cognitive training (CCT) and functional skills training software (FUNSAT) produced improvements in 6 functional skills in MCI, with effect sizes >0.75. However, 4% of HC and 35% of MCI participants failed to master all 6 tasks. We address early identification of characteristics that identify participants who do not graduate, to improve later interventions. NC participants (n = 72) received FUNSAT and MCI (n = 92) participants received FUNSAT alone or combined FUNSAT and CCT on a fully remote basis. Participants trained twice a week for up to 12 weeks. Participants ""graduated"" each task when they made one or fewer errors on all 3-6 subtasks per task. Tasks were no longer trained after graduation. Between-group comparisons of graduation status on baseline completion time and errors found that failure to graduate was associated with more baseline errors on all tasks but no longer completion times. A discriminant analysis found that errors on the first task (Ticket purchase) uniquely separated the groups, F = 41.40, p < .001, correctly classifying 94% of graduators. An ROC analysis found an AUC of .83. MOCA scores did not increase classification accuracy. More baseline errors, but not completion times, predicted failure to master all FUNSAT tasks. Accuracy of identification of eventual mastery was exceptional. Detection of risk to fail to master training tasks is possible in the first 15 minutes of the baseline assessment. This information can guide future enhancements of computerized training.","2024","International psychogeriatrics"
262,"39638610","Prediction of low birth weight from fetal ultrasound and clinical characteristics: a comparative study between a low- and middle-income and a high-income country.","Adverse perinatal outcomes (APO) pose a significant global challenge, particularly in low- and middle-income countries (LMICs). This study aims to analyse two cohorts of high-risk pregnant women for APO to comprehend risk factors and improve prediction accuracy. We considered an LMIC and a high-income country (HIC) population to derive XGBoost classifiers to predict low birth weight (LBW) from a comprehensive set of maternal and fetal characteristics including socio-demographic, past and current pregnancy information, fetal biometry and fetoplacental Doppler measurements. Data were sourced from the FeDoC (Fetal Doppler Collaborative) study (Pakistan, LMIC) and theIMPACT (Improving Mothers for a Better PrenAtal Care Trial) study (Spain, HIC), and included 520 and 746 pregnancies assessed from 28 weeks gestation, respectively. The models were trained on varying subsets of the mentioned characteristics to evaluate their contribution in predicting LBW cases. For external validation, and to highlight potential differential risk factors for LBW, we investigated the generalisation of these models across cohorts. Models' performance was evaluated through the area under the curve (AUC), and their interpretability was assessed using SHapley Additive exPlanations. In FeDoC, Doppler variables demonstrated the highest value at predicting LBW compared with biometry and maternal clinical data (AUCDoppler, 0.67; AUCClinical, 0.65; AUCBiometry, 0.63), and its combination with maternal clinical data yielded the best prediction (AUCClinical+Doppler, 0.71). In IMPACT, fetal biometry emerged as the most predictive set (AUCBiometry, 0.75; AUCDoppler, 0.70; AUCClinical, 0.69) and its combination with Doppler and maternal clinical data achieved the highest accuracy (AUCClinical+Biometry+Doppler, 0.81). External validation consistently indicated that biometry combined with Doppler data yielded the best prediction. Our findings provide new insights into the predictive role of different clinical and ultrasound descriptors in two populations at high risk for APO, highlighting that different approaches are required for different populations. However, Doppler data improves prediction capabilities in both settings, underscoring the value of standardising ultrasound data acquisition, as practiced in HIC, to enhance LBW prediction in LMIC. This alignment contributes to bridging the health equity gap.","2024","BMJ global health"
263,"39579225","Effect of ventricular fibrillation on infarct size after myocardial infarction: a translational study.","Ventricular fibrillation (VF)-induced cardiac arrest frequently complicates ST-segment elevation myocardial infarction (STEMI). Although larger infarct sizes (IS) correlate with a higher risk of VF, the influence of VF itself on IS has remained poorly investigated. To address this knowledge gap, we analyzed the effect of VF on IS in patients and two experimental models. From a prospective cohort, 30 STEMI patients with VF were matched 1:2 with STEMI patients without VF on the common determinants of IS. The primary endpoint was IS, assessed using the 48-h area under the curve (AUC) for troponin. We also compared IS in pigs with/without spontaneous VF during STEMI (n = 15/group), and in an isolated rat heart model of myocardial infarction with/without electrically induced VF (n = 7/group). After matching, the patient characteristics, including the area at risk (AR), were similar. IS was 33% lower in the VF group compared to the control group (troponin AUC 1.6 [0.5-3.3] 106 arbitrary units vs. 2.4 [0.9-4.1] 106 arbitrary units; p < 0.05), but infarct scar size (assessed using MRI and ECG) did not differ between the groups at 1 and 6 months. In both experimental models, IS, expressed as a percentage of AR, was lower (p < 0.05) in the VF group than in the control group. When common determinants of IS are comparable, VF occurring prior to myocardial infarction reperfusion appears to be associated with smaller IS. Nevertheless, this finding, observed under specific experimental conditions and in a highly selected group of patients, was not associated with reduced infarct scar size.Registration (HIBISCUS-STEMI cohort): ClinicalTrials.gov NCT05794022.","2024","Basic research in cardiology"
264,"39561486","Unravelling environmental drivers and patterns of Portuguese man o' war (Physalia physalis) blooms in two ocean regions: North Atlantic and the Southeast Pacific.","Jellyfish blooms can significantly impact marine food webs, biochemical processes and human health, disrupting various economic sectors, including fisheries, aquaculture and tourism. Thus, understanding the regional drivers and patterns of jellyfish occurrence is key for developing effective management strategies. The Portuguese man o' war (Physalia physalis) is a hazardous, cosmopolitan siphonophore of particular concern, requiring a deeper ecological understanding to effectively guide mitigation efforts. Our study reveals that the occurrence of P. physalis in both the North Atlantic (Azores, Portugal) and the Southeast Pacific (Australian East Coast) is driven by region-specific wind patterns and increased primary productivity (>30 % model contribution), with warming conditions emerging as an additional occurrence driver on the Australian East Coast (∼20 % model contribution). These insights resulted from machine learning models (Boosted Regression Trees) trained with high-resolution environmental data against field data describing the temporal variability of P. physalis occurrence (North Atlantic: 2008-2021; Southeast Pacific: 2016-2020). The models achieved excellent predictive performance (AUC North Atlantic: 1.00; AUC Southeast Pacific: 0.92) and allowed hindcasting occurrences over 30 years, uncovering contrasting trends between the two regions, with decadal fluctuations in the Azores and a significant increase in occurrence over time on the Australian East Coast. Overall, we provide a better understanding of the drivers and patterns of P. physalis occurrence, which can support the development of coastal management strategies. Importantly, the anticipated changes in productivity and temperature conditions in both regions may result in increased blooms in the years to come, further exerting impacts on the ecosystems, human health, and the economy.","2024","Marine pollution bulletin"
265,"38753229","Clinical biomarker-based biological age predicts deaths in Brazilian adults: the ELSA-Brasil study.","Biological age is a construct that seeks to evaluate the biological wear and tear process of the organism that cannot be observed by chronological age. We estimate individuals' biological age based on biomarkers from multiple systems and validate it through its association with mortality from natural causes. Biological age was estimated in 12,109 participants (6621 women and 5488 men) from the first visit of the Brazilian Longitudinal Study of Adult Health (ELSA-Brasil) who had valid data for the biomarkers used in the analyses. Biological age was estimated using the Klemera and Doubal method. The difference between chronological age and biological age (Δage) was computed. Cox proportional hazard models stratified by sex were used to assess whether Δage was associated with mortality risk after a median follow-up of 9.1 years. The accuracy of the models was estimated by the area under the curve (AUC). Δage had equal mean for men and women, with greater variability for men. Cox models showed that every 1-year increase in Δage was associated with increased mortality in men (HR (95% CI) 1.21; 1.17-1.25) and women (HR (95% CI) 1.24; 1.15-1.34), independently of chronological age. Results of the AUC demonstrated that the predictive power of models that only included chronological age (AUC chronological age = 0.7396) or Δage (AUC Δage = 0.6842) was lower than those that included both, chronological age and Δage (AUC chronological age + Δage = 0.802), in men. This difference was not observed in women. We demonstrate that biological age is strongly related to mortality in both genders and is a valid predictor of death in Brazilian adults, especially among men.","2024","GeroScience"
266,"38961831","A prediction model for stillbirth based on first trimester pre-eclampsia combined screening.","To evaluate the accuracy of combined models of maternal biophysical factors, ultrasound, and biochemical markers for predicting stillbirths. A retrospective cohort study of pregnant women undergoing first-trimester pre-eclampsia screening at 11-13 gestational weeks was conducted. Maternal characteristics and history, mean arterial pressure (MAP) measurement, uterine artery pulsatility index (UtA-PI) ultrasound, maternal ophthalmic peak ratio Doppler, and placental growth factor (PlGF) serum were collected during the visit. Stillbirth was classified as placental dysfunction-related when it occurred with pre-eclampsia or birth weight <10th percentile. Combined prediction models were developed from significant variables in stillbirths, placental dysfunction-related, and controls. We used the area under the receiver-operating-characteristics curve (AUC), sensitivity, and specificity based on a specific cutoff to evaluate the model's predictive performance by measuring the capacity to distinguish between stillbirths and live births. There were 13 (0.79%) cases of stillbirth in 1643 women included in the analysis. The combination of maternal factors, MAP, UtA-PI, and PlGF, significantly contributed to the prediction of stillbirth. This model was a good predictor for all (including controls) types of stillbirth (AUC 0.879, 95% CI: 0.799-0.959, sensitivity of 99.3%, specificity of 38.5%), and an excellent predictor for placental dysfunction-related stillbirth (AUC 0.984, 95% CI: 0.960-1.000, sensitivity of 98.5, specificity of 85.7). Screening at 11-13 weeks' gestation by combining maternal factors, MAP, UtA-PI, and PlGF, can predict a high proportion of stillbirths. Our model has good accuracy for predicting stillbirths, predominantly placental dysfunction-related stillbirths.","2024","International journal of gynaecology and obstetrics: the official organ of the International Federation of Gynaecology and Obstetrics"
267,"39083062","Prediction of bone invasion of oral squamous cell carcinoma using a magnetic resonance imaging-based machine learning model.","Radiomics, a recently developed image-processing technology, holds potential in medical diagnostics. This study aimed to propose a machine-learning (ML) model and evaluate its effectiveness in detecting oral squamous cell carcinoma (OSCC) and predicting bone metastasis using magnetic resonance imaging (MRI). MRI radiomic features were extracted and analyzed to identify malignant lesions. A total of 86 patients (44 with benign lesions without bone invasion and 42 with malignant lesions with bone invasion) were included. Data and clinical information were managed using the RadCloud Platform (Huiying Medical Technology Co., Ltd., Beijing, China). The study employed a hand-crafted radiomics model, with the dataset randomly split into training and validation sets in an 8:2 ratio using 815 random seeds. The results revealed that the ML method support vector machine (SVM) performed best for detecting bone invasion (AUC = 0.999) in the test set. Radiomics tumor features derived from MRI are useful to predicting bone invasion from oral squamous cell carcinoma with high accuracy. This study introduces an ML model utilizing SVM and radiomics to predict bone invasion in OSCC. Despite the promising results, the small sample size necessitates larger multicenter studies to validate and expand these findings.","2024","European archives of oto-rhino-laryngology : official journal of the European Federation of Oto-Rhino-Laryngological Societies (EUFOS) : affiliated with the German Society for Oto-Rhino-Laryngology - Head and Neck Surgery"
268,"38896855","Anatomical predispositions for silent cerebral infarction postcarotid artery stenting: a retrospective cohort.","Silent cerebral infarction (SCI) that manifests following carotid artery stenting (CAS) has been postulated to correlate with cognitive decline, the onset of dementia, and an increased risk of subsequent cerebrovascular events. This investigation aimed to thoroughly examine the potential anatomical predispositions that are linked to the occurrence of SCI post-CAS, and further develop a predictive nomogram that could accurately forecast the risk of SCI post-CAS. The present investigation conducted a retrospective examination of datasets from 250 individuals presenting with carotid artery stenosis who had been subjected to CAS within a tertiary healthcare institution from June 2020 to November 2021. Stratified by the procedural date, participants were allocated into a training cohort and a validation cohort. A nomogram was constructed predicated on salient prognostic determinants discerned via a multivariate logistic regression analysis. An aggregate of 184 patients were incorporated into the study, of which 60 (32.6%) manifested SCI, whereas 124 (67.4%) did not. Within the training cohort ( n =123), age (OR 1.08, 95% CI: 1.01-1.16; P =0.034), aortic arch type (Type III vs. I: OR 10.79, 95% CI: 2.12-54.81; P =0.005), aortic arch variant (OR 47.71, 95% CI: 6.05-376.09; P <0.001), common carotid artery (CCA) ostium lesions (OR 6.93, 95% CI: 1.49-32.32; P =0.014), and proximal tortuosity index (TI) (OR 1.01, 95% CI: 1.00-1.02; P =0.029) were demarcated as standalone risk predispositions for SCI subsequent to CAS. The concordance index (C-index) for the training cohort's nomogram stood at 0.89 (95% CI: 0.84-0.95). Moreover, the said nomogram exhibited commendable efficacy within the validation cohort (C-index=0.94) as well as the entire participant base (C-index=0.90). Furthermore, the decision curve analysis illustrated the exemplary clinical applicability of the nomogram. The findings of this inquiry underscore that age, aortic arch type, aortic arch variant, CCA ostium lesions, and proximal TI serve as independent determinants linked with SCI post-CAS. The formulated nomogram, predicated on these risk factors, possesses robust prognostic significance, and might serve as a valuable adjunct to inform clinical decision-making.","2024","International journal of surgery (London, England)"
