"","doi","auc","claude","hand","agreement"
"40","10_1080_21505594_2025_2534078",0.553,"missing","present","hand_only"
"41","10_1002_mp_17672",0.229,"missing","present","hand_only"
"42","10_2106_jbjs_24_01601",0.852,"missing","present","hand_only"
"43","10_1007_s00330-025-12208-6",0.837,"missing","present","hand_only"
"44","10_1021_acs_jcim_4c02130",0.886,"missing","present","hand_only"
"45","10_3389_fcvm_2025_1609891",0.634,"missing","present","hand_only"
"46","10_1016_j_ijbiomac_2025_146075",0.9486,"missing","present","hand_only"
"47","10_1007_s00234-025-03732-9",0.782,"missing","present","hand_only"
"48","10_1002_1878-0261_70084",0.75,"missing","present","hand_only"
"49","10_1016_j_cmpb_2025_108979",0.984,"missing","present","hand_only"
"50","10_1111_iej_70055",0.96,"missing","present","hand_only"
"51","10_1002_jpn3_70201",0.631,"present","missing","claude_only"
"52","10_1002_ana_27260",0.83,"present","missing","claude_only"
"53","10_1136_gutjnl-2025-335598",0.761,"present","missing","claude_only"
"54","10_1002_ana_27291",0.92,"present","missing","claude_only"
"55","10_3389_fcvm_2025_1609891",0.59,"present","missing","claude_only"
"56","10_1002_lary_70286",0.825,"present","missing","claude_only"
"57","10_1002_ana_27291",0.91,"present","missing","claude_only"
"58","10_1002_ijgo_70159",0.93,"present","missing","claude_only"
"59","10_3389_fendo_2025_1698247",0.846,"present","missing","claude_only"
"60","10_1007_s00062-025-01593-6",0.84,"present","missing","claude_only"
"61","10_1002_lary_70286",0.858,"present","missing","claude_only"
"62","10_1002_wjs_70062",0.835,"present","missing","claude_only"
"63","10_1007_s10143-025-03719-3",0.771,"present","missing","claude_only"
"64","10_1128_jcm_01186-25",0.73,"present","missing","claude_only"
"65","10_1016_j_ijbiomac_2025_146075",0.9198,"present","missing","claude_only"
"66","10_1136_gutjnl-2025-335598",0.722,"present","missing","claude_only"
"67","10_1016_j_ijmedinf_2025_105901",0.91,"present","missing","claude_only"
"68","10_1080_14737159_2025_2579046",0.824,"present","missing","claude_only"
"69","10_3389_fmed_2025_1623850",0.98,"present","missing","claude_only"
"70","10_1089_end_2024_0922",0.87,"present","missing","claude_only"
"71","10_1002_jpn3_70201",0.572,"present","missing","claude_only"
"72","10_1016_j_jad_2025_120197",0.707,"present","missing","claude_only"
"73","10_1016_j_ijmedinf_2025_105901",0.91,"present","missing","claude_only"
"74","10_1007_s00062-025-01593-6",0.864,"present","missing","claude_only"
"75","10_1016_j_ijbiomac_2025_146075",0.9374,"present","missing","claude_only"
"76","10_1002_mp_17650",0.8587,"present","missing","claude_only"
"77","10_1128_jcm_01186-25",0.81,"present","missing","claude_only"
"78","10_1016_j_ijbiomac_2025_146075",0.9184,"present","missing","claude_only"
"79","10_1007_s00127-025-02857-9",0.649,"present","missing","claude_only"
"80","10_1002_1878-0261_70084",0.844,"present","missing","claude_only"
"81","10_1177_17562864251374903",0.522,"present","missing","claude_only"
"82","10_1002_ana_27291",0.95,"present","missing","claude_only"
"83","10_1007_s00234-025-03661-7",0.837,"present","missing","claude_only"
"84","10_3389_fmed_2025_1471746",0.8,"present","missing","claude_only"
"85","10_1136_gutjnl-2025-335598",0.755,"present","missing","claude_only"
"86","10_3389_fendo_2025_1698247",0.971,"present","missing","claude_only"
"87","10_1016_j_ijmedinf_2025_105901",0.95,"present","missing","claude_only"
"88","10_1136_gutjnl-2025-335598",0.732,"present","missing","claude_only"
"89","10_1128_jcm_01186-25",0.75,"present","missing","claude_only"
"90","10_1002_dad2_70229",0.69,"present","missing","claude_only"
"91","10_1002_ana_27291",0.94,"present","missing","claude_only"
"92","10_3389_fendo_2025_1698247",0.804,"present","missing","claude_only"
"93","10_1038_s41380-025-03192-w",0.79,"present","missing","claude_only"
"94","10_1128_jcm_01186-25",0.71,"present","missing","claude_only"
"95","10_1002_ueg2_70004",0.779,"present","missing","claude_only"
"96","10_1016_j_ijbiomac_2025_146075",0.9406,"present","missing","claude_only"
"97","10_1097_shk_0000000000002569",0.702,"present","missing","claude_only"
"98","10_1016_j_jinf_2025_106458",0.7,"present","missing","claude_only"
"99","10_1002_dad2_70229",0.68,"present","missing","claude_only"
"100","10_1038_s41380-025-03192-w",0.85,"present","missing","claude_only"
