,doi,spec,claude,hand,agreement,in_article,correct,location,reason
29,10_1002_ejhf_3693,78.6,missing,present,hand_only,TRUE,TRUE,text,na
30,10_1007_s00234-025-03732-9,85.2,missing,present,hand_only,TRUE,TRUE,table,na
31,10_1007_s00234-025-03732-9,87.1,missing,present,hand_only,TRUE,TRUE,table,na
32,10_3348_kjr_2024_1202,81.1,missing,present,hand_only,TRUE,TRUE,table,na
33,10_1007_s00234-025-03732-9,88,missing,present,hand_only,TRUE,TRUE,table,na
34,10_2106_jbjs_24_01601,97.6,missing,present,hand_only,TRUE,TRUE,table,na
35,10_3389_fmed_2025_1615136,60.43,missing,present,hand_only,TRUE,TRUE,text,na
36,10_1016_j_ejrad_2025_112560,85.4,missing,present,hand_only,TRUE,TRUE,table,na
37,10_2106_jbjs_24_01601,98.1,missing,present,hand_only,TRUE,TRUE,table,na
38,10_1007_s00234-025-03698-8,81.1,missing,present,hand_only,TRUE,TRUE,table,na
39,10_1016_j_cmpb_2025_108979,96.4,missing,present,hand_only,FALSE,FALSE,table,input recall not precision
40,10_3389_fnagi_2025_1504733,89.6,missing,present,hand_only,TRUE,TRUE,table,na
41,10_3389_fendo_2025_1698247,95.9,missing,present,hand_only,TRUE,TRUE,table,na
42,10_3389_fendo_2025_1698247,92.8,missing,present,hand_only,TRUE,TRUE,table,na
43,10_1002_hed_28189,0.8,missing,present,hand_only,TRUE,TRUE,table,na
44,10_1007_s00431-024-05934-4,83,missing,present,hand_only,FALSE,FALSE,text,input sensitivity not specificity
45,10_1016_j_ijmedinf_2025_105901,83.3,missing,present,hand_only,TRUE,TRUE,table,na
46,10_1002_hed_28189,0.72,missing,present,hand_only,TRUE,TRUE,table,na
47,10_2106_jbjs_24_01601,86,missing,present,hand_only,TRUE,TRUE,table,na
48,10_2106_jbjs_24_01601,87.6,missing,present,hand_only,TRUE,TRUE,table,na
49,10_2106_jbjs_24_01601,99.5,missing,present,hand_only,TRUE,TRUE,table,na
50,10_1016_j_ejrad_2025_112560,33.3,missing,present,hand_only,TRUE,TRUE,table,na
51,10_3389_fnagi_2025_1504733,96,present,missing,claude_only,TRUE,TRUE,table,na
52,10_1016_j_cmpb_2025_108979,93,present,missing,claude_only,FALSE,FALSE,FALSE,na
53,10_1016_j_jad_2025_120197,84.4,present,missing,claude_only,TRUE,TRUE,table,na
54,10_3389_fmed_2025_1615136,75.54,present,missing,claude_only,TRUE,TRUE,text,na
55,10_1016_j_ijbiomac_2025_146075,92.53,present,missing,claude_only,TRUE,TRUE,text,na
56,10_1007_s13304-025-02301-2,90,present,missing,claude_only,TRUE,TRUE,text,na
57,10_1002_wjs_70062,97,present,missing,claude_only,FALSE,FALSE,FALSE,na
58,10_1002_mp_17650,85.3,present,missing,claude_only,TRUE,TRUE,table,na
59,10_1002_mp_17882,79.2,present,missing,claude_only,TRUE,TRUE,text,na
60,10_1002_jmri_70205,46.4,present,missing,claude_only,TRUE,TRUE,table,na
61,10_3389_fmed_2025_1615136,71.79,present,missing,claude_only,TRUE,TRUE,text,na
62,10_3389_fmed_2025_1623850,79,present,missing,claude_only,TRUE,TRUE,table,na
63,10_1177_17562864251374903,85.9,present,missing,claude_only,TRUE,TRUE,text,na
64,10_1016_j_ejrad_2025_112560,33.3,present,missing,claude_only,TRUE,TRUE,table,na
65,10_1186_s40644-025-00920-x,1,present,missing,claude_only,TRUE,TRUE,table,na
66,10_1002_mp_17650,86.5,present,missing,claude_only,TRUE,TRUE,table,na
67,10_1002_mp_17882,84.9,present,missing,claude_only,TRUE,TRUE,table,na
68,10_1016_j_jocmr_2025_101933,41.2,present,missing,claude_only,TRUE,TRUE,table,na
69,10_3389_fmed_2025_1615136,60.43,present,missing,claude_only,TRUE,TRUE,text,na
70,10_1136_gutjnl-2025-335598,77,present,missing,claude_only,TRUE,TRUE,text,na
71,10_1001_jamaoto_2025_4694,93.56,present,missing,claude_only,TRUE,TRUE,text,na
72,10_1007_s00586-025-09239-4,50,present,missing,claude_only,TRUE,TRUE,text,na
73,10_2106_jbjs_24_01601,93.9,present,missing,claude_only,TRUE,TRUE,text,na
74,10_1016_j_cmpb_2025_108979,97,present,missing,claude_only,FALSE,FALSE,FALSE,na
75,10_3389_fmed_2025_1623850,86,present,missing,claude_only,TRUE,TRUE,table,na
76,10_1016_j_cmpb_2025_108979,88,present,missing,claude_only,TRUE,TRUE,table,na
77,10_1016_j_ijbiomac_2025_146075,92.53,present,missing,claude_only,TRUE,TRUE,text,na
78,10_3389_fmed_2025_1623850,98,present,missing,claude_only,TRUE,TRUE,table,na
79,10_3389_fmed_2025_1615136,71.79,present,missing,claude_only,TRUE,TRUE,text,na
80,10_1016_j_ijbiomac_2025_146075,92.53,present,missing,claude_only,TRUE,TRUE,table,na
81,10_1002_ana_27291,91,present,missing,claude_only,TRUE,TRUE,text,na
82,10_1001_jamaoto_2025_4694,83.74,present,missing,claude_only,TRUE,TRUE,table,na
83,10_1007_s00127-025-02857-9,62.5,present,missing,claude_only,TRUE,TRUE,text,na
84,10_3389_fmed_2025_1471746,1,present,missing,claude_only,TRUE,TRUE,table,na
85,10_1002_ueg2_70004,76,present,missing,claude_only,TRUE,TRUE,text,na
86,10_1016_j_ijbiomac_2025_146075,92.53,present,missing,claude_only,TRUE,TRUE,text,na
87,10_3389_fendo_2025_1501383,94,present,missing,claude_only,TRUE,TRUE,text,na
88,10_1016_j_jns_2025_123748,94.4,present,missing,claude_only,TRUE,TRUE,text,na
89,10_1007_s00068-025-02793-y,93.78,present,missing,claude_only,TRUE,TRUE,table,na
90,10_2106_jbjs_24_01601,84.4,present,missing,claude_only,TRUE,TRUE,table,na
91,10_1002_mp_17882,91,present,missing,claude_only,TRUE,TRUE,table,na
92,10_1007_s00234-025-03698-8,81.1,present,missing,claude_only,TRUE,TRUE,table,na
93,10_1002_mp_17882,58.5,present,missing,claude_only,TRUE,TRUE,table,na
94,10_1245_s10434-025-17656-4,71.4,present,missing,claude_only,TRUE,TRUE,text,na
95,10_3389_fmed_2025_1623850,84,present,missing,claude_only,TRUE,TRUE,table,na
96,10_3389_fnagi_2025_1504733,65.5,present,missing,claude_only,TRUE,TRUE,table,na
97,10_2106_jbjs_24_01601,94.4,present,missing,claude_only,TRUE,TRUE,table,na
98,10_3390_jcm14165664,1,present,missing,claude_only,TRUE,TRUE,text,na
99,10_3389_fmed_2025_1623850,98,present,missing,claude_only,TRUE,TRUE,table,na
100,10_1136_gutjnl-2025-335598,81,present,missing,claude_only,TRUE,TRUE,table,na
