"","doi","sens","claude","hand","agreement"
"35","10_1002_lary_70332",70,"missing","present","hand_only"
"36","10_2106_jbjs_24_01601",61,"missing","present","hand_only"
"37","10_1007_s00234-025-03698-8",69.2,"missing","present","hand_only"
"38","10_1007_s00234-025-03732-9",70.2,"missing","present","hand_only"
"39","10_1080_21505594_2025_2534078",68.9,"missing","present","hand_only"
"40","10_1016_j_ijmedinf_2025_105901",81.1,"missing","present","hand_only"
"41","10_1016_j_ijmedinf_2025_105901",81.7,"missing","present","hand_only"
"42","10_1002_dad2_70041",57,"missing","present","hand_only"
"43","10_3389_fpsyt_2025_1657696",90,"missing","present","hand_only"
"44","10_3389_fendo_2025_1650116",86.3,"missing","present","hand_only"
"45","10_1002_dad2_70041",28,"missing","present","hand_only"
"46","10_2106_jbjs_24_01601",75,"missing","present","hand_only"
"47","10_2106_jbjs_24_01601",68.8,"missing","present","hand_only"
"48","10_2106_jbjs_24_01601",59.4,"missing","present","hand_only"
"49","10_1002_lary_70332",70,"missing","present","hand_only"
"50","10_2106_jbjs_24_01601",77.8,"missing","present","hand_only"
"51","10_3389_fnagi_2025_1582687",53.9,"present","missing","claude_only"
"52","10_1002_lary_70286",77.4,"present","missing","claude_only"
"53","10_1002_ana_27291",84,"present","missing","claude_only"
"54","10_1245_s10434-025-17656-4",57.1,"present","missing","claude_only"
"55","10_1002_hed_28189",78,"present","missing","claude_only"
"56","10_3389_fmed_2025_1623850",58,"present","missing","claude_only"
"57","10_1002_mp_17882",83.8,"present","missing","claude_only"
"58","10_1002_mp_17650",84.2,"present","missing","claude_only"
"59","10_1002_mp_17882",68.7,"present","missing","claude_only"
"60","10_1002_dad2_70041",56,"present","missing","claude_only"
"61","10_2106_jbjs_24_01601",70.4,"present","missing","claude_only"
"62","10_1016_j_ijbiomac_2025_146075",81.42,"present","missing","claude_only"
"63","10_2106_jbjs_24_01601",65.6,"present","missing","claude_only"
"64","10_1016_j_ijbiomac_2025_146075",78.12,"present","missing","claude_only"
"65","10_1007_s00234-025-03698-8",57.7,"present","missing","claude_only"
"66","10_3389_fnut_2025_1574063",92,"present","missing","claude_only"
"67","10_1007_s00234-025-03590-5",50,"present","missing","claude_only"
"68","10_1002_jpn3_70201",62.8,"present","missing","claude_only"
"69","10_1002_mp_17650",85.61,"present","missing","claude_only"
"70","10_1016_j_ijbiomac_2025_146075",79.34,"present","missing","claude_only"
"71","10_1002_mp_17882",91.7,"present","missing","claude_only"
"72","10_1016_j_exger_2025_112766",100,"present","missing","claude_only"
"73","10_1016_j_jocmr_2025_101933",91.2,"present","missing","claude_only"
"74","10_1245_s10434-025-17656-4",56.7,"present","missing","claude_only"
"75","10_1016_j_exger_2025_112766",32.3,"present","missing","claude_only"
"76","10_1007_s00234-025-03698-8",53.8,"present","missing","claude_only"
"77","10_1016_j_ijbiomac_2025_146075",81.42,"present","missing","claude_only"
"78","10_3389_fendo_2025_1518764",93.6,"present","missing","claude_only"
"79","10_1007_s00330-025-11981-8",57,"present","missing","claude_only"
"80","10_1007_s00234-025-03732-9",88.6,"present","missing","claude_only"
"81","10_3389_fnagi_2025_1504733",63.6,"present","missing","claude_only"
"82","10_1002_bcp_70411",68.1,"present","missing","claude_only"
"83","10_3389_fnagi_2025_1582687",48.7,"present","missing","claude_only"
"84","10_1016_j_ijbiomac_2025_146075",78.99,"present","missing","claude_only"
"85","10_2106_jbjs_24_01601",79.8,"present","missing","claude_only"
"86","10_2106_jbjs_24_01601",68.6,"present","missing","claude_only"
"87","10_1016_j_acra_2025_02_046",69.2,"present","missing","claude_only"
"88","10_1002_ana_27291",100,"present","missing","claude_only"
"89","10_1001_jamaoto_2025_4694",91.22,"present","missing","claude_only"
"90","10_1007_s00198-025-07503-3",17,"present","missing","claude_only"
"91","10_1186_s40644-025-00920-x",57.1,"present","missing","claude_only"
"92","10_1002_mp_17882",70.3,"present","missing","claude_only"
"93","10_1016_j_ijbiomac_2025_146075",81.42,"present","missing","claude_only"
"94","10_1136_gutjnl-2025-335598",80,"present","missing","claude_only"
"95","10_1016_j_jns_2025_123748",82.8,"present","missing","claude_only"
"96","10_1002_dad2_70116",90,"present","missing","claude_only"
"97","10_1007_s00198-025-07503-3",39,"present","missing","claude_only"
"98","10_1007_s00234-025-03732-9",82.5,"present","missing","claude_only"
"99","10_1002_mp_17882",84.7,"present","missing","claude_only"
"100","10_1007_s00068-025-02793-y",93.54,"present","missing","claude_only"
