"","doi","sample_size","claude","hand","agreement"
"59","10_3389_fmed_2025_1623850",77,"present","missing","claude_only"
"60","10_1007_s00062-025-01593-6",41,"present","missing","claude_only"
"61","10_1002_jcla_25159",84,"present","missing","claude_only"
"62","10_1002_jmri_70183",30,"present","missing","claude_only"
"63","10_1002_lary_70286",612,"present","missing","claude_only"
"64","10_3389_fnut_2025_1574063",7092,"present","missing","claude_only"
"65","10_1002_bcp_70411",602,"present","missing","claude_only"
"66","10_3389_fmed_2025_1623850",77,"present","missing","claude_only"
"67","10_1016_j_tranon_2025_102281",324,"present","missing","claude_only"
"68","10_1002_ana_27291",235,"present","missing","claude_only"
"69","10_3389_fnut_2025_1574063",7092,"present","missing","claude_only"
"70","10_3389_fendo_2025_1698247",30,"present","missing","claude_only"
"71","10_1080_21505594_2025_2534078",68,"present","missing","claude_only"
"72","10_1016_j_ijbiomac_2025_146075",1152,"present","missing","claude_only"
"73","10_1038_s41380-025-03192-w",42,"present","missing","claude_only"
"74","10_3389_fendo_2025_1698247",28,"present","missing","claude_only"
"75","10_1007_s00701-025-06566-9",41,"present","missing","claude_only"
"76","10_1016_j_tranon_2025_102281",82,"present","missing","claude_only"
"77","10_1128_jcm_01186-25",4664,"present","missing","claude_only"
"78","10_1016_j_jns_2025_123748",65,"present","missing","claude_only"
"79","10_3389_fendo_2025_1698247",3465,"present","missing","claude_only"
"80","10_1002_ohn_70075",475,"present","missing","claude_only"
"81","10_3389_fendo_2025_1698247",3465,"present","missing","claude_only"
"82","10_3389_fpsyt_2025_1657696",105,"present","missing","claude_only"
"83","10_1002_dad2_70229",5149,"present","missing","claude_only"
"84","10_1002_dad2_70229",5149,"present","missing","claude_only"
"85","10_1038_s41380-025-03192-w",39,"present","missing","claude_only"
"86","10_1002_1878-0261_70084",639,"present","missing","claude_only"
"87","10_1002_ana_27260",576,"present","missing","claude_only"
"88","10_1016_j_ejrad_2025_112272",44,"present","missing","claude_only"
"89","10_1007_s00127-025-02857-9",2071,"present","missing","claude_only"
"90","10_1007_s00330-025-11981-8",124,"present","missing","claude_only"
"91","10_1016_j_atherosclerosis_2025_119212",1270,"present","missing","claude_only"
"92","10_1002_jmri_70183",30,"present","missing","claude_only"
"93","10_1002_mp_17672",222,"present","missing","claude_only"
"94","10_2196_58779",1025,"present","missing","claude_only"
"95","10_1002_dad2_70229",5149,"present","missing","claude_only"
"96","10_1016_j_injury_2025_112934",71,"present","missing","claude_only"
"97","10_1002_jpn3_70201",1350,"present","missing","claude_only"
"98","10_1002_btm2_70029",50,"present","missing","claude_only"
"99","10_1002_jper_70047",146,"present","missing","claude_only"
"100","10_3389_fcvm_2025_1620664",1954,"present","missing","claude_only"
