"","doi","spec","claude","hand","agreement"
"31","10_1007_s00234-025-03732-9",92.8,"missing","present","hand_only"
"32","10_1016_j_ijmedinf_2025_105901",82.4,"missing","present","hand_only"
"33","10_1007_s00234-025-03732-9",91.1,"missing","present","hand_only"
"34","10_2106_jbjs_24_01601",96.6,"missing","present","hand_only"
"35","10_2106_jbjs_24_01601",96.4,"missing","present","hand_only"
"36","10_1016_j_ejrad_2025_112560",81.7,"missing","present","hand_only"
"37","10_2106_jbjs_24_01601",95,"missing","present","hand_only"
"38","10_1007_s00234-025-03582-5",33,"missing","present","hand_only"
"39","10_1016_j_cmpb_2025_108979",90.6,"missing","present","hand_only"
"40","10_1016_j_acra_2025_02_046",93.3,"missing","present","hand_only"
"41","10_1016_j_ejrad_2025_112560",77.1,"missing","present","hand_only"
"42","10_1016_j_ejrad_2025_112560",85.4,"missing","present","hand_only"
"43","10_1002_dad2_70041",55,"missing","present","hand_only"
"44","10_1245_s10434-025-17656-4",69.2,"missing","present","hand_only"
"45","10_1002_lary_70332",26,"missing","present","hand_only"
"46","10_1002_ejhf_3693",78.6,"missing","present","hand_only"
"47","10_2106_jbjs_24_01601",96.1,"missing","present","hand_only"
"48","10_2106_jbjs_24_01601",94.4,"missing","present","hand_only"
"49","10_2106_jbjs_24_01601",55.8,"missing","present","hand_only"
"50","10_1016_j_ejrad_2025_112560",81.7,"missing","present","hand_only"
"51","10_3389_fnagi_2025_1504733",89.6,"present","missing","claude_only"
"52","10_1016_j_cmpb_2025_108979",93,"present","missing","claude_only"
"53","10_1016_j_jad_2025_120197",84.4,"present","missing","claude_only"
"54","10_3389_fmed_2025_1615136",60.43,"present","missing","claude_only"
"55","10_1016_j_ijbiomac_2025_146075",92.53,"present","missing","claude_only"
"56","10_1007_s13304-025-02301-2",90,"present","missing","claude_only"
"57","10_1002_wjs_70062",97,"present","missing","claude_only"
"58","10_1002_mp_17650",85.3,"present","missing","claude_only"
"59","10_1002_mp_17882",79.2,"present","missing","claude_only"
"60","10_1002_jmri_70205",46.4,"present","missing","claude_only"
"61","10_3389_fmed_2025_1615136",75.54,"present","missing","claude_only"
"62","10_3389_fmed_2025_1623850",84,"present","missing","claude_only"
"63","10_1177_17562864251374903",85.9,"present","missing","claude_only"
"64","10_1016_j_ejrad_2025_112560",33.3,"present","missing","claude_only"
"65","10_1186_s40644-025-00920-x",100,"present","missing","claude_only"
"66","10_1002_mp_17650",86.5,"present","missing","claude_only"
"67","10_1002_mp_17882",84.9,"present","missing","claude_only"
"68","10_1016_j_jocmr_2025_101933",41.2,"present","missing","claude_only"
"69","10_3389_fendo_2025_1698247",95.9,"present","missing","claude_only"
"70","10_1136_gutjnl-2025-335598",77,"present","missing","claude_only"
"71","10_1001_jamaoto_2025_4694",93.56,"present","missing","claude_only"
"72","10_1007_s00586-025-09239-4",50,"present","missing","claude_only"
"73","10_2106_jbjs_24_01601",93.9,"present","missing","claude_only"
"74","10_1016_j_cmpb_2025_108979",97,"present","missing","claude_only"
"75","10_3389_fmed_2025_1623850",98,"present","missing","claude_only"
"76","10_1016_j_cmpb_2025_108979",88,"present","missing","claude_only"
"77","10_1016_j_ijbiomac_2025_146075",92.53,"present","missing","claude_only"
"78","10_3389_fmed_2025_1623850",79,"present","missing","claude_only"
"79","10_3389_fmed_2025_1615136",71.79,"present","missing","claude_only"
"80","10_1016_j_ijbiomac_2025_146075",92.53,"present","missing","claude_only"
"81","10_1002_ana_27291",91,"present","missing","claude_only"
"82","10_1001_jamaoto_2025_4694",83.74,"present","missing","claude_only"
"83","10_1007_s00127-025-02857-9",62.5,"present","missing","claude_only"
"84","10_3389_fendo_2025_1698247",95.4,"present","missing","claude_only"
"85","10_1002_ueg2_70004",76,"present","missing","claude_only"
"86","10_1016_j_ijbiomac_2025_146075",92.53,"present","missing","claude_only"
"87","10_3348_kjr_2024_1202",84.4,"present","missing","claude_only"
"88","10_1016_j_jns_2025_123748",94.4,"present","missing","claude_only"
"89","10_1007_s00068-025-02793-y",93.78,"present","missing","claude_only"
"90","10_2106_jbjs_24_01601",84.4,"present","missing","claude_only"
"91","10_1002_mp_17882",91,"present","missing","claude_only"
"92","10_1007_s00234-025-03698-8",81.1,"present","missing","claude_only"
"93","10_1002_mp_17882",58.5,"present","missing","claude_only"
"94","10_1245_s10434-025-17656-4",71.4,"present","missing","claude_only"
"95","10_3389_fmed_2025_1623850",93,"present","missing","claude_only"
"96","10_3389_fnagi_2025_1504733",81.1,"present","missing","claude_only"
"97","10_2106_jbjs_24_01601",94.4,"present","missing","claude_only"
"98","10_3389_fpsyt_2025_1657696",66,"present","missing","claude_only"
"99","10_3389_fmed_2025_1623850",86,"present","missing","claude_only"
"100","10_1136_gutjnl-2025-335598",81,"present","missing","claude_only"
