key,title,year,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,abstract,notes,doi,keywords,pubmed_id,pmc_id
rayyan-437813840,"Left atrial low-voltage areas, but not volume, predict the recurrence of atrial fibrillation in repeat ablation procedures.",,1,1,Journal of cardiovascular electrophysiology,,,,,,,,,,"Left atrial (LA) low voltage areas (LVA) are a controversial target in atrial fibrillation ablation procedures. However, LVA and LA volume are good predictors of arrhythmia recurrence in ablation-naÃ¯ve patients. Their predictive value in progressively diseased pre-ablated atria is uncertain. Consecutive patients with recurrent atrial fibrillation (AF) or atrial tachycardia (AT), who were scheduled for repeat LA ablation, were enrolled in the prospective Bernau ablation registry between 2016 and 2020. All patients received a complete LA ultrahigh-density map before ablation. Maps were analyzed for LA size, LVA percentage and distribution. The predictive value of demographic, anatomic, and mapping variables on AF recurrence was analyzed. 160 patients (50.6% male, 1.3 pre-ablations, 60% persistent AF) with complete LA voltage maps were included. Mean follow-up time was 16â€‰Â±â€‰11 months. Mean recorded electrograms (EGMs) per map were 9754â€‰Â±â€‰5808, mean LA volume was 176.1â€‰Â±â€‰35.9â€‰ml and mean rate of LVAs <0.5â€‰mV was 30.6%â€‰Â±â€‰23.1%. During follow-up recurrence rate of AF or ATÂ >30â€‰s was 55.6%. Patients with recurrence had a significant higher percentage of LVAs (40.0% vs. 18.8%, pâ€‰<â€‰.001) but no relevant difference in LA volume (172 vs. 178â€‰mL, pâ€‰=â€‰.299). ROC curves revealed LVA as a good predictor for recurrence (AUCâ€‰=â€‰0.79, pâ€‰<â€‰.001) and a cut-off of 22% LVAs with highest sensitivity (73.0%) and specificity (71.8%). Based on this cut off, event free survival was significantly higher in the Low LVA group (pâ€‰<â€‰.01). Total LVA percentage has a good predictive power on arrhythmia recurrence in a cohort of advanced scarred left atria in repeat procedures independent of the applied ablation strategy. Left atrial volume seems to have minor impact on the rhythm outcome in our study cohort.","RAYYAN-INCLUSION: {""Alexander""=>""Included""}",10.1111/jce.16266,,,
rayyan-437813841,The triglyceride-glucose index is superior to homeostasis model assessment of insulin resistance in predicting metabolic syndrome in an adult population in the United States.,,1,1,Journal of clinical lipidology,,,,,,,,,,"Metabolic syndrome (MetS) is a cluster of cardio-metabolic features portending an increased risk for both type 2 diabetes mellitus (T2DM) and premature atherosclerotic cardiovascular disease (ASCVD). Homeostasis model assessment of insulin resistance (HOMA-IR) is a widely used surrogate measure of insulin resistance. The triglyceride-glucose (TyG) index is another validated measure of insulin resistance that predicts both diabetes and cardiovascular disease in low and medium-income countries, but only diabetes in high income countries. Due to the paucity of data on the TyG index in the US population, we compared the validity of the TyG index and HOMA-IR in predicting MetS. Data from the National Health and Nutrition Examination Survey (NHANES) between 2005 and 2018 on Non-Hispanic White (NHW), Hispanic American (HA), and African American (AA) individuals (n = 5380) aged 20-80 years were used for analysis. Individuals were classified as having MetS based on three or more of its components. HOMA-IR and the TyG index were determined from fasting samples. Both the TyG index and HOMA-IR were significantly increased in MetS and increased significantly with increasing severity of the syndrome. Also both indices correlated significantly with all 5 features of MetS, hsCRP and non-HDL-C. ROC-AUC analysis for TyG index was significantly greater than that of HOMA-IR in predicting MetS: 0.87 (95 % CI 0.85-0.88) versus 0.82 (95 % CI 0.81-0.83) respectively, p < 0.0001. This was not evident for the small AA subgroup. The TyG index outperformed HOMA-IR in predicting MetS, a proxy for both T2DM and ASCVD, in a general US population and is a valuable biomarker.","RAYYAN-INCLUSION: {""Alexander""=>""Included""}",10.1016/j.jacl.2024.04.130,,,
rayyan-437813842,Enhancing psychiatric rehabilitation outcomes through a multimodal multitask learning model based on BERT and TabNet: An approach for personalized treatment and improved decision-making.,,1,1,Psychiatry research,,,,,,,,,,"Evaluating the rehabilitation status of individuals with serious mental illnesses (SMI) necessitates a comprehensive analysis of multimodal data, including unstructured text records and structured diagnostic data. However, progress in the effective assessment of rehabilitation status remains limited. Our study develops a deep learning model integrating Bidirectional Encoder Representations from Transformers (BERT) and TabNet through a late fusion strategy to enhance rehabilitation prediction, including referral risk, dangerous behaviors, self-awareness, and medication adherence, in patients with SMI. BERT processes unstructured textual data, such as doctor's notes, whereas TabNet manages structured diagnostic information. The model's interpretability function serves to assist healthcare professionals in understanding the model's predictive decisions, improving patient care. Our model exhibited excellent predictive performance for all four tasks, with an accuracy exceeding 0.78 and an area under the curve of 0.70. In addition, a series of tests proved the model's robustness, fairness, and interpretability. This study combines multimodal and multitask learning strategies into a model and applies it to rehabilitation assessment tasks, offering a promising new tool that can be seamlessly integrated with the clinical workflow to support the provision of optimized patient care.","RAYYAN-INCLUSION: {""Alexander""=>""Included""}",10.1016/j.psychres.2024.115896,,,
rayyan-437813843,Application of deep learning on mammographies to discriminate between low and high-risk DCIS for patient participation in active surveillance trials.,,1,1,Cancer imaging : the official publication of the International Cancer Imaging Society,,,,,,,,,,"Ductal Carcinoma In Situ (DCIS) can progress to invasive breast cancer, but most DCIS lesions never will. Therefore, four clinical trials (COMET, LORIS, LORETTA, AND LORD) test whether active surveillance for women with low-risk Ductal carcinoma In Situ is safe (E. S. Hwang et al., BMJ Open, 9: e026797, 2019, A. Francis et al., Eur J Cancer. 51: 2296-2303, 2015, Chizuko Kanbayashi et al. The international collaboration of active surveillance trials for low-risk DCIS (LORIS, LORD, COMET, LORETTA),Â  L. E. Elshof et al., Eur J Cancer, 51, 1497-510, 2015). Low-risk is defined as grade I or II DCIS. Because DCIS grade is a major eligibility criteria in these trials, it would be very helpful to assess DCIS grade on mammography, informed by grade assessed on DCIS histopathology in pre-surgery biopsies, since surgery will not be performed on a significant number of patients participating in these trials. To assess the performance and clinical utility of a convolutional neural network (CNN) in discriminating high-risk (grade III) DCIS and/or Invasive Breast Cancer (IBC) from low-risk (grade I/II) DCIS based on mammographic features. We explored whether the CNN could be used as a decision support tool, from excluding high-risk patients for active surveillance. In this single centre retrospective study, 464 patients diagnosed with DCIS based on pre-surgery biopsy between 2000 and 2014 were included. The collection of mammography images was partitioned on a patient-level into two subsets, one for training containing 80% of cases (371 cases, 681 images) and 20% (93 cases, 173 images) for testing. A deep learning model based on the U-Net CNN was trained and validated on 681 two-dimensional mammograms. Classification performance was assessed with the Area Under the Curve (AUC) receiver operating characteristic and predictive values on the test set for predicting high risk DCIS-and high-risk DCIS and/ or IBC from low-risk DCIS. When classifying DCIS as high-risk, the deep learning network achieved a Positive Predictive Value (PPV) of 0.40, Negative Predictive Value (NPV) of 0.91 and an AUC of 0.72 on the test dataset. For distinguishing high-risk and/or upstaged DCIS (occult invasive breast cancer) from low-risk DCIS a PPV of 0.80, a NPV of 0.84 and an AUC of 0.76 were achieved. For both scenarios (DCIS grade I/II vs. III, DCIS grade I/II vs. III and/or IBC) AUCs were high, 0.72 and 0.76, respectively, concluding that our convolutional neural network can discriminate low-grade from high-grade DCIS.","RAYYAN-INCLUSION: {""Alexander""=>""Included""}",10.1186/s40644-024-00691-x,,,
rayyan-437813844,Association between the quantity of stroke care units and the complement of neurosurgical and neurology specialists in Japan: A retrospective study.,,1,1,Journal of stroke and cerebrovascular diseases : the official journal of National Stroke Association,,,,,,,,,,"Stroke care units provide advanced intensive care for unstable patients with acute stroke. We conducted a survey to clarify the differences in stroke care units between urban and regional cities and the relationship between the number of stroke care unit beds and neurologists. This retrospective observational study was conducted in 2,857 and 4,184 hospitals in urban and regional cities in 47 provinces of Japan, respectively, between January 2020 and August 2023. Tokyo and ordinance-designated cities in provinces were defined as urban cities, and those without such cities were defined as regional cities. The primary endpoint was the presence or absence of a stroke care unit. Multiple linear regression analysis revealed that the presence of stroke care units was significantly associated with the number of neurosurgical specialists. Receiver operating characteristic curve analysis was performed to predict the number of personnel required for stroke care unit installation based on the number of neurosurgical specialists. The area under the receiver operating characteristic curve, Youden index, sensitivity, and specificity were 0.721, 0.483, 0.783, and 0.700, respectively. Our study underscores the indispensability of SCUs in stroke treatment, advocating for a strategic allocation of medical resources, heightened accessibility to neurosurgical specialists, and a concerted effort to address geographic and resource imbalances. The identified cutoff value of 8.99 neurosurgical specialists per 100,000 population serves as a practical benchmark for optimizing SCU establishment, thereby potentially mitigating stroke-related mortality.","RAYYAN-INCLUSION: {""Alexander""=>""Included""}",10.1016/j.jstrokecerebrovasdis.2024.107734,,,
rayyan-437813845,"A novel nomogram for the prediction of subsyndromal delirium in patients in intensive care units: A prospective, nested case-controlled study.",,1,1,International journal of nursing studies,,,,,,,,,,"Subsyndromal delirium is a dynamic, recognizable condition commonly observed in intensive care unit (ICU) patients that can lead to poor patient prognosis, and its prompt recognition and management can prevent disease progression. However, no evidence-based predictive tool has been developed specifically to assess the occurrence of subsyndromal delirium in the ICU. To develop and validate a novel, simple and effective tool for estimating the risk of subsyndromal delirium among ICU patients. A prospective, nested case-controlled study. A total of 731 patients were recruited from the central ICU of a tertiary hospital in southwestern China from August 2021 to November 2022. The least absolute shrinkage and selection operator was applied to screen potential features for univariate and multivariate logistic regression. A nomogram was constructed using the selected variables. The performance of the nomogram was evaluated by combining the area under the receiver operating characteristic curve (AUC), calibration curves and decision curve analysis (DCA). The prevalence of subsyndromal delirium among ICU patients was 23.06â€¯%. Multiple logistic regression analysis revealed that the independent predictive factors for subsyndromal delirium among ICU patients were vision impairment, a history of falls, the use of restraint, blood transfusion, the use of antibiotics, surgery, the Caprini score, and the Braden score, all of which were used to construct the nomogram. The AUCs for the model were 0.710 (95â€¯% CI, 0.654-0.766, Pâ€¯<â€¯0.001) and 0.825 (95â€¯% CI, 0.732-0.917, Pâ€¯<â€¯0.001) in the training and validation cohorts, respectively, indicating that the model had high accuracy in distinguishing patients with and without subsyndromal delirium. The calibration curve of the nomogram showed good consistency between the predicted and actual probabilities. The DCA indicated that the nomogram has clinical application for patients in the ICU. We developed an easy-to-use nomogram for identifying subsyndromal delirium in ICU patients with satisfactory predictive ability based on simple and easily accessible clinical features. The nomogram can identify ICU patients at high-risk for subsyndromal delirium and may be a useful subsyndromal delirium tool for current ICU physicians.","RAYYAN-INCLUSION: {""Alexander""=>""Included""}",10.1016/j.ijnurstu.2024.104767,,,
rayyan-437813846,Comparison of different nutritional screening tools in nutritional screening of patients with cirrhosis: A cross-sectional observational study.,,1,1,Heliyon,,,,,,,,,,"The Royal Free Hospital Nutritional Prioritizing Tool (RFH-NPT), the Liver Disease Undernutrition Screening Tool (LDUST) and Nutritional Risk Screening 2002 (NRS2002) were used by nurses to screen, compare, and analyze the nutritional status of patients with liver cirrhosis. The application value of different screening tools was summarized in the nutritional screening of patients with liver cirrhosis. In this study, LDUST, RFH-NPT, and NRS2002 were used by nurses to screen the nutritional status of hospitalized patients with liver cirrhosis within 24-48Â h after admission. The study calculated validity indicators such as sensitivity, specificity, the area under the receiver operating curve (AUC), and reliability indicators such as the Kappa coefficient. The efficacy of these screening tools in the nutritional screening of patients with liver cirrhosis was compared. Among the 207 patients, LDUST and NRS2002 identified 72.9Â % and 23.7Â % as undernourished, respectively. The sensitivity of LDUST and NRS2002 were 92.1Â % and 30.0Â %, respectively. The Kappa value of LDUST and RFH-NPT was 0.620, and the Kappa value of LDUST compared with NRS2002 was 0.144. This study shows that the Liver Disease Undernutrition Screening Tool, a special screening tool for patients with liver cirrhosis, has a more reliable screening effect and higher sensitivity than NRS2002. The Liver Disease Undernutrition Screening Tool is recommended for nutritional screening in patients with liver cirrhosis.","RAYYAN-INCLUSION: {""Alexander""=>""Included""}",10.1016/j.heliyon.2024.e30339,,,
rayyan-437813847,Development and validation of a prediction model for postoperative pneumonia in patients who received spinal surgery: A retrospective study.,,1,1,Heliyon,,,,,,,,,,"To develop and validate a risk prediction model by identifying the preoperative factors associated with an increased risk of pneumonia after spinal surgery. This study included patients with spinal disease from two hospitals between January 2021 and June 2023. The patients were divided into the training and validation sets, which were categorized as postoperative pneumonia (POP) or non-POP, respectively. This study identified the independent risk variables for POP using a multivariate logistic regression analysis. A nomogram prediction model was developed and validated using risk factors, receiver operating characteristic (ROC) curves, calibration curves, and decision curve analysis (DCA) to assess predictive performance. Following exclusion, 2223 patients from Changzheng Hospital were enrolled in the training set and 357 patients from the No. 905 Hospital of PLA Navy were enrolled in the validation set. Univariate and multivariate logistic regression analyses revealed that operation time, American Society of Anesthesiologists (ASA) grade, smoking, non-wearing of medical masks, lack of preoperative respiratory training, chronic obstructive pulmonary disease (COPD), underlying diseases, and spinal section were risk factors for POP development in patients with spinal diseases. The area under the ROC curve of the training set was 0.950, whereas that of the validation set was 0.879. The model calibration curves demonstrated good agreement, and the DCA indicated a high expected net benefit value. The POP risk prediction model has high accuracy and efficiency in predicting POP in patients with spinal diseases. POP development is influenced by factors such as operation length, ASA grade, smoking, non-wearing of medical masks, lack of preoperative respiratory training, COPD, underlying diseases, and lumbar surgery.","RAYYAN-INCLUSION: {""Alexander""=>""Included""}",10.1016/j.heliyon.2024.e29845,,,
rayyan-437813848,Reassessing the minimum 2-year follow-up standard after lumbar decompression surgery: a 2-month follow-up seems to be an acceptable minimum.,,1,1,The spine journal : official journal of the North American Spine Society,,,,,,,,,,"Academic orthopedic journals and specialty societies emphasize the importance of two-year follow-up for patient-reported outcome measures (PROMS) after spine surgery, but there are limited data evaluating the appropriate length of follow-up. To determine whether PROMs, as measured by the Oswestry Disability Index (ODI), would change significantly after 2-months postoperatively after lumbar decompression surgery for disc herniation or spinal stenosis. Retrospective analysis of prospectively and consecutively enrolled patients undergoing lumbar decompression surgery between 2020 and 2021 from a single surgeon spine registry. One hundred sixty-nine patients. ODI, achievement of minimum clinically important difference (MCID), revisions. Patients without a preoperative baseline score were excluded. Completion of the ODI questionnaire was assessed at the follow-up points. The median ODI was compared at time baseline, 2-month, 1-year and 2-year follow-up. Risk of reoperation was assessed with receiver operating characteristic (ROC) analysis to identify at-risk ODI thresholds of requiring reoperation. Median ODI significantly improved at all time points compared to baseline (median baseline ODI: 40; 2-month ODI: 16, p=.001; 1-year ODI: 11.1, p=.001; 2-year ODI: 8, p=.001). Posthoc analysis demonstrated no difference between 2-months, 1-year and 2-year postoperative ODI (p=.9, p=.468, p=.606). The MCID was met in 87.9% of patients at 2 months, 80.7% at 1 year, and 87.3% at 2 years postoperatively. Twelve patients (7.7%) underwent revision surgery between 2 months and 2 years after the index surgery (median time to revision: 5.6 months). ROC curve analysis demonstrated that an ODI score â‰¥24 points at 2-months yielded a sensitivity of 85.7% and a specificity of 71.8% for predicting revision after lumbar decompression (AUC=0.758; 95% CI: 0.613-0.903). The Youden optimal threshold value of â‰¥24 points at 2-month postop ODI yielded an odd ratio (OR) for revision of 15.3 (CI: 1.8-131.8; p=.004). The positive predictive value (PPV) and negative predictive value (NPV) were 15.4% and 98.8%, respectively. Two-year clinical follow-up may not be necessary for future peer-reviewed lumbar decompression surgery studies given that ODI plateaus at 8 weeks. Patients with a score â‰¥24 points at 2-months postoperatively have a higher risk of requiring a second surgery within the first 2 years and warrant continued follow-up.","RAYYAN-INCLUSION: {""Alexander""=>""Included""}",10.1016/j.spinee.2024.03.018,,,
rayyan-437813849,Neutrophil to albumin ratio: a biomarker in non-alcoholic fatty liver disease and with liver fibrosis.,,1,1,Frontiers in nutrition,,,,,,,,,,"Given the high prevalence of non-alcoholic fatty liver disease (NAFLD) and its potential to progress to liver fibrosis, it is crucial to identify the presence of NAFLD in patients to guide their subsequent management. However, the current availability of non-invasive biomarkers for NAFLD remains limited. Therefore, further investigation is needed to identify and develop non-invasive biomarkers for NAFLD. A retrospective analysis was conducted on 11,883 patients admitted to the Healthcare Center, Union Hospital, Tongji Medical College, Huazhong University of Science and Technology, from January 2016 to December 2019 and divided into NAFLD and non-NAFLD groups. Anthropometric and laboratory examination data were collected. The correlations between variables and NAFLD were evaluated using the student's t-test or Mann-Whitney U test and binary logistic regression analysis. The predictive ability of these variables for NAFLD was assessed using the areas under the curves (AUCs) of receiver operating characteristics. Among the included patients, 3,872 (32.58%) were diagnosed with NAFLD, with 386 (9.97%) individuals having liver fibrosis. Patients with NAFLD exhibited a higher proportion of males, elevated body mass index (BMI), and increased likelihood of hypertension, diabetes mellitus, and atherosclerosis. Logistic regression analysis identified the neutrophil to albumin ratio (NAR) as the most promising novel inflammation biomarkers, with the highest AUC value of 0.701, a cut-off value of 0.797, sensitivity of 69.40%, and specificity of 66.00% in identifying the risk of NAFLD. Moreover, NAR demonstrated superior predictive value in identifying NAFLD patients at risk of liver fibrosis, with an AUC value of 0.795, sensitivity of 71.30%, and specificity of 73.60% when NAR reached 1.285. These findings highlight that the novel inflammatory biomarker, NAR, is a convenient and easily accessible non-invasive predictor for NAFLD and NAFLD with liver fibrosis.","RAYYAN-INCLUSION: {""Alexander""=>""Included""}",10.3389/fnut.2024.1368459,,,
rayyan-437813850,Optimizing breast cancer diagnosis with photoacoustic imaging: An analysis of intratumoral and peritumoral radiomics.,,1,1,Photoacoustics,,,,,,,,,,"The differentiation between benign and malignant breast tumors extends beyond morphological structures to encompass functional alterations within the nodules. The combination of photoacoustic (PA) imaging and radiomics unveils functional insights and intricate details that are imperceptible to the naked eye. This study aims to assess the efficacy of PA imaging in breast cancer radiomics, focusing on the impact of peritumoral region size on radiomic model accuracy. From January 2022 to November 2023, data were collected from 358 patients with breast nodules, diagnosed via PA/US examination and classified as BI-RADS 3-5. The study used the largest lesion dimension in PA images to define the region of interest, expanded by 2â€¯mm, 5â€¯mm, and 8â€¯mm, for extracting radiomic features. Techniques from statistics and machine learning were applied for feature selection, and logistic regression classifiers were used to build radiomic models. These models integrated both intratumoral and peritumoral data, with logistic regressions identifying key predictive features. The developed nomogram, combining 5â€¯mm peritumoral data with intratumoral and clinical features, showed superior diagnostic performance, achieving an AUC of 0.950 in the training cohort and 0.899 in validation. This model outperformed those based solely on clinical features or other radiomic methods, with the 5â€¯mm peritumoral region proving most effective in identifying malignant nodules. This research demonstrates the significant potential of PA imaging in breast cancer radiomics, especially the advantage of integrating 5â€¯mm peritumoral with intratumoral features. This approach not only surpasses models based on clinical data but also underscores the importance of comprehensive radiomic analysis in accurately characterizing breast nodules.",,10.1016/j.pacs.2024.100606,,,
rayyan-437813851,A Hybrid Model for Fetal Growth Restriction Assessment by Automatic Placental Radiomics on T2-Weighted MRI and Multifeature Fusion.,,1,1,Journal of magnetic resonance imaging : JMRI,,,,,,,,,,"MRI-based placental analyses have been used to improve fetal growth restriction (FGR) assessment by complementing ultrasound-based measurements. However, these are still limited by time-consuming manual annotation in MRI data and the lack of mother-based information. To develop and validate a hybrid model for accurate FGR assessment by automatic placental radiomics on T2-weighted imaging (T2WI) and multifeature fusion. Retrospective. 274 pregnant women (29.5â€‰ Â± â€‰4.0â€‰years) from two centers were included and randomly divided into training (Nâ€‰=â€‰119), internal test (Nâ€‰=â€‰40), time-independent validation (Nâ€‰=â€‰43), and external validation (Nâ€‰=â€‰72) sets. 1.5-T, T2WI half-Fourier acquisition single-shot turbo spin-echo pulse sequence. First, the placentas on T2WI were manually annotated, and a deep learning model was developed to automatically segment the placentas. Then, the radiomic features were extracted from the placentas and selected by three-step feature selection. In addition, fetus-based measurement features and mother-based clinical features were obtained from ultrasound examinations and medical records, respectively. Finally, a hybrid model based on random forest was constructed by fusing these features, and further compared with models based on other machine learning methods and different feature combinations. The performances of placenta segmentation and FGR assessment were evaluated by Dice similarity coefficient (DSC) and the area under the receiver operating characteristic curve (AUROC), respectively. A P-value <0.05 was considered statistically significant. The placentas were automatically segmented with an average DSC of 90.0%. The hybrid model achieved an AUROC of 0.923, 0.931, and 0.880 on the internal test, time-independent validation, and external validation sets, respectively. The mother-based clinical features resulted in significant performance improvements for FGR assessment. The proposed hybrid model may be able to assess FGR with high accuracy. Furthermore, information complementation based on placental, fetal, and maternal features could also lead to better FGR assessment performance. Stage 2.",,10.1002/jmri.29399,,,
rayyan-437813852,Prediction of breast cancer and axillary positive-node response to neoadjuvant chemotherapy based on multi-parametric magnetic resonance imaging radiomics models.,,1,1,"Breast (Edinburgh, Scotland)",,,,,,,,,,"Accurate identification of primary breast cancer and axillary positive-node response to neoadjuvant chemotherapy (NAC) is important for determining appropriate surgery strategies. We aimed to develop combining models based on breast multi-parametric magnetic resonance imaging and clinicopathologic characteristics for predicting therapeutic response of primary tumor and axillary positive-node prior to treatment. A total of 268 breast cancer patients who completed NAC and underwent surgery were enrolled. Radiomics features and clinicopathologic characteristics were analyzed through the analysis of variance and the least absolute shrinkage and selection operator algorithm. Finally, 24 and 28 optimal features were selected to construct machine learning models based on 6 algorithms for predicting each clinical outcome, respectively. The diagnostic performances of models were evaluated in the testing set by the area under the curve (AUC), sensitivity, specificity, and accuracy. Of the 268 patients, 94 (35.1Â %) achieved breast cancer pathological complete response (bpCR) and of the 240 patients with clinical positive-node, 120 (50.0Â %) achieved axillary lymph node pathological complete response (apCR). The multi-layer perception (MLP) algorithm yielded the best diagnostic performances in predicting apCR with an AUC of 0.825 (95Â % CI, 0.764-0.886) and an accuracy of 77.1Â %. And MLP also outperformed other models in predicting bpCR with an AUC of 0.852 (95Â % CI, 0.798-0.906) and an accuracy of 81.3Â %. Our study established non-invasive combining models to predict the therapeutic response of primary breast cancer and axillary positive-node prior to NAC, which may help to modify preoperative treatment and determine post-NAC surgery strategy.",,10.1016/j.breast.2024.103737,,,
rayyan-437813853,Pre-treatment risk predictors of valproic acid-induced dyslipidemia in pediatric patients with epilepsy.,,1,1,Frontiers in pharmacology,,,,,,,,,,"Background: Valproic acid (VPA) stands as one of the most frequently prescribed medications in children with newly diagnosed epilepsy. Despite its infrequent adverse effects within therapeutic range, prolonged VPA usage may result in metabolic disturbances including insulin resistance and dyslipidemia. These metabolic dysregulations in childhood are notably linked to heightened cardiovascular risk in adulthood. Therefore, identification and effective management of dyslipidemia in children hold paramount significance. Methods: In this retrospective cohort study, we explored the potential associations between physiological factors, medication situation, biochemical parameters before the first dose of VPA (baseline) and VPA-induced dyslipidemia (VID) in pediatric patients. Binary logistic regression was utilized to construct a predictive model for blood lipid disorders, aiming to identify independent pre-treatment risk factors. Additionally, The Receiver Operating Characteristic (ROC) curve was used to evaluate the performance of the model. Results: Through binary logistic regression analysis, we identified for the first time that direct bilirubin (DBIL) (odds ratios (OR) = 0.511, p = 0.01), duration of medication (OR = 0.357, p = 0.009), serum albumin (ALB) (OR = 0.913, p = 0.043), BMI (OR = 1.140, p = 0.045), and aspartate aminotransferase (AST) (OR = 1.038, p = 0.026) at baseline were independent risk factors for VID in pediatric patients with epilepsy. Notably, the predictive ability of DBIL (AUC = 0.690, p < 0.0001) surpassed that of other individual factors. Furthermore, when combined into a predictive model, incorporating all five risk factors, the predictive capacity significantly increased (AUC = 0.777, p < 0.0001), enabling the forecast of 77.7% of dyslipidemia events. Conclusion: DBIL emerges as the most potent predictor, and in conjunction with the other four factors, can effectively forecast VID in pediatric patients with epilepsy. This insight can guide the formulation of individualized strategies for the clinical administration of VPA in children.",,10.3389/fphar.2024.1349043,,,
rayyan-437813854,All you need is data preparation: A systematic review of image harmonization techniques in Multi-center/device studies for medical support systems.,,1,1,Computer methods and programs in biomedicine,,,,,,,,,,"Artificial intelligence (AI) models trained on multi-centric and multi-device studies can provide more robust insights and research findings compared to single-center studies. However, variability in acquisition protocols and equipment can introduce inconsistencies that hamper the effective pooling of multi-source datasets. This systematic review evaluates strategies for image harmonization, which standardizes appearances to enable reliable AI analysis of multi-source medical imaging. A literature search using PRISMA guidelines was conducted to identify relevant papers published between 2013 and 2023 analyzing multi-centric and multi-device medical imaging studies that utilized image harmonization approaches. Common image harmonization techniques included grayscale normalization (improving classification accuracy by up to 24.42 %), resampling (increasing the percentage of robust radiomics features from 59.5 % to 89.25 %), and color normalization (enhancing AUC by up to 0.25 in external test sets). Initially, mathematical and statistical methods dominated, but machine and deep learning adoption has risen recently. Color imaging modalities like digital pathology and dermatology have remained prominent application areas, though harmonization efforts have expanded to diverse fields including radiology, nuclear medicine, and ultrasound imaging. In all the modalities covered by this review, image harmonization improved AI performance, with increasing of up to 24.42 % in classification accuracy and 47 % in segmentation Dice scores. Continued progress in image harmonization represents a promising strategy for advancing healthcare by enabling large-scale, reliable analysis of integrated multi-source datasets using AI. Standardizing imaging data across clinical settings can help realize personalized, evidence-based care supported by data-driven technologies while mitigating biases associated with specific populations or acquisition protocols.",,10.1016/j.cmpb.2024.108200,,,
rayyan-437813855,Correlation of extent of left ventricular endocardial unipolar low-voltage zones with ventricular tachycardia in nonischemic cardiomyopathy.,,1,1,Heart rhythm,,,,,,,,,,"Endocardial electrogram (EGM) characteristics in nonischemic cardiomyopathy (NICM) have not been explored adequately for prognostication. We aimed to study correlation of bipolar and unipolar EGM characteristics with left ventricular ejection fraction (LVEF) and ventricular tachycardia (VT) in NICM. Electroanatomic mapping of the left ventricle was performed. EGM characteristics were correlated with LVEF. Differences between groups with and without VT and predictors of VT were studied. In 43 patients, unipolar EGM variables had better correlation with baseline LVEF than bipolar EGM variables: unipolar voltage (r = +0.36), peak negative unipolar voltage (r = -0.42), peak positive unipolar voltage (r = +0.38), and percentage area of unipolar low-voltage zone (LVZ; r = -0.41). Global mean unipolar voltage (hazard ratio [HR], 0.4; 95% confidence interval [CI], 0.2-0.8), extent of unipolar LVZ (HR, 1.6; 95% CI, 1.1-2.3), and percentage area of unipolar LVZ (HR, 1.6; 95% CI, 1.1-2.3) were significant predictors of VT. For classification of patients with VT, extent of unipolar LVZ had an area under the curve of 0.82 (95% CI, 0.69-0.95; P < .001), and percentage area of unipolar LVZ had an area under the curve of 0.83 (95% CI, 0.71-0.96; P = .01). Cutoff of >3 segments for extent of unipolar LVZ had the best diagnostic accuracy (sensitivity, 90%; specificity, 67%) and cutoff of 33% for percentage area of unipolar LVZ had the best diagnostic accuracy (sensitivity, 95%; specificity, 60%) for VT. In NICM, extent and percentage area of unipolar LVZs are significant predictors of VT. Cutoffs of >3 segments of unipolar LVZ and >33% area of unipolar LVZ have good diagnostic accuracies for association with VT.",,10.1016/j.hrthm.2024.04.065,,,
rayyan-437813856,"Utility of Fasting C-Peptide for the Diagnostic Differentiation of Patients with Type 1, Type 2 Diabetes, MODY, and LADA.",,1,1,"Life (Basel, Switzerland)",,,,,,,,,,"The prevalence of obesity has increased in patients with type 1 diabetes (T1D) and latent autoimmune diabetes of the adult (LADA), limiting the use of clinical features such as the body mass index for its differentiation with type 2 diabetes (T2D). Additionally, some patients with maturity-onset diabetes of the young (MODY) or LADA are misdiagnosed as having T2D. The evaluation of autoantibodies and genetic testing are not fully available. We aimed to evaluate the utility of a widely available and less expensive diagnostic tool such as C-peptide to differentiate between T1D, T2D, MODY, and LADA. Our study included 38 patients with T1D, 49 with T2D, 13 with MODY, and 61 with LADA. We recorded anthropometric measurements, biochemical profiles, and antidiabetic treatment and determined C-peptide, anti-GAD65, and anti-IA2 antibodies. C-peptide concentration differed significantly among populations (T1D: 0.2 ng/mL; T2D: 2.4 ng/mL; MODY: 1.14 ng/mL; LADA: 1.87 ng/mL). Through a ROC curve, we observed that the C-peptide cut-off point of 0.95 ng/mL allows differentiation between T1D and T2D (sensitivity 82%, specificity 77%); 0.82 ng/mL between T1D and LADA (sensitivity 82%, specificity 77%); and 1.65 ng/mL between T2D and MODY (sensitivity 72%, specificity 72%). C-peptide is useful for the diagnostic differentiation of patients with type 1, type 2 diabetes, MODY, and LADA.",,10.3390/life14050550,,,
