"key","pmid","doi","pmc","title","abstract","epubdate","journal","affiliation"
63,"38608349","10.1016/j.cmpb.2024.108161",NA,"ProDiv: Prototype-driven consistent pseudo-bag division for whole-slide image classification.","Pathology image classification is one of the most essential auxiliary processes in cancer diagnosis. To overcome the problem of inadequate Whole-Slide Image (WSI) samples with weak labels, pseudo-bag-based multiple instance learning (MIL) methods have attracted wide attention in pathology image classification. In this type of method, the division scheme of pseudo-bags is usually a primary factor affecting classification performance. In order to improve the division of WSI pseudo-bags on existing random/clustering approaches, this paper proposes a new Prototype-driven Division (ProDiv) scheme for the pseudo-bag-based MIL classification framework on pathology images. This scheme first designs an attention-based method to generate a bag prototype for each slide. On this basis, it further groups WSI patch instances into a series of instance clusters according to the feature similarities between the prototype and patches. Finally, pseudo-bags are obtained by randomly combining the non-overlapping patch instances of different instance clusters. Moreover, the design scheme of our ProDiv considers practicality, and it could be smoothly assembled with almost all the MIL-based WSI classification methods in recent years. Empirical results show that our ProDiv, when integrated with several existing methods, can deliver classification AUC improvements of up to 7.3% and 10.3%, respectively on two public WSI datasets. ProDiv could almost always bring obvious performance improvements to compared MIL models on typical metrics, which suggests the effectiveness of our scheme. Experimental visualization also visually interprets the correctness of the proposed ProDiv.","20240408","Computer methods and programs in biomedicine","School of Computer Science and Engineering, University of Electronic Science and Technology of China, Chengdu 611731, PR China. Electronic address: yang19981125@126.com."
64,"38558200","10.1186/s13550-024-01100-x","PMC11372015","Automated extraction of the arterial input function from brain images for parametric PET studies.","Accurate measurement of the arterial input function (AIF) is crucial for parametric PET studies, but the AIF is commonly derived from invasive arterial blood sampling. It is possible to use an image-derived input function (IDIF) obtained by imaging a large blood pool, but IDIF measurement in PET brain studies performed on standard field of view scanners is challenging due to lack of a large blood pool in the field-of-view. Here we describe a novel automated approach to estimate the AIF from brain images. Total body 18F-FDG PET data from 12 subjects were split into a model adjustment group (n = 6) and a validation group (n = 6). We developed an AIF estimation framework using wavelet-based methods and unsupervised machine learning to distinguish arterial and venous activity curves, compared to the IDIF from the descending aorta. All of the automatically extracted AIFs in the validation group had similar shape to the IDIF derived from the descending aorta IDIF. The average area under the curve error and normalised root mean square error across validation data were - 1.59 ± 2.93% and 0.17 ± 0.07. Our automated AIF framework accurately estimates the AIF from brain images. It reduces operator-dependence, and could facilitate the clinical adoption of parametric PET.","20240401","EJNMMI research","Centre for Advanced Imaging, Australian Institute for Bioengineering and Nanotechnology, The University of Queensland, Brisbane, Australia."
65,"38557792","10.1097/SLA.0000000000006279","PMC11888841","Noninvasive Artificial Intelligence System for Early Predicting Residual Cancer Burden During Neoadjuvant Chemotherapy in Breast Cancer.","To develop an artificial intelligence (AI) system for the early prediction of residual cancer burden (RCB) scores during neoadjuvant chemotherapy (NAC) in breast cancer. RCB III indicates drug resistance in breast cancer, and early detection methods are lacking. This study enrolled 1048 patients with breast cancer from 4 institutions, who were all receiving NAC. Magnetic resonance images were collected at the pre-NAC and mid-NAC stages, and radiomics and deep learning features were extracted. A multitask AI system was developed to classify patients into 3 groups (RCB 0 to I, II, and III ) in the primary cohort (PC, n=335). Feature selection was conducted using the Mann-Whitney U test, Spearman analysis, least absolute shrinkage and selection operator regression, and the Boruta algorithm. Single-modality models were developed, followed by model integration. The AI system was validated in 3 external validation cohorts (EVCs, n=713). Among the patients, 442 (42.18%) were RCB 0 to I, 462 (44.08%) were RCB II, and 144 (13.74%) were RCB III. Model I achieved an area under the curve of 0.975 in the PC and 0.923 in the EVCs for differentiating RCB III from RCB 0 to II. Model II distinguished RCB 0 to I from RCB II-III, with an area under the curve of 0.976 in the PC and 0.910 in the EVCs. Subgroup analysis confirmed that the AI system was consistent across different clinical T stages and molecular subtypes. The multitask AI system offers a noninvasive tool for the early prediction of RCB scores in breast cancer, supporting clinical decision-making during NAC.","20240401","Annals of surgery","Department of Breast Cancer, The First People's Hospital of Foshan, Foshan, China."
66,"38683997","10.1073/pnas.2315168121","PMC11087790","Genetic and phenotypic profiling of single living circulating tumor cells from patients with microfluidics.","Accurate prediction of the efficacy of immunotherapy for cancer patients through the characterization of both genetic and phenotypic heterogeneity in individual patient cells holds great promise in informing targeted treatments, and ultimately in improving care pathways and clinical outcomes. Here, we describe the nanoplatform for interrogating living cell host-gene and (micro-)environment (NICHE) relationships, that integrates micro- and nanofluidics to enable highly efficient capture of circulating tumor cells (CTCs) from blood samples. The platform uses a unique nanopore-enhanced electrodelivery system that efficiently and rapidly integrates stable multichannel fluorescence probes into living CTCs for in situ quantification of target gene expression, while on-chip coculturing of CTCs with immune cells allows for the real-time correlative quantification of their phenotypic heterogeneities in response to immune checkpoint inhibitors (ICI). The NICHE microfluidic device provides a unique ability to perform both gene expression and phenotypic analysis on the same single cells in situ, allowing us to generate a predictive index for screening patients who could benefit from ICI. This index, which simultaneously integrates the heterogeneity of single cellular responses for both gene expression and phenotype, was validated by clinically tracing 80 non-small cell lung cancer patients, demonstrating significantly higher AUC (area under the curve) (0.906) than current clinical reference for immunotherapy prediction.","20240429","Proceedings of the National Academy of Sciences of the United States of America","Beijing Advanced Innovation Center for Biomedical Engineering, School of Biological Science and Medical Engineering, Beihang University, Beijing 100191, China."
67,"38637281","10.1080/0886022X.2024.2343818","PMC11028010","Prognostic value of neutrophil-to-lymphocyte ratio dynamics in patients with septic acute kidney injury: a cohort study.","Neutrophil-to-lymphocyte ratio (NLR) has been suggested to be a prognostic marker for various diseases, but whether NLR dynamics (ΔNLR) is related to mortality and disease severity in patients with septic acute kidney injury (AKI) has not been determined. Between August 2013 and August 2021, septic AKI patients at our center were retrospectively enrolled. ΔNLR was defined as the difference between the NLR at septic AKI diagnosis and at hospital admission. The relationship between the ΔNLR and mortality was evaluated by Kaplan-Meier curves, Cox proportional hazards, and cubic spline analyses. The prediction values were compared by area under the receiver-operating characteristic curve (AUROC), net reclassification improvement (NRI), and integrated discrimination improvement (IDI) analyses. Of the 413 participants, the mean age was 63 ± 17 years, and 134 were female (32.4%). According to the median value, patients in the high-ΔNLR group had significantly greater 90-d mortality (74.4% vs. 46.6%, p < 0.001). After adjustment for potential confounders, high ΔNLR remained an independent predictor of 90-d mortality (HR = 2.80; 95% CI = 1.74-4.49, p < 0.001). Furthermore, ΔNLR had the highest AUROC for 90-d mortality (0.685) among the various biomarkers and exhibited an improved NRI (0.314) and IDI (0.027) when incorporated with PCT and CRP. For secondary outcomes, patients with high ΔNLR had increased risk of 30-d mortality (p = 0.004), need for renal replacement therapy (p = 0.011), and developing stage-3 AKI (p = 0.040) according to the adjusted models. High ΔNLR is independently associated with increased risk of patient mortality and adverse outcomes. ΔNLR might be utilized to facilitate risk stratification and optimize septic AKI management.","20240418","Renal failure","Division of Nephrology, West China Hospital, Sichuan University, Chengdu, PR China."
68,"38485270","10.2967/jnumed.123.266965","PMC10995528","An 18F-FDG PET/CT and Mean Lung Dose Model to Predict Early Radiation Pneumonitis in Stage III Non-Small Cell Lung Cancer Patients Treated with Chemoradiation and Immunotherapy.","Radiation pneumonitis (RP) that develops early (i.e., within 3 mo) (RPEarly) after completion of concurrent chemoradiation (cCRT) leads to treatment discontinuation and poorer survival for patients with stage III non-small cell lung cancer. Since no RPEarly risk model exists, we explored whether published RP models and pretreatment 18F-FDG PET/CT-derived features predict RPEarly Methods: One hundred sixty patients with stage III non-small cell lung cancer treated with cCRT and consolidative immunotherapy were analyzed for RPEarly Three published RP models that included the mean lung dose (MLD) and patient characteristics were examined. Pretreatment 18F-FDG PET/CT normal-lung SUV featured included the following: 10th percentile of SUV (SUVP10), 90th percentile of SUV (SUVP90), SUVmax, SUVmean, minimum SUV, and SD. Associations between models/features and RPEarly were assessed using area under the receiver-operating characteristic curve (AUC), P values, and the Hosmer-Lemeshow test (pHL). The cohort was randomly split, with similar RPEarly rates, into a 70%/30% derivation/internal validation subset. Results: Twenty (13%) patients developed RPEarly Predictors for RPEarly were MLD alone (AUC, 0.72; P = 0.02; pHL, 0.87), SUVP10, SUVP90, and SUVmean (AUC, 0.70-0.74; P = 0.003-0.006; pHL, 0.67-0.70). The combined MLD and SUVP90 model generalized in the validation subset and was deemed the final RPEarly model (RPEarly risk = 1/[1+e(- x )]; x = -6.08 + [0.17 × MLD] + [1.63 × SUVP90]). The final model refitted in the 160 patients indicated improvement over the published MLD-alone model (AUC, 0.77 vs. 0.72; P = 0.0001 vs. 0.02; pHL, 0.65 vs. 0.87). Conclusion: Patients at risk for RPEarly can be detected with high certainty by combining the normal lung's MLD and pretreatment 18F-FDG PET/CT SUVP90 This refined model can be used to identify patients at an elevated risk for premature immunotherapy discontinuation due to RPEarly and could allow for interventions to improve treatment outcomes.","20240401","Journal of nuclear medicine : official publication, Society of Nuclear Medicine","Department of Medical Physics, Memorial Sloan Kettering Cancer Center, New York, New York; thorm@mskcc.org."
69,"38595094","10.1088/1361-6560/ad37ec",NA,"Dual-space disentangled-multimodal network (DDM-net) for glioma diagnosis and prognosis with incomplete pathology and genomic data.","Objective. Effective fusion of histology slides and molecular profiles from genomic data has shown great potential in the diagnosis and prognosis of gliomas. However, it remains challenging to explicitly utilize the consistent-complementary information among different modalities and create comprehensive representations of patients. Additionally, existing researches mainly focus on complete multi-modality data and usually fail to construct robust models for incomplete samples.Approach. In this paper, we propose adual-space disentangled-multimodal network (DDM-net)for glioma diagnosis and prognosis. DDM-net disentangles the latent features generated by two separate variational autoencoders (VAEs) into common and specific components through a dual-space disentangled approach, facilitating the construction of comprehensive representations of patients. More importantly, DDM-net imputes the unavailable modality in the latent feature space, making it robust to incomplete samples.Main results. We evaluated our approach on the TCGA-GBMLGG dataset for glioma grading and survival analysis tasks. Experimental results demonstrate that the proposed method achieves superior performance compared to state-of-the-art methods, with a competitive AUC of 0.952 and a C-index of 0.768.Significance. The proposed model may help the clinical understanding of gliomas and can serve as an effective fusion model with multimodal data. Additionally, it is capable of handling incomplete samples, making it less constrained by clinical limitations.","20240410","Physics in medicine and biology","School of Biomedical Engineering, Shanghai Jiao Tong University, Shanghai 200240, People's Republic of China."
70,"38960742","10.14366/usg.24045","PMC11222132","Arterial stiffness in subclinical atherosclerosis quantified with ultrafast pulse wave velocity measurements: a comparison with a healthy population using propensity score matching.","This study aimed to evaluate changes in ultrafast pulse wave velocity (ufPWV) in individuals with arterial stiffness and subclinical atherosclerosis (subAS), and to provide cutoff values. This retrospective study recruited 231 participants, including 67 patients with subAS. The pulse wave velocity was measured at the beginning and end of systole (PWV-BS and PWVES, respectively) using ultrafast ultrasonography to assess arterial stiffness. The right and left common carotid arteries were measured separately, and laboratory metabolic parameters were also collected. Participants were balanced between groups using propensity score matching (PSM) at a 1:1 ratio, adjusting for age, sex, and waist-to-hip ratio as potential confounders. Cutoff values of ufPWV for monitoring subAS were determined via receiver operating characteristic (ROC) curve analysis. PWV-ES, unlike PWV-BS, was higher in the subAS subgroup than in the subAS-free group after PSM (all P&lt;0.05). For each 1 m/s increase in left, right, and bilateral mean PWV-ES, the risk of subAS increased by 23% (95% confidence interval [CI], 1.04 to 1.46), 26% (95% CI, 1.07 to 1.52), and 38% (95% CI, 1.12 to 1.72), respectively. According to ROC analyses, predictive potential was found for left PWV-ES (cutoff value=7.910 m/s, P=0.002), right PWV-ES (cutoff value=6.615 m/s, P=0.003), and bilateral mean PWV-ES (cutoff value=7.415 m/s, P&lt;0.001), but not for PWV-BS (all P&gt;0.05). PWV-ES measured using ultrafast ultrasonography was significantly higher in individuals with subAS than in those without. Specific PWV-ES cutoff values showed potential for predicting an increased risk of subAS.","20240424","Ultrasonography (Seoul, Korea)","Department of Ultrasound, Jiangsu Province Official Hospital, Nanjing, China."
71,"38626899","10.1055/s-0044-1786029",NA,"The Role of Clot Waveform Analysis and Related Parameters in the Diagnosis and Treatment of Hemophilia A."," Hemophilia A (HA) is an inherited bleeding disorder caused by a deficiency or defect in factor VIII (FVIII).  We investigated the role of clot waveform analysis (CWA) of activated partial thromboplastin time in the diagnosis and therapeutic monitoring of HA. The changes in CWA parameters the maximum clotting velocity (|Min1|), maximum clotting acceleration (|Min2|), and maximum clotting deceleration (|Max2|) were detected among mild, moderate, and severe HA groups.  As the severity of HA subtypes increased, the levels of |Min1|, |Min2|, and |Max2| progressively decreased (p < 0.05). Receiver operating characteristic curve analysis showed that |Max2| and |Min2| were more effective than |Min1| in distinguishing different types of HA patients, with higher diagnostic efficacy. The standard curves based on Actin FSL reagent for normal and low levels of FVIII:C-|Max2| were established, with R2 values of 0.98 and 0.99, respectively. These curves can be utilized for monitoring during replacement therapies involving full-length recombinant FVIII and B-domain-deleted FVIII. Thirty cases of HA patients utilized the FVIII-|Max2| standard curve to obtain individual pharmacokinetics characteristic parameters. The clearance, half-life (t1/2), time to FVIII:C of 1% above baseline (tt1%), and predicted dosage showed no statistically significant differences compared with one-stage assay (p > 0.05).  CWA is an economical and practical tool, and its related parameters are associated with the severity of HA. It has promising clinical prospects in predicting FVIII:C levels and individualized treatment when HA patients undergo replacement therapy.","20240416","Thrombosis and haemostasis","Department of Laboratory Medicine, The Affiliated Drum Tower Hospital, Medical School of Nanjing University, Nanjing, China."
72,"38580905","10.1186/s12014-024-09466-9","PMC10998414","The relationship between serum astroglial and neuronal markers and AQP4 and MOG autoantibodies.","Certain demyelinating disorders, such as neuromyelitis optica spectrum disorder (NMOSD) and myelin oligodendrocyte glycoprotein antibody-associated disease (MOGAD) exhibit serum autoantibodies against aquaporin-4 (αAQP4) and myelin oligodendrocyte glycoprotein (αMOG). The variability of the autoantibody presentation warrants further research into subtyping each case. To elucidate the relationship between astroglial and neuronal protein concentrations in the peripheral circulation with occurrence of these autoantibodies, 86 serum samples were analyzed using immunoassays. The protein concentration of glial fibrillary acidic protein (GFAP), neurofilament light chain (NFL) and tau protein was measured in 3 groups of subcategories of suspected NMOSD: αAQP4 positive (n = 20), αMOG positive (n = 32) and αMOG/αAQP4 seronegative (n = 34). Kruskal-Wallis analysis, univariate predictor analysis, and multivariate logistic regression with ROC curves were performed. GFAP and NFL concentrations were significantly elevated in the αAQP4 positive group (p = 0.003; p = 0.042, respectively), and tau was elevated in the αMOG/αAQP4 seronegative group (p < 0.001). A logistic regression model to classify serostatus was able to separate αAQP4 seropositivity using GFAP + tau, and αMOG seropositivity using tau. The areas under the ROC curves (AUCs) were 0.77 and 0.72, respectively. Finally, a combined seropositivity versus negative status logistic regression model was generated, with AUC = 0.80. The 3 markers can univariately and multivariately classify with moderate accuracy the samples with seropositivity and seronegativity for αAQP4 and αMOG.","20240405","Clinical proteomics","Department of Laboratory and Medicine Pathobiology, University of Toronto, 60 Murray St. Box 32, Floor 6, Rm L6-201, Toronto, ON, M5T 3L9, Canada."
73,"38560817","10.1212/WNL.0000000000209216","PMC11175645","Prognostic Value of Complete Resection of the High-Frequency Oscillation Area in Intracranial EEG: A Systematic Review and Meta-Analysis.","High-frequency oscillations (HFOs; ripples 80-250 Hz; fast ripples [FRs] 250-500 Hz) recorded with intracranial electrodes generated excitement and debate about their potential to localize epileptogenic foci. We performed a systematic review and meta-analysis on the prognostic value of complete resection of the HFOs-area (crHFOs-area) for epilepsy surgical outcome in intracranial EEG (iEEG) accessing multiple subgroups. We searched PubMed, Embase, and Web of Science for original research from inception to October 27, 2022. We defined favorable surgical outcome (FSO) as Engel class I, International League Against Epilepsy class 1, or seizure-free status. The prognostic value of crHFOs-area for FSO was assessed by (1) the pooled FSO proportion after crHFOs-area; (2) FSO for crHFOs-area vs without crHFOs-area; and (3) the predictive performance. We defined high combined prognostic value as FSO proportion >80% + FSO crHFOs-area >without crHFOs-area + area under the curve (AUC) >0.75 and examined this for the clinical subgroups (study design, age, diagnostic type, HFOs-identification method, HFOs-rate thresholding, and iEEG state). Temporal lobe epilepsy (TLE) was compared with extra-TLE through dichotomous variable analysis. Individual patient analysis was performed for sex, affected hemisphere, MRI findings, surgery location, and pathology. Of 1,387 studies screened, 31 studies (703 patients) met our eligibility criteria. Twenty-seven studies (602 patients) analyzed FRs and 20 studies (424 patients) ripples. Pooled FSO proportion after crHFOs-area was 81% (95% CI 76%-86%) for FRs and 82% (73%-89%) for ripples. Patients with crHFOs-area achieved more often FSO than those without crHFOs-area (FRs odds ratio [OR] 6.38, 4.03-10.09, p < 0.001; ripples 4.04, 2.32-7.04, p < 0.001). The pooled AUCs were 0.81 (0.77-0.84) for FRs and 0.76 (0.72-0.79) for ripples. Combined prognostic value was high in 10 subgroups: retrospective, children, long-term iEEG, threshold (FRs and ripples) and automated detection and interictal (FRs). FSO after complete resection of FRs-area (crFRs-area) was achieved less often in people with TLE than extra-TLE (OR 0.37, 0.15-0.89, p = 0.006). Individual patient analyses showed that crFRs-area was seen more in patients with FSO with than without MRI lesions (p = 0.02 after multiple correction). Complete resection of the brain area with HFOs is associated with good postsurgical outcome. Its prognostic value holds, especially for FRs, for various subgroups. The use of HFOs for extra-TLE patients requires further evidence.","20240401","Neurology","From the Department of Neurology and Neurosurgery (Z.W., J.G., M.v.t.K., S.H., M.Z.), University Medical Center Utrecht Brain Center, University Medical Center Utrecht, Part of ERN EpiCARE, the Netherlands; Department of Pediatrics (J.J.), University of Calgary, Alberta Children's Hospital, Calgary, Canada; and Stichting Epilepsie Instellingen Nederland (SEIN) (M.Z.), Heemstede, the Netherlands."
74,"38681624","10.1016/j.heliyon.2024.e29763","PMC11053216","The dynamic changes of peripheral blood cell counts predict the clinical outcomes of aneurysmal subarachnoid hemorrhage.","Aneurysmal subarachnoid hemorrhage (aSAH) is a serious type of hemorrhagic stroke. It is very important to predict the prognosis at early phase. In this work, we intend to characterize early changes in peripheral blood cells after aSAH and explore the association between peripheral blood cells and clinical outcomes after aSAH. aSAH patients admitted between December 2019 and September 2022 were enrolled. A retrospective observational study was performed. Total leukocytes, monocytes, neutrophils, erythrocytes, lymphocytes and platelets counts were recorded on the day of admission (day 1), day 3, day 5 and day 7. Statistical tests included Chi-square test, analysis of variance and multivariate logistic regression (MLR) models. 197 patients were analyzed. Leukocytes and neutrophils were higher in poor outcome groups from day 1 to day 7 and in delayed cerebral ischemia (DCI) groups from day 3 to day 7. Lymphocytes were higher at day 5 and day 7 in good outcome groups and no DCI groups. Neutrophil-to-lymphocyte ratio (NLR) was lower from day 3 to day 7 in good outcome groups and no DCI groups. Erythrocytes were higher from day 3 to day 7 in good outcome groups and no DCI groups. Lymphocytes were negatively related to poor outcomes on day 1 (OR = 0.457), indicating higher lymphocytes predicted good outcomes, Neutrophils were positively related to poor outcomes on day 3 (OR = 3.003) indicating higher neutrophils predicted poor outcomes. Lymphocytes were negatively related to DCI on day 5 (OR = 0.388) indicating higher lymphocytes predicted no DCI, Erythrocytes were negatively related to DCI on day 5 (OR = 0.335) and day 7 (OR = 0.204) indicating higher erythrocytes predicted no DCI. The improved ability of neutrophils, lymphocytes and erythrocytes to predict DCI or poor functional outcomes were revealed by ROC curve analysis. The dynamic changes of peripheral blood cell counts were related to poor functional outcomes and DCI after aSAH. Elevated neutrophils, leukocytes, NLR, and decreased lymphocytes, erythrocytes were accompanied by DCI and poor outcome. Neutrophils, lymphocytes and erythrocytes counts could be beneficial to predict DCI and outcomes after aSAH.","20240416","Heliyon","Department of Neurology, The First People's Hospital of Jing Zhou, The First Afﬁliated Hospital of Yangtze University, Jing zhou, 434000, China."
75,"38650716","10.3389/fendo.2024.1289763","PMC11033384","Elevated sperm DNA fragmentation is correlated with an increased chromosomal aneuploidy rate of miscarried conceptus in women of advanced age undergoing fresh embryo transfer cycle.","Male sperm DNA fragmentation (SDF) may be associated with assisted reproductive technology (ART) outcomes, but the impact of SDF on the occurrence of aneuploid-related miscarriage remains controversial. Genome-wide single-nucleotide polymorphism-based chromosomal microarray analysis was performed on 495 miscarried chorionic villus samples undergone IVF/ICSI treatment from the Reproductive Medicine Center of the First Affiliated Hospital of Zhengzhou University. SDF was assessed using sperm chromatin structure assay. Patients were divided into four groups according to embryo transfer cycle type and maternal age, and the correlation between SDF and chromosome aberration was analyzed. A receiver operating characteristic (ROC) curve was utilized to find the optimal threshold. Total chromosomal aneuploidy rate was 54.95%, and trisomy was the most common abnormality (71.32%). The chromosomally abnormal group had higher SDF than the normal group (11.42% [6.82%, 16.54%] vs. 12.95% [9.61%, 20.58%], P = 0.032). After grouping, elevated SDF was significantly correlated with an increasing chromosome aneuploidy rate only in women of advanced age who underwent fresh embryo transfer (adjusted odds ratio:1.14 [1.00-1.29], adjusted-P = 0.045). The receiver operating characteristic curve showed that SDF can predict the occurrence of chromosomal abnormality of miscarried conceptus in this group ((area under the curve = 0.76 [0.60-0.91], P = 0.005), and 8.5% was the optimum threshold. When SDF was ≥ 8.5%, the risk of such patients increased by 5.76 times (adjusted odds ratio: 6.76 [1.20-37.99], adjusted-P = 0.030). For women of advanced maternal age undergoing fresh embryo transfer, older oocytes fertilized using sperm with high SDF in IVF/ICSI treatment might increase the risk of chromosomal abnormality in miscarried conceptus.","20240408","Frontiers in endocrinology","Center for Reproductive Medicine, The First Affiliated Hospital of Zhengzhou University, Zhengzhou, China."
76,"38625649","10.1007/s40120-024-00605-w","PMC11136899","Chinese Translation and Validation of the Center for Neurologic Study Lability Scale.","Pseudobulbar palsy is a common symptom in patients with amyotrophic lateral sclerosis (ALS), but it is often underdiagnosed or misdiagnosed as other diseases. The Center for Neurologic Study Lability Scale (CNS-LS) is a self-report scale consisting of seven questions designed for evaluating pseudobulbar affect (PBA). The current study aimed to validate a Chinese version of the CNS-LS. The Chinese version of the CNS-LS was obtained through a standardized forward-backward translation and cultural adaptation. A total of 105 patients with ALS were recruited from the ALS database of Peking University Third Hospital in Beijing, China, to complete the CNS-LS. The reliability of the Chinese version was determined by the test-retest method, and receiver operating characteristic (ROC) analysis was performed for criterion validity. Of 105 patients with ALS, 37 had symptoms of PBA and were diagnosed with that condition by neurologists. Forty-two patients completed the CNS-LS twice, and there was no statistically significant difference between the scores (Z = -0.896, p = 0.37). The Spearman correlation coefficient between the test and retest scores was 0.940 (p < 0.0005), and the Cronbach alpha coefficient was high (α = 0.905, n = 105). Scores of 12 or higher on the CNS-LS identified PBA with sensitivity of 0.919 and specificity of 0.882. The area under the ROC curve was 0.924. The Chinese version of the CNS-LS demonstrated good sensitivity and specificity in the group of patients with ALS enrolled in this study. The CNS-LS should be a useful instrument for clinical and research purposes for patients in this language group.","20240416","Neurology and therapy","Department of Neurology, Peking University Third Hospital, Haidian District, 49 North Garden Road, Beijing, 100191, China."
77,"38677081","10.1016/j.cmpb.2024.108176",NA,"UsIL-6: An unbalanced learning strategy for identifying IL-6 inducing peptides by undersampling technique.","Interleukin-6 (IL-6) is the critical factor of early warning, monitoring, and prognosis in the inflammatory storm of COVID-19 cases. IL-6 inducing peptides, which can induce cytokine IL-6 production, are very important for the development of diagnosis and immunotherapy. Although the existing methods have some success in predicting IL-6 inducing peptides, there is still room for improvement in the performance of these models in practical application. In this study, we proposed UsIL-6, a high-performance bioinformatics tool for identifying IL-6 inducing peptides. First, we extracted five groups of physicochemical properties and sequence structural information from IL-6 inducing peptide sequences, and obtained a 636-dimensional feature vector, we also employed NearMiss3 undersampling method and normalization method StandardScaler to process the data. Then, a 40-dimensional optimal feature vector was obtained by Boruta feature selection method. Finally, we combined this feature vector with extreme randomization tree classifier to build the final model UsIL-6. The AUC value of UsIL-6 on the independent test dataset was 0.87, and the BACC value was 0.808, which indicated that UsIL-6 had better performance than the existing methods in IL-6 inducing peptide recognition. The performance comparison on independent test dataset confirmed that UsIL-6 could achieve the highest performance, best robustness, and most excellent generalization ability. We hope that UsIL-6 will become a valuable method to identify, annotate and characterize new IL-6 inducing peptides.","20240412","Computer methods and programs in biomedicine","School of Mathematics and System Science, Xinjiang University, Urumqi, Xinjiang 830017, China."
78,"37316197","10.1136/jnis-2023-020390",NA,"Rebleeding following aneurysmal subarachnoid hemorrhage before 'endovascular first' treatment: a retrospective case-control study of published scoring systems.","Pre-treatment re-bleeding following aneurysmal subarachnoid hemorrhage (aSAH) affects up to 7.2% of patients even with ultra-early treatment within 24 hours. We retrospectively compared the utility of three published re-bleed prediction models and individual predictors between cases who re-bled matched to controls using size and parent vessel location from a cohort of patients treated in an ultra-early, 'endovascular first' manner. On retrospective analysis of our 9-year cohort of 707 patients suffering 710 episodes of aSAH, there were 53 episodes of pre-treatment re-bleeding (7.5%). Forty-seven cases who had a single culprit aneurysm were matched to 141 controls. Demographic, clinical and radiological data were extracted and predictive scores calculated. Univariate, multivariate, area under the receiver operator characteristic curve (AUROCC) and Kaplan-Meier (KM) survival curve analyses were performed. The majority of patients (84%) were treated using endovascular techniques at a median 14.5 hours post-diagnosis. On AUROCC analysis the score of Liu et al. had minimal utility (C-statistic 0.553, 95% confidence interval (CI) 0.463 to 0.643) while the risk score of Oppong et al. (C-statistic 0.645 95% CI 0.558 to 0.732) and the ARISE-extended score of van Lieshout et al. (C-statistic 0.53 95% CI 0.562 to 0.744) had moderate utility. On multivariate modeling, the World Federation of Neurosurgical Societies (WFNS) grade was the most parsimonious predictor of re-bleeding (C-statistic 0.740, 95% CI 0.664 to 0.816). For aSAH patients treated in an ultra-early timeframe matched on size and parent vessel location, WFNS grade was superior to three published models for re-bleed prediction. Future re-bleed prediction models should incorporate the WFNS grade.","20240423","Journal of neurointerventional surgery","Department of Neurosurgery, Sir Charles Gairdner Hospital, Nedlands, Perth, Western Australia, Australia arosha.d@gmail.com."
79,"38633311","10.3389/fmed.2024.1263511","PMC11021575","Residual radiological opacities correlate with disease outcomes in ICU-treated COVID-19.","Few studies consider both radiological and functional outcomes in COVID-19 survivors treated in the intensive care unit (ICU). We investigated clinical findings and pulmonary abnormalities on chest computed tomography (CT) and compared outcomes of severe versus mild-moderate acute respiratory distress syndrome (ARDS) on long-term follow-up. This longitudinal cohort study included 118 COVID-19 patients (median age, 58 years; 79% men). Thoracic CT scans were performed 4, 10, and 22 months after hospital discharge. Two independent blinded radiologists analyzed the 10 months scans and scored the radiology findings semi-quantitatively, as no/minor versus widespread opacities [low-radiology opacity grade (ROG) versus high-ROG]. ARDS severity was based on the PaO2/FiO2 ratio. The 6 min walk test (6MWT) was performed after 3 and 9 months, and lung diffusion capacity for carbon monoxide (DLCO) and lung volume measurement after 9 and 15 months. Dynamic spirometry was done at all time points. Residual symptoms and health-related quality-of-life (HRQL) were evaluated using validated questionnaires. At 10 months, most patients (81/118; 69%) were classified as high-ROG, of which 70% had severe ARDS during hospitalisation; 69% of those with mild-moderate ARDS also had high-ROG. Patients with high-ROG had longer ICU stay and lower PaO2/FiO2 during hospitalisation (p < 0.01). At 9 months follow-up, patients with high-ROG had smaller lung volumes as % of predicted values [mean (±CI): 80 (77-84) vs. 93 (88-98) (p < 0.001)], lower DLCO as % of predicted values [74 (70-78) vs. 87 (82-92) (p < 0.001)], lower oxygen saturation during 6MWT (p = 0.02), and a tendency to more severe dyspnoea (p = 0.07), but no difference was found in HRQL compared with no/minor ROG (p = 0.92). A higher opacity score was related to lower DLCO at follow-up (r = -0.48, p < 0.001, Spearman rank test). Severe ARDS patients had slightly more severe fatigue at 9 months compared to mild-moderate, but no differences in dyspnoea or lung function at follow-up. Fibrotic-like changes were found in 93% of patients examined with CT scans at 2 years (55/118; 47%). Severe ARDS could predict widespread opacities (ROG > 25%) in most patients at follow-up at 10 months (AUC 0.74). Residual radiological abnormalities in ICU-treated COVID-19 patients, evaluated for up to 2 years, relate to persisting symptoms and impaired lung function, demanding careful follow-up regardless of ARDS severity at hospitalisation.","20240403","Frontiers in medicine","Department of Infectious Diseases, Karolinska University Hospital, Stockholm, Sweden."
